,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_CU_select,0.80942,0.5746100000000001,0.85323,1.4374833333333337,0.5138833333333337,0.80942,0.12307,0.08746,0.09076333333333335,0.06911333333333333,0.0,0.5904299999999993,0.6283800000000003,0.8461966666666667,0.7028399999999995,0.5510799999999997,0.9583499999999997,1.006823333333332,0.5652066666666661,0.8319133333333338,0.7555233333333333,0.6309199999999998,0.6245999999999999,0.5911033333333335,0.5893499999999999,0.6222233333333332,0.5510333333333335,0.6622666666666669,0.6975800000000003,0.6219099999999996,0.8601166666666664,0.6482133333333338,0.7894933333333333,0.7991533333333329,0.6352500000000001,0.48911333333333357
FH_Covid19Sim_Simulator,0.3737399999999999,0.32539,0.8889033333333329,1.5002433333333338,0.2895633333333334,0.3737399999999999,0.5276633333333335,0.5449633333333337,0.5403033333333327,0.6549799999999999,0.5904299999999993,0.0,0.2973866666666667,0.7097666666666665,0.4179600000000001,0.40082,0.9795400000000004,0.90409,0.30327999999999994,1.0118133333333328,0.6467933333333334,0.37400799999999995,0.45294333333333325,0.9029566666666661,0.4902200000000001,0.3280433333333332,0.4749866666666666,0.437053333333333,0.7265466666666667,0.27232999999999996,0.9556766666666664,0.28683666666666663,0.6632833333333336,0.816356666666667,0.37480000000000013,0.39038333333333347
FH_CovidAnalytics_DELPHI,0.31122000000000016,0.32407999999999987,0.8697933333333333,1.5478633333333318,0.29858333333333337,0.31122000000000016,0.549976666666667,0.5636399999999998,0.5845433333333337,0.7032233333333336,0.6283800000000003,0.2973866666666667,0.0,0.7446766666666662,0.3645333333333334,0.42922333333333335,0.7633200000000002,0.8204533333333327,0.31052,1.1544866666666662,0.6594366666666671,0.2891000000000001,0.5669066666666666,1.0227300000000001,0.5627066666666667,0.15192666666666668,0.5061833333333331,0.35058333333333347,0.7656400000000004,0.057926666666666654,1.0496466666666657,0.060783333333333286,0.66266,0.9495999999999998,0.22728333333333361,0.349423333333333
FH_DDS_NBDS,0.57013,0.6844933333333323,0.8615033333333336,1.5408000000000002,0.7548166666666666,0.57013,0.8305133333333334,0.8297533333333332,0.8578933333333333,0.8514033333333331,0.8461966666666667,0.7097666666666665,0.7446766666666662,0.0,0.6542033333333331,0.7321833333333331,0.64666,1.213693333333333,0.7119899999999998,0.857056666666666,0.8186433333333337,0.6863240000000003,0.7931133333333332,0.7424233333333334,0.709806666666667,0.7266266666666665,0.7120466666666664,0.6850566666666664,0.6392866666666669,0.75412,1.1521400000000002,0.7761099999999999,0.6696000000000008,0.7621566666666664,0.6748100000000005,0.7666633333333329
FH_Google_Harvard_CPF,0.41748999999999997,0.41074999999999967,0.8593700000000001,1.5573533333333331,0.4742333333333332,0.41748999999999997,0.6482966666666665,0.6590166666666665,0.6643766666666665,0.7441800000000001,0.7028399999999995,0.4179600000000001,0.3645333333333334,0.6542033333333331,0.0,0.5907533333333337,0.752015,0.9895566666666658,0.4474233333333332,1.01692,0.7235866666666666,0.4515399999999998,0.5333166666666663,0.9271033333333334,0.6629466666666666,0.38301000000000013,0.5833033333333333,0.46964333333333325,0.7034266666666669,0.36228666666666676,1.0760633333333336,0.37488000000000005,0.6348300000000001,0.8686466666666661,0.42087333333333354,0.5580733333333334
FH_IEM_MED_CovidProject,0.4013300000000001,0.43072333333333346,0.8116199999999998,1.3734733333333318,0.27242000000000016,0.4013300000000001,0.5198266666666669,0.539833333333333,0.5196666666666665,0.6038533333333331,0.5510799999999997,0.40082,0.42922333333333335,0.7321833333333331,0.5907533333333337,0.0,0.9876849999999995,0.8993366666666667,0.3479400000000002,0.9533566666666671,0.6999166666666667,0.32427200000000006,0.4577533333333333,0.8345400000000001,0.40208666666666687,0.41611666666666647,0.39270333333333324,0.5310233333333336,0.7704400000000003,0.41152333333333324,0.8217233333333336,0.42226,0.8877066666666671,0.8786333333333333,0.3976999999999999,0.27624333333333334
FH_IUPUI_HkPrMobiDyR,0.9144600000000002,0.9447450000000002,0.9040400000000001,1.5813049999999995,0.9884500000000003,0.9144600000000002,0.9160949999999997,0.9060949999999997,0.9849899999999997,0.9740599999999998,0.9583499999999997,0.9795400000000004,0.7633200000000002,0.64666,0.752015,0.9876849999999995,0.0,1.159375,0.9698350000000004,0.8743899999999998,0.8765099999999992,0.8663333333333328,0.9875,0.7859599999999998,1.0522149999999997,0.7687350000000006,0.8566450000000003,0.6940749999999997,0.41628,0.8076800000000002,1.2772000000000001,0.7883599999999998,0.67596,0.7176849999999996,0.7446850000000006,0.9455599999999998
FH_IowaStateLW_STEM,1.0428,0.9810233333333328,0.9095600000000001,0.6079099999999998,0.7971500000000006,1.0428,1.0239600000000004,1.029360000000001,0.9598866666666656,1.0274966666666656,1.006823333333332,0.90409,0.8204533333333327,1.213693333333333,0.9895566666666658,0.8993366666666667,1.159375,0.0,0.9077466666666667,1.0699533333333329,0.9235299999999993,0.8849960000000004,1.0621699999999994,1.234366666666666,0.9602533333333332,0.7707833333333335,0.9886199999999995,0.967883333333334,1.2701133333333336,0.7759100000000001,0.7693199999999999,0.7499733333333334,1.1187766666666659,1.1609233333333326,0.9096933333333336,0.8902866666666663
FH_JHUAPL_Bucky,0.38394,0.3459733333333334,0.8484133333333332,1.5116899999999993,0.3052000000000001,0.38394,0.4991033333333333,0.5153666666666665,0.5165500000000002,0.5905266666666662,0.5652066666666661,0.30327999999999994,0.31052,0.7119899999999998,0.4474233333333332,0.3479400000000002,0.9698350000000004,0.9077466666666667,0.0,1.008323333333333,0.6528300000000002,0.36738400000000004,0.4315899999999999,0.8622766666666662,0.47086333333333347,0.32752666666666685,0.44152333333333343,0.42237666666666696,0.7249733333333334,0.28975000000000023,1.0004199999999996,0.31495000000000006,0.7709099999999998,0.826156666666667,0.3425766666666668,0.35491666666666666
FH_JHU_CSSE_DECOM,0.8803300000000001,1.029723333333333,0.7947466666666664,1.1998099999999998,1.0034833333333344,0.8803300000000001,0.867143333333333,0.8649533333333335,0.8783800000000003,0.8080533333333337,0.8319133333333338,1.0118133333333328,1.1544866666666662,0.857056666666666,1.01692,0.9533566666666671,0.8743899999999998,1.0699533333333329,1.008323333333333,0.0,0.852116666666667,1.06992,0.868443333333333,0.606986666666667,0.87501,1.087126666666667,0.9065733333333335,0.9195966666666662,0.6877666666666666,1.1619599999999997,0.9498166666666669,1.1670299999999998,0.8857499999999997,0.6354533333333336,1.0370066666666664,0.9967199999999992
