,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_CDC_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IHME_CurveFit,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MUNI_ARIMA,FH_MUNI_VAR,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_CU_select,0.29461333333333345,0.47721666666666623,0.5748433333333335,0.67366,1.5143199999999992,0.5748433333333335,0.29461333333333345,0.27626333333333347,0.4073333333333334,0.16530666666666666,0.0,0.911983333333333,0.5773566666666663,0.5268199999999996,0.32202000000000003,0.44982666666666676,0.48914333333333376,0.6883360000000002,0.5303533333333326,0.6241879999999995,0.803095,0.541426666666667,0.4203133333333335,0.5107333333333332,0.47935600000000006,0.9017499999999997,1.000496666666666,0.579935,0.8099133333333338,0.5199333333333335
FH_CovidAnalytics_DELPHI,0.6945,0.7812733333333329,0.43156666666666665,0.50444,1.5341199999999986,0.43156666666666665,0.6945,0.6820199999999991,0.6152999999999997,0.7570199999999999,0.911983333333333,0.0,0.9775766666666657,0.7696433333333337,0.8681,0.8057533333333337,0.8223533333333338,0.54424,0.8118366666666662,0.40872400000000014,0.4298000000000002,0.1504933333333333,0.7832966666666668,0.7782033333333334,0.6276039999999998,0.14087000000000002,0.15111333333333332,0.8314349999999994,0.4305700000000003,0.58414
FH_Google_Harvard_CPF,0.6971433333333338,0.7193433333333326,0.9080133333333329,0.95202,1.5606100000000016,0.9080133333333329,0.6971433333333338,0.62245,0.6998566666666667,0.6116366666666665,0.5773566666666663,0.9775766666666657,0.0,0.6684666666666668,0.7134800000000002,0.6466799999999999,0.7649199999999995,0.9046639999999999,0.6240699999999999,0.8544639999999997,0.8791,0.6956733333333331,0.69272,0.7176099999999996,0.58412,0.96938,1.0292899999999987,0.4888000000000001,0.7974333333333332,0.7943266666666666
FH_IEM_MED_CovidProject,0.4784499999999998,0.34525,0.5351533333333333,0.54928,1.5117666666666651,0.5351533333333333,0.4784499999999998,0.6322833333333328,0.6925366666666672,0.5848766666666666,0.5268199999999996,0.7696433333333337,0.6684666666666668,0.0,0.5042,0.5413166666666662,0.5008100000000004,0.46040399999999987,0.3592800000000002,0.5588399999999999,0.7587250000000003,0.3967866666666667,0.5905699999999995,0.5807699999999999,0.5760040000000006,0.74099,0.876836666666667,0.6605350000000001,0.7268,0.5657133333333332
FH_IHME_CurveFit,0.34931999999999985,0.41065999999999997,0.44912000000000013,,1.4616200000000004,0.44912000000000013,0.34931999999999985,0.6717400000000001,0.6999200000000001,0.5577199999999999,0.32202000000000003,0.8681,0.7134800000000002,0.5042,0.0,0.5023399999999999,0.42661999999999994,0.6653600000000001,0.40820000000000006,0.6173200000000001,,,0.5124999999999998,0.5101599999999998,0.5762999999999999,0.9991400000000003,1.0596999999999996,,0.8877799999999999,0.48336000000000007
FH_JHUAPL_Bucky,0.4436500000000001,0.5557700000000003,0.5542200000000002,0.5936399999999998,1.537933333333332,0.5542200000000002,0.4436500000000001,0.5961200000000002,0.7126300000000002,0.5412200000000001,0.44982666666666676,0.8057533333333337,0.6466799999999999,0.5413166666666662,0.5023399999999999,0.0,0.5030433333333328,0.6559559999999995,0.35300000000000037,0.5649279999999999,0.8119799999999997,0.4199066666666667,0.5225500000000004,0.5686266666666671,0.49580399999999974,0.7977333333333331,0.8999766666666664,0.6853500000000002,0.75398,0.6436066666666664
FH_JHU_CSSE_DECOM,0.39654333333333347,0.4215366666666669,0.5085266666666671,0.4504200000000001,1.4591600000000005,0.5085266666666671,0.39654333333333347,0.6341366666666666,0.7302033333333333,0.5859933333333335,0.48914333333333376,0.8223533333333338,0.7649199999999995,0.5008100000000004,0.42661999999999994,0.5030433333333328,0.0,0.5238400000000002,0.4032866666666669,0.6398720000000007,0.7329849999999999,0.4002799999999999,0.49470333333333316,0.5366966666666666,0.5275639999999999,0.8114199999999997,0.8991333333333332,0.7133449999999999,0.7309633333333334,0.5720733333333334
FH_JHU_UNC_GAS_StatMechPool,0.5433759999999997,0.525228,0.46518000000000037,,1.416319999999998,0.46518000000000037,0.5433759999999997,0.72456,0.7011119999999996,0.7030719999999999,0.6883360000000002,0.54424,0.9046639999999999,0.46040399999999987,0.6653600000000001,0.6559559999999995,0.5238400000000002,0.0,0.6002799999999999,0.577515,0.6789100000000002,0.3140733333333334,0.6898040000000002,0.6220040000000003,0.7188750000000002,0.5526440000000001,0.6305839999999999,0.8496150000000003,0.6275799999999999,0.5204639999999998
FH_KITmetricslab_select_ensemble,0.45067333333333354,0.3703700000000005,0.5757533333333336,0.36188,1.610063333333333,0.5757533333333336,0.45067333333333354,0.7022766666666669,0.8380199999999994,0.6630866666666668,0.5303533333333326,0.8118366666666662,0.6240699999999999,0.3592800000000002,0.40820000000000006,0.35300000000000037,0.4032866666666669,0.6002799999999999,0.0,0.5469640000000001,0.7892799999999996,0.4340800000000001,0.5272133333333334,0.4848866666666666,0.42394,0.8076766666666669,0.9330633333333332,0.6645000000000004,0.6893999999999995,0.6485533333333334
FH_Karlen_pypm,0.4859760000000003,0.6172519999999995,0.412984,0.4319000000000002,1.5377999999999987,0.412984,0.4859760000000003,0.4973640000000005,0.5350800000000001,0.5203320000000005,0.6241879999999995,0.40872400000000014,0.8544639999999997,0.5588399999999999,0.6173200000000001,0.5649279999999999,0.6398720000000007,0.577515,0.5469640000000001,0.0,0.5448800000000003,0.1955,0.6046559999999996,0.6595200000000002,0.5607000000000001,0.4016840000000002,0.48238,0.790133333333333,0.49915199999999993,0.5720720000000004
