,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IQVIA_ACOE_STAN,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_CovidAnalytics_DELPHI,0.5295919999999996,0.6919600000000001,1.5871639999999978,0.3251640000000001,0.6336720000000001,0.6583399999999997,0.58862,0.7186119999999999,0.646736,0.5210159999999998,0.0,0.6755679999999997,0.7173679999999997,0.5772679999999998,0.90164,0.46608000000000016,0.8363866666666666,0.39194400000000007,0.7582240000000001,0.8401159999999999,0.5113119999999999,0.42335,0.7512099999999995,0.45015599999999983,,0.4841680000000002,0.640148,0.16561199999999995,0.23989199999999988,0.4165360000000002,0.7844849999999995,0.6327899999999996,0.3795440000000002,0.28842400000000007,0.5250040000000002
FH_DDS_NBDS,0.6025320000000002,0.71602,1.6044040000000008,0.7037719999999996,0.5308999999999999,0.5597240000000001,0.5376360000000003,0.6074719999999998,0.506728,0.682472,0.6755679999999997,0.0,0.6949399999999991,0.6184759999999999,0.9441200000000001,0.7348760000000002,0.7368333333333339,0.7299719999999997,0.681336,0.6319040000000001,0.7445200000000005,0.6860549999999997,0.5659400000000001,0.5774919999999997,,0.4947120000000002,0.5667799999999998,0.7413399999999999,0.7539799999999999,0.7501119999999997,0.6487850000000001,0.7963799999999998,0.6394599999999998,0.7342280000000002,0.7362159999999996
FH_Google_Harvard_CPF,0.6625400000000002,0.6294400000000001,1.5937799999999998,0.6016880000000003,0.7417919999999991,0.7220440000000007,0.7369319999999999,0.6740999999999997,0.7349600000000002,0.572028,0.7173679999999997,0.6949399999999991,0.0,0.4507840000000002,0.4726200000000001,0.849908,0.29456666666666653,0.6172079999999999,0.5988400000000006,0.3951040000000003,0.4869239999999999,0.48985000000000034,0.5888850000000002,0.5674720000000001,,0.5306560000000001,0.7594799999999993,0.7031760000000004,0.6844599999999998,0.6952520000000003,0.5731700000000001,0.5812550000000002,0.5999960000000002,0.6989000000000002,0.5065640000000001
FH_IEM_MED_CovidProject,0.5019599999999999,0.707855,1.547959999999997,0.3832720000000001,0.4775360000000001,0.4648880000000001,0.48633200000000015,0.4472999999999997,0.4729839999999999,0.3482839999999999,0.5772679999999998,0.6184759999999999,0.4507840000000002,0.0,0.6778599999999999,0.751708,0.48049333333333344,0.4374879999999998,0.6597720000000005,0.4345280000000004,0.3451800000000001,0.22779999999999997,0.4970900000000003,0.327232,0.6098,0.43946000000000013,0.837603333333334,0.5713533333333327,0.5711766666666667,0.6746320000000001,0.5259849999999998,0.61829,0.5308800000000001,0.5269233333333335,0.48718333333333314
FH_IQVIA_ACOE_STAN,0.7160599999999999,,1.5471999999999997,0.78664,0.8992200000000001,0.87338,0.8877999999999997,0.7523599999999998,0.8877999999999997,0.6618,0.90164,0.9441200000000001,0.4726200000000001,0.6778599999999999,0.0,0.7271000000000002,0.5972599999999999,0.8134,0.584,0.48058,0.6937000000000002,0.7577000000000002,0.5262600000000002,0.8177800000000001,,0.7150599999999998,0.7171,0.8869800000000002,0.8593999999999999,0.6936400000000001,,,0.6648000000000001,0.8002400000000001,0.45909999999999995
FH_IowaStateLW_STEM,0.6647799999999997,0.7037133333333335,1.380523999999998,0.49299200000000026,0.7210879999999996,0.7510040000000003,0.7049920000000004,0.8224079999999998,0.7437559999999999,0.6989840000000003,0.46608000000000016,0.7348760000000002,0.849908,0.751708,0.7271000000000002,0.0,0.9902466666666669,0.5504239999999998,0.7412000000000003,0.9320200000000002,0.7029639999999998,0.6711749999999997,0.8257800000000001,0.5795679999999999,,0.613128,0.590716,0.46099999999999985,0.5213440000000005,0.5806640000000003,0.8496349999999988,0.6828600000000001,0.5399759999999999,0.50428,0.6521560000000004
FH_JCB_PRM,0.5281933333333335,0.5900200000000002,1.5682933333333327,0.6795199999999998,0.8624800000000001,0.8189333333333332,0.84272,0.7079066666666667,0.8112133333333335,0.6133533333333332,0.8363866666666666,0.7368333333333339,0.29456666666666653,0.48049333333333344,0.5972599999999999,0.9902466666666669,0.0,0.7291933333333335,0.6264866666666666,0.2816733333333332,0.3619400000000001,0.4896533333333331,0.5937700000000001,0.8024266666666663,,0.5075666666666666,0.7699133333333333,0.8166133333333332,0.7102733333333333,0.8186999999999995,0.18228999999999998,0.6563300000000001,0.6470666666666666,0.7023933333333332,0.5070133333333332
FH_JHUAPL_Bucky,0.505892,0.67668,1.572947999999999,0.31658799999999987,0.4981720000000001,0.5051239999999997,0.4826840000000001,0.5426759999999999,0.52254,0.41998800000000025,0.39194400000000007,0.7299719999999997,0.6172079999999999,0.4374879999999998,0.8134,0.5504239999999998,0.7291933333333335,0.0,0.6930080000000003,0.666984,0.42562800000000006,0.33738000000000024,0.633405,0.39056399999999997,,0.4868720000000001,0.7484719999999995,0.33139199999999974,0.3679880000000002,0.5016519999999999,0.6399699999999998,0.5371300000000002,0.43309600000000015,0.3523480000000001,0.5420999999999998
FH_JHU_CSSE_DECOM,0.6684840000000001,0.6799600000000002,1.5020319999999994,0.6917599999999996,0.61708,0.6017080000000001,0.6048960000000001,0.5793120000000007,0.5968520000000005,0.647712,0.7582240000000001,0.681336,0.5988400000000006,0.6597720000000005,0.584,0.7412000000000003,0.6264866666666666,0.6930080000000003,0.0,0.5807240000000004,0.730372,0.7419049999999998,0.5204300000000002,0.6143639999999999,,0.6841959999999999,0.640896,0.756252,0.7345320000000001,0.7164000000000003,0.740625,0.6957000000000002,0.6036320000000001,0.7492920000000007,0.6273960000000001
FH_JHU_IDD_CovidSP,0.6280880000000002,0.6887266666666666,1.5626599999999993,0.6869160000000001,0.6343879999999997,0.6032680000000001,0.6431440000000006,0.5404479999999998,0.60796,0.5293359999999997,0.8401159999999999,0.6319040000000001,0.3951040000000003,0.4345280000000004,0.48058,0.9320200000000002,0.2816733333333332,0.666984,0.5807240000000004,0.0,0.5234280000000001,0.52171,0.4634900000000002,0.6225079999999992,,0.5445720000000002,0.8041720000000004,0.8575000000000003,0.7758200000000002,0.8284200000000004,0.46309000000000006,0.6493299999999997,0.6555760000000002,0.7546240000000002,0.5033440000000005
