,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IHME_CurveFit,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_CU_select,0.2484000000000001,0.410992,0.7302399999999994,0.3835920000000001,1.4708880000000006,0.3835920000000001,0.2484000000000001,0.10847599999999998,0.04127199999999999,0.07394399999999997,0.0,0.42514799999999986,0.890104,0.5220199999999999,0.4490800000000001,0.32112400000000013,0.4248150000000001,0.6280599999999998,0.2848466666666669,0.331064,0.39910399999999974,0.56464,0.6664399999999999,0.38389999999999985,0.4523599999999999,0.4276879999999999,0.49244000000000054,0.4505399999999999,0.5832999999999996,0.7068449999999997,0.42006800000000005,0.33782800000000013
FH_CovidAnalytics_DELPHI,0.29425666666666656,0.18599666666666653,0.7706066666666667,0.10352333333333336,1.5571466666666647,0.10352333333333336,0.29425666666666656,0.3252360000000002,0.42998000000000014,0.40330400000000016,0.42514799999999986,0.0,0.8931899999999993,0.5404499999999999,0.6201400000000001,0.39313666666666713,0.128,0.7762000000000003,0.1439600000000001,0.10604000000000002,0.055119999999999995,0.7199199999999999,0.5074533333333335,0.08815000000000003,0.04102666666666659,0.3502400000000001,0.3965300000000001,0.03243666666666667,0.4647433333333339,0.7805300000000003,0.26451333333333327,0.48323
FH_Google_Harvard_CPF,0.9247166666666675,0.8565133333333328,0.71688,0.909209999999999,1.5661566666666666,0.909209999999999,0.9247166666666675,0.9131200000000002,0.8725160000000003,0.9250439999999994,0.890104,0.8931899999999993,0.0,0.8331166666666671,1.0144399999999998,0.8895433333333328,0.9896120000000002,0.6692599999999999,0.855055,0.8668466666666665,0.8765533333333335,0.7819599999999999,0.8582333333333328,0.7428966666666669,0.9055866666666672,0.8725866666666667,0.7540599999999996,0.9042933333333328,0.9393933333333331,0.5092600000000004,0.8282833333333331,0.8816966666666666
FH_IEM_MED_CovidProject,0.4427666666666668,0.4411899999999994,0.6441000000000001,0.476083333333333,1.4329499999999997,0.476083333333333,0.4427666666666668,0.530348,0.5237800000000004,0.5305040000000002,0.5220199999999999,0.5404499999999999,0.8331166666666671,0.0,0.5465199999999999,0.4655533333333335,0.4504479999999998,0.39196000000000003,0.5502500000000002,0.4989966666666668,0.4975133333333332,0.6404999999999998,0.630493333333333,0.4673933333333328,0.5436633333333325,0.5557900000000003,0.5410599999999999,0.52871,0.5225233333333338,0.7475749999999999,0.48439333333333345,0.5266300000000002
FH_IHME_CurveFit,0.48392000000000013,0.5546800000000001,0.7366000000000001,0.5466600000000001,1.4271200000000004,0.5466600000000001,0.48392000000000013,0.48134,0.4490800000000001,0.44989999999999997,0.4490800000000001,0.6201400000000001,1.0144399999999998,0.5465199999999999,0.0,0.36026,0.5211000000000001,,0.5280000000000002,0.5638399999999999,0.6192200000000001,,0.5914200000000001,0.6037,0.5599800000000001,0.6341600000000001,0.4612000000000001,0.5902200000000001,0.4970199999999999,0.8987000000000003,0.57096,0.42225999999999997
FH_JHUAPL_Bucky,0.3355300000000001,0.3994033333333331,0.7320666666666668,0.3823933333333335,1.512016666666666,0.3823933333333335,0.3355300000000001,0.27378400000000014,0.32057600000000014,0.32030400000000003,0.32112400000000013,0.39313666666666713,0.8895433333333328,0.4655533333333335,0.36026,0.0,0.4133560000000001,0.53084,0.37479499999999993,0.34385333333333346,0.3631800000000003,0.62636,0.5765833333333331,0.3706366666666666,0.3809400000000002,0.4984099999999997,0.44272500000000015,0.4014933333333336,0.4590066666666671,0.7851150000000006,0.45109999999999995,0.42769000000000007
FH_JHU_CSSE_DECOM,0.268104,0.2110840000000001,0.6832199999999999,0.10730400000000004,1.4832960000000015,0.10730400000000004,0.268104,0.3562349999999999,0.42861499999999997,0.4211600000000001,0.4248150000000001,0.128,0.9896120000000002,0.4504479999999998,0.5211000000000001,0.4133560000000001,0.0,,0.16348000000000004,0.16212,0.1587480000000002,,0.537612,0.12856399999999998,0.132436,0.35381200000000007,0.31569333333333344,0.12173600000000004,0.41468800000000006,0.8103933333333333,0.30600399999999983,0.5051719999999998
FH_JHU_IDD_CovidSP,0.62038,0.6187800000000001,0.6202399999999999,0.7381200000000001,1.5254200000000002,0.7381200000000001,0.62038,0.6877999999999997,0.6280599999999998,0.7027200000000002,0.6280599999999998,0.7762000000000003,0.6692599999999999,0.39196000000000003,,0.53084,,0.0,0.6981600000000001,0.69328,0.71834,0.7943400000000002,0.7260800000000001,0.69286,0.7792600000000002,0.8077399999999997,0.47106000000000015,0.7645800000000003,0.84996,0.81756,0.63044,0.6397199999999998
FH_JHU_UNC_GAS_StatMechPool,0.23385,0.15597000000000005,0.7196666666666672,0.1363450000000001,1.479895,0.1363450000000001,0.23385,0.2186,0.2848466666666669,0.25811333333333325,0.2848466666666669,0.1439600000000001,0.855055,0.5502500000000002,0.5280000000000002,0.37479499999999993,0.16348000000000004,0.6981600000000001,0.0,0.14927999999999997,0.16683,0.5530399999999999,0.6015800000000001,0.1830050000000001,0.17264000000000013,0.3378499999999999,0.4652749999999999,0.16582500000000003,0.5323000000000004,0.7510199999999999,0.2529949999999998,0.35135500000000003
FH_KITmetricslab_select_ensemble,0.22701333333333337,0.20837999999999993,0.7517600000000002,0.11599000000000008,1.5563166666666675,0.11599000000000008,0.22701333333333337,0.24028400000000008,0.3382319999999999,0.31544800000000006,0.331064,0.10604000000000002,0.8668466666666665,0.4989966666666668,0.5638399999999999,0.34385333333333346,0.16212,0.69328,0.14927999999999997,0.0,0.09844000000000008,0.52664,0.5321800000000003,0.13726000000000002,0.11753666666666678,0.34098999999999985,0.3450300000000002,0.12168333333333334,0.4568300000000001,0.7741200000000004,0.2935699999999999,0.41619333333333364
