,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IQVIA_ACOE_STAN,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_CovidAnalytics_DELPHI,0.4904733333333335,0.7185099999999999,1.590213333333332,0.30843000000000004,0.42846000000000006,0.42688000000000037,0.4039300000000001,0.4591166666666671,0.4118633333333333,0.48788000000000004,0.0,0.5138766666666669,0.6225366666666664,0.45312500000000006,0.90164,0.6208666666666668,0.6560999999999997,0.3605066666666668,0.592656666666667,0.5668633333333333,0.5205550000000001,0.4184533333333337,0.5009000000000002,0.3436500000000003,0.46052000000000004,0.5359049999999997,0.6203566666666668,0.3713466666666668,0.32820666666666704,0.4626533333333338,0.6864119999999996,0.6011466666666669,0.8281300000000001,0.41673999999999983,0.4061566666666669,0.4549933333333334
FH_DDS_NBDS,0.5394866666666668,0.6794299999999999,1.6133300000000015,0.5737833333333332,0.5944999999999999,0.5936866666666668,0.5915533333333328,0.62232,0.5754733333333333,0.7648866666666663,0.5138766666666669,0.0,0.6770800000000006,0.7608049999999996,0.9441200000000001,0.7888633333333328,0.5165433333333327,0.6612133333333332,0.5712133333333336,0.5705366666666667,0.7249900000000001,0.5843099999999999,0.5162000000000004,0.5705999999999999,0.27942000000000006,0.511585,0.3213100000000002,0.66816,0.6468933333333333,0.5978966666666666,0.44344000000000006,0.7716866666666663,0.9458000000000009,0.5484633333333334,0.6027033333333334,0.5752766666666668
FH_Google_Harvard_CPF,0.5967933333333335,0.6859799999999997,1.5876766666666648,0.5699866666666668,0.8061899999999999,0.775243333333333,0.7984966666666667,0.7151866666666662,0.8007599999999999,0.6581133333333336,0.6225366666666664,0.6770800000000006,0.0,0.4858200000000002,0.4726200000000001,0.883216666666666,0.27522000000000013,0.50173,0.4184533333333336,0.3702966666666671,0.4537150000000001,0.45226333333333363,0.56084,0.5630033333333333,0.28990000000000005,0.5420750000000001,0.5479266666666667,0.7570199999999995,0.6065666666666668,0.6329533333333333,0.32232399999999994,0.5192333333333335,1.1934099999999994,0.5606066666666667,0.6861933333333335,0.47084000000000004
FH_IEM_MED_CovidProject,0.47672,0.7554299999999998,1.5507499999999987,0.25534,0.43585500000000027,0.4143950000000002,0.42497000000000057,0.3862700000000004,0.4270100000000005,0.31640999999999997,0.45312500000000006,0.7608049999999996,0.4858200000000002,0.0,0.6778599999999999,0.7373999999999998,0.41391,0.3984100000000004,0.6571700000000003,0.44543000000000005,0.26045999999999986,0.16584500000000002,0.5254466666666663,0.33603000000000016,0.49692000000000003,0.4382949999999998,0.7037250000000002,0.46991499999999997,0.4309500000000002,0.5664500000000001,0.5332799999999998,0.5470399999999996,,0.4552800000000002,0.34942,0.3727000000000003
FH_IQVIA_ACOE_STAN,0.7160599999999999,,1.5471999999999997,0.78664,0.8992200000000001,0.87338,0.8877999999999997,0.7523599999999998,0.8877999999999997,0.6618,0.90164,0.9441200000000001,0.4726200000000001,0.6778599999999999,0.0,0.7271000000000002,0.5972599999999999,0.8134,0.584,0.48058,0.6937000000000002,0.7577000000000002,0.5262600000000002,0.8177800000000001,,0.7150599999999998,0.7171,0.8869800000000002,0.8593999999999999,0.6936400000000001,,,,0.6648000000000001,0.8002400000000001,0.45909999999999995
FH_IowaStateLW_STEM,0.7023133333333333,0.746685,1.375536666666666,0.6410533333333334,0.5873799999999997,0.6240366666666664,0.584473333333333,0.6940933333333337,0.5980633333333335,0.6588700000000001,0.6208666666666668,0.7888633333333328,0.883216666666666,0.7373999999999998,0.7271000000000002,0.0,0.9810099999999999,0.6804033333333337,0.7816599999999998,0.9003000000000001,0.81164,0.7620800000000003,0.7687480000000001,0.6573266666666661,0.8222666666666668,0.6724650000000003,0.8272966666666668,0.5286100000000006,0.7063933333333341,0.7090099999999999,0.9917959999999995,0.7501666666666668,0.4499799999999999,0.6176966666666662,0.6603900000000004,0.7793166666666661
FH_JCB_PRM,0.5393833333333332,0.7124850000000004,1.5675899999999976,0.5580033333333335,0.7895399999999995,0.7354433333333334,0.7782199999999994,0.6491666666666664,0.7624666666666663,0.6880933333333331,0.6560999999999997,0.5165433333333327,0.27522000000000013,0.41391,0.5972599999999999,0.9810099999999999,0.0,0.6039499999999997,0.42819000000000024,0.2973233333333333,0.3022600000000001,0.39825333333333324,0.5387959999999999,0.5754733333333336,0.24786666666666665,0.443635,0.43259666666666646,0.8650066666666661,0.6537766666666665,0.6684599999999996,0.14041600000000007,0.60148,1.2250399999999995,0.59092,0.6555233333333329,0.37796666666666656
FH_JHUAPL_Bucky,0.46012333333333366,0.69637,1.5559266666666656,0.29812,0.4823400000000004,0.4706666666666665,0.4744033333333331,0.4738233333333336,0.4867199999999999,0.4344899999999998,0.3605066666666668,0.6612133333333332,0.50173,0.3984100000000004,0.8134,0.6804033333333337,0.6039499999999997,0.0,0.5540333333333335,0.5729299999999998,0.47034499999999996,0.3200433333333332,0.5351880000000002,0.309146666666667,0.4444866666666667,0.54794,0.6617766666666665,0.4390800000000005,0.39064666666666675,0.5088999999999999,0.6177159999999997,0.48030666666666644,0.9773599999999998,0.36575000000000046,0.41939000000000015,0.5032433333333332
FH_JHU_CSSE_DECOM,0.6053266666666666,0.7056050000000001,1.5655700000000008,0.5765533333333336,0.7442899999999996,0.7183633333333329,0.7285666666666667,0.6707766666666667,0.72999,0.7276,0.592656666666667,0.5712133333333336,0.4184533333333336,0.6571700000000003,0.584,0.7816599999999998,0.42819000000000024,0.5540333333333335,0.0,0.5139666666666667,0.6243150000000002,0.5653799999999993,0.505396,0.5240099999999998,0.26062,0.6116549999999997,0.4308633333333332,0.7337399999999997,0.6216233333333337,0.6093800000000001,0.3804120000000002,0.594186666666667,1.2171299999999994,0.5170733333333337,0.6681000000000004,0.5186200000000002
FH_JHU_IDD_CovidSP,0.5453699999999996,0.725685,1.5699899999999996,0.5002633333333334,0.6764699999999997,0.6385166666666667,0.661633333333333,0.5822933333333333,0.6563433333333332,0.6021833333333333,0.5668633333333333,0.5705366666666667,0.3702966666666671,0.44543000000000005,0.48058,0.9003000000000001,0.2973233333333333,0.5729299999999998,0.5139666666666667,0.0,0.3689050000000003,0.4185033333333335,0.5136280000000001,0.5663066666666671,0.32044,0.4521349999999997,0.5542033333333332,0.7163433333333336,0.5439366666666663,0.6293533333333333,0.345916,0.5840799999999999,0.9049599999999998,0.5644399999999997,0.5908033333333333,0.35906999999999994
