,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_CDC_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IHME_CurveFit,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_MUNI_VAR,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_MIT_Cassandra,0.637985,0.6287050000000002,0.4863650000000002,,1.4348300000000003,0.4863650000000002,0.637985,0.677455,0.6813450000000004,0.7521550000000004,0.74738,0.47211499999999995,0.9240650000000002,0.6717800000000002,,0.6472850000000001,0.5753699999999998,0.5883533333333333,0.5992000000000001,0.507535,0.0,0.41676666666666645,0.46627999999999986,0.6400099999999999,0.6297799999999999,0.6459400000000001,0.44516500000000003,0.46212000000000003,0.8642950000000001,0.5649350000000003,0.6667749999999997
FH_MIT_ISOLAT_Mixtures,0.3666466666666668,0.2339,0.12471333333333334,,1.270566666666667,0.12471333333333334,0.3666466666666668,0.5098933333333335,0.6040133333333335,0.5822800000000001,0.5848400000000001,0.09457999999999994,0.7959066666666664,0.40684000000000015,,0.2397933333333333,0.19514000000000006,0.25902000000000003,0.12313333333333333,0.12503333333333333,0.41676666666666645,0.0,0.07871,0.43422666666666665,0.5845399999999998,0.26552000000000003,0.10696,0.24385333333333345,0.7582466666666665,0.23408666666666667,0.5915933333333333
FH_MOBS_GLEAM_COVID,0.38757,0.15447,0.13357999999999998,,1.5607599999999988,0.13357999999999998,0.38757,0.47179000000000004,0.6231799999999997,0.62832,0.6197500000000001,0.02893999999999995,0.9026699999999996,0.4150200000000001,,0.32057,0.14509,0.14751999999999998,0.12009000000000002,0.09117000000000001,0.46627999999999986,0.07871,0.0,0.4779899999999999,,0.21700000000000003,0.02302999999999996,0.2706099999999999,0.9260500000000002,0.35167000000000004,0.7133800000000003
FH_MUNI_ARIMA,0.3825633333333333,0.5398533333333335,0.4613433333333333,0.58264,1.3991899999999993,0.4613433333333333,0.3825633333333333,0.4606600000000001,0.5433899999999999,0.4538366666666667,0.4687333333333333,0.6530966666666667,0.7614266666666674,0.6423333333333336,0.5124999999999998,0.5617599999999998,0.4704799999999999,0.6537950000000003,0.5117500000000003,0.537506666666667,0.6400099999999999,0.43422666666666665,0.4779899999999999,0.0,0.4544300000000001,0.531315,0.6721100000000004,0.6767333333333335,0.6915200000000005,0.6419900000000001,0.5829966666666672
FH_MUNI_VAR,0.49776000000000026,0.5451600000000001,0.60085,0.6196200000000001,1.4714800000000008,0.60085,0.49776000000000026,0.5828949999999998,0.650005,0.5848600000000002,0.5259100000000001,0.735085,0.7643349999999998,0.6175599999999999,0.5101599999999998,0.6413000000000002,0.5723650000000002,0.64906,0.536605,0.6532199999999999,0.6297799999999999,0.5845399999999998,,0.4544300000000001,0.0,0.6196800000000001,0.7294599999999997,0.7817449999999998,0.55366,0.687335,0.5849300000000003
FH_Microsoft_DeepSTIA,0.46575500000000003,0.42743000000000037,0.5444399999999998,0.48459999999999986,1.680275000000001,0.5444399999999998,0.46575500000000003,0.5348349999999997,0.6891750000000002,0.5712600000000003,0.5179400000000003,0.5728900000000003,0.6459300000000004,0.6031950000000003,0.5762999999999999,0.42075,0.49491500000000016,0.62312,0.3354149999999999,0.5011550000000002,0.6459400000000001,0.26552000000000003,0.21700000000000003,0.531315,0.6196800000000001,0.0,0.6013699999999998,0.6954199999999997,0.5651599999999999,0.68371,0.6007900000000003
FH_RobertWalraven_ESG,0.5794100000000002,0.6261366666666663,0.33712000000000014,0.48707999999999985,1.5206533333333307,0.33712000000000014,0.5794100000000002,0.7160033333333341,0.7335333333333337,0.7933566666666656,0.8665566666666661,0.08780333333333337,0.9951000000000009,0.6392433333333329,0.9991400000000003,0.5699033333333331,0.5652200000000001,0.4040050000000003,0.5061166666666669,0.30388333333333345,0.44516500000000003,0.10696,0.02302999999999996,0.6721100000000004,0.7294599999999997,0.6013699999999998,0.0,0.17340333333333333,0.9494649999999993,0.3555433333333335,0.6733033333333335
FH_TTU_squider,0.6038300000000001,0.7237699999999997,0.40242666666666677,0.5277000000000001,1.4085966666666638,0.40242666666666677,0.6038300000000001,0.7513500000000005,0.7532033333333331,0.8142366666666664,0.8984566666666666,0.1995566666666667,1.01522,0.6921499999999997,1.0596999999999996,0.6167833333333336,0.6464766666666668,0.46206,0.6227233333333335,0.4258066666666669,0.46212000000000003,0.24385333333333345,0.2706099999999999,0.6767333333333335,0.7817449999999998,0.6954199999999997,0.17340333333333333,0.0,0.9710499999999991,0.39179333333333377,0.6955766666666664
FH_UMich_RidgeTfReg,0.7668200000000001,0.7647099999999993,0.87899,,1.409275000000001,0.87899,0.7668200000000001,0.66124,0.686345,0.6852050000000002,0.6620199999999998,0.9484049999999999,0.4061500000000004,0.7702300000000001,,0.8023349999999999,0.8312699999999996,0.9524733333333336,0.7790899999999996,0.9014699999999997,0.8642950000000001,0.7582466666666665,0.9260500000000002,0.6915200000000005,0.55366,0.5651599999999999,0.9494649999999993,0.9710499999999991,0.0,0.8143299999999998,0.7672900000000001
FH_UVA_Ensemble,0.5132766666666668,0.6277033333333336,0.39152000000000003,0.44815999999999995,1.4296299999999997,0.39152000000000003,0.5132766666666668,0.6710266666666662,0.6634866666666661,0.6943266666666668,0.7603266666666668,0.37944666666666693,0.8578266666666667,0.6502966666666664,0.8877799999999999,0.62727,0.571683333333333,0.4409750000000001,0.559336666666667,0.4480366666666666,0.5649350000000003,0.23408666666666667,0.35167000000000004,0.6419900000000001,0.687335,0.68371,0.3555433333333335,0.39179333333333377,0.8143299999999998,0.0,0.6507166666666664
USC_SI_kJalpha,0.44345999999999997,0.6193966666666672,0.5313333333333333,0.5316200000000001,1.4842966666666642,0.5313333333333333,0.44345999999999997,0.4902633333333333,0.44812666666666673,0.5054866666666663,0.4985733333333334,0.6458499999999994,0.8249333333333326,0.5709733333333339,0.48336000000000007,0.5856633333333334,0.5919066666666664,0.46408,0.6005866666666665,0.6144999999999998,0.6667749999999997,0.5915933333333333,0.7133800000000003,0.5829966666666672,0.5849300000000003,0.6007900000000003,0.6733033333333335,0.6955766666666664,0.7672900000000001,0.6507166666666664,0.0
