,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_JHU_UNC_GAS_StatMechPool,0.4715200000000002,0.5871966666666666,0.9509666666666667,1.3564766666666659,0.5373440000000003,0.4715200000000002,0.6772866666666661,0.6445699999999995,0.6661533333333326,0.682323333333333,0.6778133333333329,0.6838766666666662,0.6634266666666663,0.8031666666666671,0.6795066666666664,0.6698800000000003,0.8260649999999998,0.5201466666666663,0.6434699999999997,0.65467,0.0,0.5858699999999998,0.6852166666666671,0.7361466666666671,0.6230666666666667,0.9027900000000004,0.5604433333333333,0.7199039999999999,0.63152,0.7372679999999999,0.6467266666666667,0.8828899999999994,0.7470133333333334,0.6653300000000002,0.8319099999999999,0.5553566666666666,0.6513500000000004
FH_KITmetricslab_select_ensemble,0.55535,0.5231600000000001,0.8828099999999998,1.6584600000000003,0.45977,0.55535,0.5378999999999998,0.4320299999999998,0.5471299999999998,0.5748399999999999,0.5748399999999999,0.5961500000000001,0.44551999999999997,0.7386000000000001,0.7174299999999998,0.3878199999999999,,0.4818999999999997,0.59426,0.5911900000000001,0.5858699999999998,0.0,0.5236000000000003,0.47319999999999995,0.48020000000000024,0.6918099999999999,0.6380599999999998,0.7089399999999998,0.5590800000000001,0.52472,0.4721099999999999,,0.8257500000000002,0.6188199999999998,0.7779199999999998,0.39195,0.48571999999999965
FH_Karlen_pypm,0.20753,0.32853666666666703,1.0075499999999997,1.484139999999999,0.5271400000000003,0.20753,0.5183800000000002,0.5491800000000001,0.5031533333333331,0.48139999999999994,0.5136199999999997,0.6621066666666672,0.68459,0.48439000000000004,0.7690366666666673,0.8158049999999996,1.06989,0.5175633333333336,0.476906666666667,0.4939433333333338,0.6852166666666671,0.5236000000000003,0.0,0.5784200000000005,0.3585633333333335,0.8568699999999998,0.7231833333333335,0.6514679999999997,0.41798,0.47292399999999984,0.64836,1.0288499999999996,0.8652133333333331,0.49676000000000015,0.6729133333333334,0.5418433333333336,0.5751533333333344
FH_LANL_GrowthRate,0.5392299999999998,0.6513466666666666,0.914573333333333,1.2686700000000002,0.6418400000000005,0.5392299999999998,0.6413533333333341,0.6062166666666666,0.7015699999999996,0.6020266666666664,0.6132899999999996,0.8570266666666668,0.9032366666666672,0.7491300000000003,0.602083333333333,0.9293300000000008,1.0514549999999994,0.7262633333333333,0.6290333333333333,0.63134,0.7361466666666671,0.47319999999999995,0.5784200000000005,0.0,0.5358100000000002,0.7926800000000002,0.7480033333333332,0.7405399999999999,0.61902,0.6398400000000003,0.84497,0.9151600000000003,0.930256666666666,0.6857099999999999,0.7554733333333337,0.740293333333333,0.8008633333333328
FH_LNQ_ens1,0.16279000000000005,0.37692000000000037,0.9294766666666664,1.3333466666666665,0.43700000000000017,0.16279000000000005,0.5100133333333337,0.5560033333333336,0.504376666666666,0.5009166666666667,0.5094266666666666,0.6931599999999999,0.665853333333333,0.7091166666666665,0.7091699999999999,0.8759900000000003,0.9524850000000009,0.45456333333333326,0.3852033333333337,0.5417600000000005,0.6230666666666667,0.48020000000000024,0.3585633333333335,0.5358100000000002,0.0,0.8560400000000002,0.662893333333333,0.7412919999999996,0.39604,0.59274,0.6124066666666665,0.9621600000000003,0.7586166666666667,0.5466100000000002,0.7316633333333329,0.6020833333333332,0.5697899999999996
FH_MIT_Cassandra,0.8760899999999999,0.8753799999999999,0.78803,1.32297,0.8358700000000002,0.8760899999999999,0.8627500000000003,0.8306100000000001,0.9043200000000001,0.8841900000000003,0.8841900000000003,0.8975800000000003,0.8417100000000001,0.8704900000000003,0.9563200000000002,0.7449600000000001,,0.8343899999999997,0.9108800000000004,0.8902900000000004,0.9027900000000004,0.6918099999999999,0.8568699999999998,0.7926800000000002,0.8560400000000002,0.0,0.6791600000000001,0.82786,0.9486999999999999,0.7613000000000002,0.8491400000000004,,0.9852400000000004,0.8057499999999999,0.7804500000000004,0.8022500000000002,0.83259
FH_MIT_ISOLAT_Mixtures,0.4254100000000001,0.62365,0.8260966666666664,1.13465,0.4890400000000004,0.4254100000000001,0.5494300000000003,0.6173466666666659,0.5017333333333335,0.5650933333333332,0.5519133333333333,0.4942099999999999,0.3777433333333334,0.8453266666666673,0.7295866666666668,0.6246099999999999,0.34264500000000003,0.4107000000000003,0.6847499999999997,0.7246799999999999,0.5604433333333333,0.6380599999999998,0.7231833333333335,0.7480033333333332,0.662893333333333,0.6791600000000001,0.0,0.7787000000000003,0.5041800000000001,0.8035599999999995,0.35783333333333334,0.8781500000000001,0.36554333333333333,0.6581499999999998,0.9288166666666661,0.49301666666666627,0.4189566666666666
FH_MOBS_GLEAM_COVID,0.87204,0.5211239999999998,0.902816,1.4751559999999984,0.7297599999999999,0.87204,0.8179640000000002,0.7542200000000001,0.8603559999999997,0.8427319999999999,0.859116,0.7609280000000002,0.9583879999999999,0.7361239999999998,0.6233559999999998,0.7796000000000002,1.1053450000000007,0.724796,0.7287560000000003,0.5425239999999998,0.7199039999999999,0.7089399999999998,0.6514679999999997,0.7405399999999999,0.7412919999999996,0.82786,0.7787000000000003,0.0,,0.4948650000000002,0.9525719999999995,0.9973000000000003,1.0807079999999996,0.7212199999999998,0.6853760000000001,0.6814840000000009,0.9037720000000001
FH_MUNI_ARIMA,0.3446,0.42582000000000003,1.0150599999999999,1.26046,0.36744000000000016,0.3446,0.4979399999999998,0.5477399999999999,0.44434000000000007,0.4414799999999999,0.4414799999999999,0.46800000000000014,0.44917999999999997,0.7459199999999998,0.5089399999999998,0.8509399999999998,,0.34468000000000004,0.42944000000000004,0.4583600000000002,0.63152,0.5590800000000001,0.41798,0.61902,0.39604,0.9486999999999999,0.5041800000000001,,0.0,0.5120199999999998,0.4099999999999999,,0.49923999999999985,0.66798,0.8129800000000001,0.4550000000000001,0.36523999999999995
FH_Microsoft_DeepSTIA,0.36666000000000004,0.4868400000000001,0.9665280000000003,1.607115999999999,0.7225650000000001,0.36666000000000004,0.7339439999999998,0.6345240000000001,0.787916,0.7496440000000004,0.7512000000000004,0.7881560000000001,0.9096199999999998,0.47089600000000015,0.6780920000000004,0.6977150000000003,1.2333349999999998,0.7590239999999998,0.7171840000000003,0.3714119999999999,0.7372679999999999,0.52472,0.47292399999999984,0.6398400000000003,0.59274,0.7613000000000002,0.8035599999999995,0.4948650000000002,0.5120199999999998,0.0,0.9121839999999999,1.2111799999999997,1.1485759999999992,0.56446,0.523356,0.650144,0.8469959999999996
FH_RobertWalraven_ESG,0.22241,0.6477599999999999,1.0095399999999997,1.5105766666666662,0.3831600000000004,0.22241,0.4662533333333335,0.5556266666666669,0.3174966666666671,0.4896666666666666,0.4512166666666667,0.37233666666666687,0.08526333333333344,0.7961833333333342,0.977923333333333,0.5834000000000001,0.21145499999999992,0.31254333333333423,0.69727,0.8208900000000003,0.6467266666666667,0.4721099999999999,0.64836,0.84497,0.6124066666666665,0.8491400000000004,0.35783333333333334,0.9525719999999995,0.4099999999999999,0.9121839999999999,0.0,1.17902,0.25360333333333324,0.5005199999999999,0.9420300000000001,0.35576000000000013,0.1655699999999999
FH_SigSci_TS,,1.0282799999999996,0.8716099999999996,0.6214200000000001,0.8092000000000003,,0.9261499999999999,0.9860000000000003,1.0009500000000002,0.9507500000000003,0.9388500000000001,1.0917800000000002,1.32089,1.1691799999999999,0.9217000000000003,1.3201299999999998,1.0231600000000003,1.01665,0.8520499999999999,0.9556,0.8828899999999994,,1.0288499999999996,0.9151600000000003,0.9621600000000003,,0.8781500000000001,0.9973000000000003,,1.2111799999999997,1.17902,0.0,1.17812,,1.09751,1.1362800000000002,1.16478
FH_TTU_squider,0.35873,0.8221399999999994,0.9304399999999998,1.1731166666666668,0.560388,0.35873,0.6395300000000002,0.7292099999999996,0.5215466666666672,0.6399699999999999,0.6107633333333334,0.5260633333333333,0.26119,1.0017466666666655,0.9690033333333335,0.6839499999999998,0.18188500000000002,0.5283133333333335,0.7810200000000003,1.019383333333334,0.7470133333333334,0.8257500000000002,0.8652133333333331,0.930256666666666,0.7586166666666667,0.9852400000000004,0.36554333333333333,1.0807079999999996,0.49923999999999985,1.1485759999999992,0.25360333333333324,1.17812,0.0,0.7723,1.0753599999999992,0.592,0.35766333333333367
FH_UCLA_SuEIR,0.6268699999999998,0.52475,0.9600799999999998,1.4976899999999995,0.52172,0.6268699999999998,0.5479,0.5175900000000001,0.5172800000000001,0.5391199999999998,0.5391199999999998,0.66595,0.5075700000000001,0.5188299999999999,0.7735999999999997,0.6174200000000001,,0.48228999999999994,0.5792499999999999,0.5181900000000002,0.6653300000000002,0.6188199999999998,0.49676000000000015,0.6857099999999999,0.5466100000000002,0.8057499999999999,0.6581499999999998,0.7212199999999998,0.66798,0.56446,0.5005199999999999,,0.7723,0.0,0.7486499999999999,0.5115000000000001,0.4660000000000001
FH_UMich_RidgeTfReg,0.8466499999999997,0.6987933333333329,0.917976666666667,1.3274499999999991,0.76746,0.8466499999999997,0.8208466666666666,0.7291899999999991,0.8411933333333333,0.8127333333333331,0.8209399999999999,0.8214566666666666,0.9288499999999992,0.6456533333333332,0.8516266666666663,0.7994150000000007,1.0834950000000003,0.87634,0.8225233333333336,0.6765666666666669,0.8319099999999999,0.7779199999999998,0.6729133333333334,0.7554733333333337,0.7316633333333329,0.7804500000000004,0.9288166666666661,0.6853760000000001,0.8129800000000001,0.523356,0.9420300000000001,1.09751,1.0753599999999992,0.7486499999999999,0.0,0.7991333333333338,0.9051366666666663
FH_UVA_Ensemble,0.31639,0.49327333333333323,0.9845833333333335,1.5979866666666664,0.41424400000000045,0.31639,0.50988,0.5751000000000001,0.45117333333333365,0.5179266666666668,0.5241933333333334,0.5219366666666659,0.3690933333333335,0.654623333333333,0.7734666666666677,0.5631149999999997,0.5877450000000002,0.3715700000000002,0.6548833333333334,0.6325500000000001,0.5553566666666666,0.39195,0.5418433333333336,0.740293333333333,0.6020833333333332,0.8022500000000002,0.49301666666666627,0.6814840000000009,0.4550000000000001,0.650144,0.35576000000000013,1.1362800000000002,0.592,0.5115000000000001,0.7991333333333338,0.0,0.407976666666667
USC_SI_kJalpha,0.19890999999999998,0.6446199999999992,1.0095799999999995,1.5277566666666647,0.4135840000000002,0.19890999999999998,0.39493666666666694,0.4895033333333336,0.2764600000000003,0.3999633333333333,0.37346,0.4531166666666668,0.1700866666666666,0.7288799999999999,0.9197000000000003,0.6414599999999999,0.3269450000000001,0.3624000000000004,0.6731333333333333,0.7837433333333332,0.6513500000000004,0.48571999999999965,0.5751533333333344,0.8008633333333328,0.5697899999999996,0.83259,0.4189566666666666,0.9037720000000001,0.36523999999999995,0.8469959999999996,0.1655699999999999,1.16478,0.35766333333333367,0.4660000000000001,0.9051366666666663,0.407976666666667,0.0
