,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_MIT_ISOLAT_Mixtures,0.25268999999999997,0.28079000000000015,0.7529399999999993,0.951095,0.2794000000000001,0.32242000000000004,0.36379999999999996,0.43002000000000024,0.32448000000000016,0.34589499999999995,0.34589499999999995,0.3806966666666668,0.2975359999999999,0.7786750000000007,0.4142466666666667,0.7245599999999999,0.25954399999999994,0.2930960000000001,0.3032866666666667,0.4681200000000003,0.40487,0.24545000000000003,0.56558,0.25479499999999994,0.7406600000000002,0.0,0.26786399999999994,0.43739600000000006,0.7644933333333329,0.22548333333333329,0.3279766666666664,0.7909050000000003,0.918816,0.33999600000000013,0.26388000000000006
FH_MOBS_GLEAM_COVID,0.16210000000000013,0.16093600000000002,0.9913349999999997,1.3701466666666675,0.05738999999999997,0.23259999999999997,0.34365333333333326,0.4297533333333332,0.27231333333333346,0.41073333333333334,0.41073333333333334,0.2520239999999999,0.09868499999999997,0.9248599999999997,0.40096000000000015,,0.06792999999999999,0.2034649999999999,0.14431600000000008,0.32359333333333345,0.020480000000000005,0.11486399999999998,0.7261519999999995,0.10923333333333322,0.7664700000000002,0.26786399999999994,0.0,0.4070249999999999,0.8740399999999997,0.10322800000000006,0.30347600000000036,0.8850599999999997,1.0300500000000001,0.1503,0.12421599999999998
FH_MUNI_ARIMA,0.3443999999999999,0.42574000000000023,0.835924,1.0916349999999995,0.38614666666666686,0.3987400000000003,0.4590650000000002,0.5046999999999999,0.4298400000000002,0.4364800000000001,0.4364800000000001,0.48469200000000007,0.41615199999999974,0.91943,0.41213600000000006,0.8509399999999998,0.379132,0.3945120000000003,0.397976,0.5885050000000004,0.5254800000000001,0.37735600000000014,0.6389760000000001,0.338615,0.8160959999999995,0.43739600000000006,0.4070249999999999,0.0,0.9512839999999998,0.36060000000000014,0.4599680000000002,0.9485300000000003,1.0028240000000008,0.44235199999999997,0.3594119999999999
FH_Microsoft_DeepSTIA,0.776493333333333,0.7883133333333335,1.0775200000000007,1.513125,0.7458466666666664,0.77156,0.9435249999999996,0.8837950000000001,0.979795,0.9993699999999999,0.9993699999999999,0.8267900000000006,0.8303000000000009,0.6699699999999997,0.9111899999999999,0.6838799999999999,0.8324799999999998,0.91964,0.7812666666666668,0.8151499999999996,0.7776800000000001,0.8003599999999996,0.732263333333333,0.8289250000000004,0.8026880000000004,0.7644933333333329,0.8740399999999997,0.9512839999999998,0.0,0.791036666666666,0.9456800000000006,0.6264949999999998,0.7837079999999996,0.8119159999999995,0.7685833333333332
FH_RobertWalraven_ESG,0.08848000000000006,0.1106866666666667,0.9032079999999999,1.2984850000000001,0.05859333333333332,0.15752999999999998,0.29969500000000004,0.3865250000000002,0.20036500000000007,0.302825,0.302825,0.2278066666666668,0.11846800000000006,0.8035849999999998,0.42225666666666695,0.6431600000000003,0.07553599999999995,0.13056400000000004,0.18165000000000006,0.36134000000000005,0.23981999999999995,0.06048666666666665,0.6103333333333334,0.04783499999999998,0.7937519999999995,0.22548333333333329,0.10322800000000006,0.36060000000000014,0.791036666666666,0.0,0.26491,0.8056349999999998,0.9694840000000001,0.16532000000000005,0.09389666666666661
FH_TTU_squider,0.3156866666666666,0.33048999999999995,0.8756759999999998,1.053315,0.19010666666666678,0.32434000000000013,0.4387550000000004,0.536325,0.3362000000000001,0.439845,0.439845,0.43461666666666693,0.3082720000000001,0.91464,0.44408666666666674,0.9703000000000002,0.28620800000000035,0.29773199999999983,0.3776833333333335,0.4391400000000001,0.4428000000000003,0.2976833333333334,0.7570166666666666,0.26791000000000004,0.8844079999999993,0.3279766666666664,0.30347600000000036,0.4599680000000002,0.9456800000000006,0.26491,0.0,0.9243649999999995,1.0660720000000004,0.368576,0.3392500000000003
FH_UCLA_SuEIR,0.8392499999999994,0.8162449999999997,0.9143749999999993,1.3372866666666658,0.8272000000000004,0.8231499999999999,0.8357350000000002,0.8250399999999998,0.8224250000000005,0.8550450000000002,0.8550450000000002,0.8568099999999995,0.8351300000000005,0.5531550000000003,0.8851950000000001,0.6174200000000001,0.8001999999999999,0.8647949999999998,0.8208150000000001,0.8451699999999999,0.78281,0.8088650000000003,0.8457200000000004,0.7579333333333335,0.8969700000000006,0.7909050000000003,0.8850599999999997,0.9485300000000003,0.6264949999999998,0.8056349999999998,0.9243649999999995,0.0,0.8518450000000004,0.8130700000000001,0.8276300000000003
FH_UMich_RidgeTfReg,0.942036,0.9937040000000001,0.9712999999999999,1.1265000000000007,1.0238600000000002,0.9165300000000001,0.954385,0.9223649999999997,0.9423399999999996,0.9630499999999997,0.9630499999999997,0.9583719999999998,0.9518560000000005,0.8335849999999998,1.0052919999999994,0.7773799999999997,0.9619200000000002,0.9579159999999998,1.00318,0.9929249999999997,0.9558100000000005,0.9790719999999996,0.8990359999999997,0.9361949999999999,0.7874000000000004,0.918816,1.0300500000000001,1.0028240000000008,0.7837079999999996,0.9694840000000001,1.0660720000000004,0.8518450000000004,0.0,0.9490479999999998,0.9701239999999998
FH_UVA_Ensemble,0.18904,0.187892,1.0071319999999997,1.443725,0.20343999999999995,0.3115,0.33570500000000036,0.381965,0.27066500000000016,0.38668000000000013,0.38668000000000013,0.3106160000000001,0.20078400000000005,0.803525,0.45224000000000003,0.5586800000000003,0.161688,0.241544,0.23208399999999996,0.3969100000000003,0.34248999999999996,0.15710800000000005,0.6642,0.14014000000000004,0.8214599999999993,0.33999600000000013,0.1503,0.44235199999999997,0.8119159999999995,0.16532000000000005,0.368576,0.8130700000000001,0.9490479999999998,0.0,0.16436399999999995
USC_SI_kJalpha,0.11816,0.1496966666666667,0.9711039999999997,1.3683349999999999,0.13012666666666664,0.16601,0.30272000000000016,0.364525,0.22667000000000012,0.32327000000000006,0.32327000000000006,0.2693499999999999,0.15906800000000007,0.8133699999999999,0.47728999999999977,0.6787600000000001,0.12387200000000001,0.182016,0.2044733333333333,0.36059499999999994,0.3242900000000002,0.08383666666666664,0.63156,0.10160000000000004,0.8206440000000007,0.26388000000000006,0.12421599999999998,0.3594119999999999,0.7685833333333332,0.09389666666666661,0.3392500000000003,0.8276300000000003,0.9701239999999998,0.16436399999999995,0.0
