,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_CovidAnalytics_DELPHI,0.96526,0.8894599999999997,1.2466833333333336,0.42289000000000015,1.199053333333333,1.2583466666666656,0.6849333333333337,1.2311666666666656,1.2251800000000013,0.650873333333333,0.0,1.0944666666666676,0.49158,0.39291666666666686,0.9248100000000004,0.7266466666666673,1.0189599999999996,0.6928766666666666,0.8123166666666669,0.22440999999999997,0.6766599999999999,0.5215000000000001,0.23972999999999986,0.5497199999999999,0.2546800000000001,0.8445166666666659,0.59426,0.8731299999999999,0.5517100000000003,0.9493099999999999
FH_DDS_NBDS,0.48654000000000003,0.9482966666666658,1.5031933333333327,1.0057933333333333,0.35382,0.2694133333333334,0.716626666666667,0.3214000000000001,0.4379033333333338,1.0210699999999997,1.0944666666666676,0.0,1.1137400000000002,1.0763866666666675,0.5990133333333328,0.8519199999999999,0.3011100000000001,0.831079999999999,0.6830733333333331,1.1037500000000011,0.6352533333333329,0.9479800000000002,1.0579366666666663,1.124693333333333,1.0885533333333341,0.8243266666666665,0.7665599999999998,0.7432899999999999,0.8331366666666667,0.6023866666666664
FH_Google_Harvard_CPF,,0.65104,1.2003600000000005,0.47124000000000005,0.9768200000000005,0.9816399999999998,0.9196199999999999,0.97906,0.97906,0.7120000000000001,0.49158,1.1137400000000002,0.0,0.49651999999999996,0.9869200000000004,0.4786399999999999,,0.8342999999999999,0.80326,0.60384,0.8294600000000001,,0.6061400000000002,0.6341800000000002,0.5921000000000002,0.6815000000000002,0.80198,,0.8514200000000001,0.9409000000000002
FH_IowaStateLW_STEM,0.9929400000000003,0.8210033333333335,1.1270866666666672,0.4809499999999999,1.179533333333333,1.2228799999999993,0.7932200000000001,1.20618,1.18471,0.6992066666666665,0.39291666666666686,1.0763866666666675,0.49651999999999996,0.0,0.9557999999999994,0.634016666666667,0.9870799999999995,0.815093333333333,0.8938199999999998,0.3994800000000002,0.8028033333333333,0.5071799999999999,0.41030000000000016,0.6174733333333329,0.4142833333333334,0.8348999999999996,0.6881099999999998,0.84427,0.669776666666667,0.9791566666666675
FH_JCB_PRM,0.5287399999999999,0.8227599999999995,1.3359566666666653,0.8173533333333338,0.47603333333333336,0.4621133333333335,0.7391066666666669,0.46654666666666694,0.6258233333333327,0.7830966666666669,0.9248100000000004,0.5990133333333328,0.9869200000000004,0.9557999999999994,0.0,0.8182466666666667,0.46188,0.7527399999999991,0.5998333333333332,0.9589933333333344,0.6616133333333333,0.80048,0.9028500000000003,0.9831333333333325,0.9532566666666673,0.8897933333333334,0.6077100000000003,0.8583699999999997,0.6470166666666667,0.5342733333333335
FH_JHUAPL_Bucky,0.7364200000000001,0.8143600000000003,1.2256599999999993,0.645023333333333,0.9573400000000005,0.9688400000000004,0.85338,0.9416199999999996,0.9135799999999998,0.8209299999999998,0.7266466666666673,0.8519199999999999,0.4786399999999999,0.634016666666667,0.8182466666666667,0.0,0.6631200000000004,0.9095699999999995,0.7708400000000004,0.7381333333333329,0.7946533333333339,0.8459399999999998,0.7173633333333329,0.8005999999999996,0.7221766666666669,0.8707299999999992,0.6983149999999996,0.7677100000000001,0.8264599999999994,0.9072333333333328
FH_JHU_CSSE_DECOM,0.4549199999999998,0.7922100000000002,1.3994199999999999,0.8516299999999998,0.4073799999999998,0.32007000000000013,0.6901899999999999,0.3846699999999999,0.3846699999999999,1.04503,1.0189599999999996,0.3011100000000001,,0.9870799999999995,0.46188,0.6631200000000004,0.0,0.6559500000000001,0.5400400000000003,1.0327299999999995,0.4758700000000001,0.9137999999999998,0.9195000000000002,0.9874099999999999,1.0875899999999996,0.6475600000000001,,0.5809200000000001,0.7569400000000001,0.3962200000000001
FH_JHU_IDD_CovidSP,0.8596199999999997,0.8903433333333329,1.2613300000000003,0.625193333333333,0.7650800000000002,0.8068133333333335,0.6549466666666663,0.8124800000000001,0.9301966666666662,0.730246666666667,0.6928766666666666,0.831079999999999,0.8342999999999999,0.815093333333333,0.7527399999999991,0.9095699999999995,0.6559500000000001,0.0,0.7688733333333333,0.6526100000000006,0.6294333333333331,0.8322799999999999,0.6475400000000003,0.7966600000000001,0.6077700000000001,0.8542066666666669,0.7183500000000004,0.8314749999999996,0.5854566666666672,0.7311766666666667
FH_Karlen_pypm,0.5652200000000001,0.8525433333333333,1.227316666666666,0.7475033333333333,0.6446333333333334,0.5837800000000003,0.8672466666666668,0.6101000000000005,0.7654866666666661,0.8712599999999998,0.8123166666666669,0.6830733333333331,0.80326,0.8938199999999998,0.5998333333333332,0.7708400000000004,0.5400400000000003,0.7688733333333333,0.0,0.9059933333333338,0.7111533333333327,0.8946,0.851753333333333,1.0002600000000004,0.880129999999999,0.8645666666666662,0.7374949999999998,0.8196249999999996,0.7657633333333336,0.7100566666666662
FH_LANL_GrowthRate,1.04158,0.9632533333333333,1.4687466666666642,0.47262333333333356,1.2623466666666667,1.3256466666666666,0.6509400000000003,1.3124000000000002,1.255726666666666,0.6567966666666666,0.22440999999999997,1.1037500000000011,0.60384,0.3994800000000002,0.9589933333333344,0.7381333333333329,1.0327299999999995,0.6526100000000006,0.9059933333333338,0.0,0.7764666666666663,0.40369999999999984,0.07150666666666666,0.5865533333333334,0.1073233333333334,0.930516666666667,0.5694750000000001,0.9634450000000002,0.4922366666666667,0.954216666666667
FH_LNQ_ens1,0.5711200000000002,0.79102,1.1819533333333343,0.526936666666667,0.62428,0.6566733333333334,0.5890399999999997,0.5985133333333335,0.7553166666666665,0.69175,0.6766599999999999,0.6352533333333329,0.8294600000000001,0.8028033333333333,0.6616133333333333,0.7946533333333339,0.4758700000000001,0.6294333333333331,0.7111533333333327,0.7764666666666663,0.0,0.9189399999999996,0.7015966666666669,0.7943733333333333,0.7497033333333336,0.7021866666666672,0.5069499999999999,0.6693999999999997,0.5147433333333337,0.6033866666666668
FH_MSRA_DeepST,0.8791000000000001,0.9367800000000002,1.4004999999999999,0.8925799999999998,0.9582599999999998,0.9348600000000001,0.6500199999999998,0.9244399999999999,0.9244399999999999,0.6708200000000001,0.5215000000000001,0.9479800000000002,,0.5071799999999999,0.80048,0.8459399999999998,0.9137999999999998,0.8322799999999999,0.8946,0.40369999999999984,0.9189399999999996,0.0,0.5489,0.69922,0.42202000000000006,0.6805000000000001,,,0.6997199999999999,0.8262799999999997
FH_RobertWalraven_ESG,0.95906,0.9199166666666667,1.4006700000000003,0.4335200000000004,1.2093866666666657,1.272173333333334,0.6122266666666666,1.22872,1.1976133333333332,0.6696499999999999,0.23972999999999986,1.0579366666666663,0.6061400000000002,0.41030000000000016,0.9028500000000003,0.7173633333333329,0.9195000000000002,0.6475400000000003,0.851753333333333,0.07150666666666666,0.7015966666666669,0.5489,0.0,0.5616733333333332,0.15555333333333335,0.8767166666666666,0.5491899999999997,0.911675,0.4526466666666669,0.9070800000000004
FH_TTU_squider,0.9940399999999998,0.8092733333333334,1.0816266666666663,0.64434,1.1497399999999993,1.1908,0.7277133333333331,1.1528266666666662,1.1528266666666662,0.6672466666666668,0.5497199999999999,1.124693333333333,0.6341800000000002,0.6174733333333329,0.9831333333333325,0.8005999999999996,0.9874099999999999,0.7966600000000001,1.0002600000000004,0.5865533333333334,0.7943733333333333,0.69922,0.5616733333333332,0.0,0.5808200000000002,0.8808666666666665,0.7361999999999997,0.8836599999999999,0.6965333333333336,1.0026933333333337
FH_UCLA_SuEIR,1.0306,0.9217433333333335,1.4019633333333348,0.45076333333333346,1.2529399999999997,1.3153800000000002,0.6839466666666666,1.313646666666667,1.2325633333333326,0.6278266666666664,0.2546800000000001,1.0885533333333341,0.5921000000000002,0.4142833333333334,0.9532566666666673,0.7221766666666669,1.0875899999999996,0.6077700000000001,0.880129999999999,0.1073233333333334,0.7497033333333336,0.42202000000000006,0.15555333333333335,0.5808200000000002,0.0,0.8735500000000002,0.6166450000000002,0.8946700000000003,0.5063599999999997,0.9244433333333331
FH_UMich_RidgeTfReg,0.5796600000000001,0.7395099999999999,1.072833333333333,0.8238800000000003,0.7685866666666666,0.7238133333333333,0.7921666666666668,0.7237600000000001,0.8344233333333332,0.9040899999999997,0.8445166666666659,0.8243266666666665,0.6815000000000002,0.8348999999999996,0.8897933333333334,0.8707299999999992,0.6475600000000001,0.8542066666666669,0.8645666666666662,0.930516666666667,0.7021866666666672,0.6805000000000001,0.8767166666666666,0.8808666666666665,0.8735500000000002,0.0,0.8988550000000001,0.27634000000000003,0.848286666666666,0.8397699999999998
FH_USACE_ERDC_SEIR,,0.9150599999999999,1.3690849999999997,0.5227500000000003,0.7113799999999998,0.7082200000000001,0.50466,0.6762199999999998,0.7868499999999998,0.6175150000000005,0.59426,0.7665599999999998,0.80198,0.6881099999999998,0.6077100000000003,0.6983149999999996,,0.7183500000000004,0.7374949999999998,0.5694750000000001,0.5069499999999999,,0.5491899999999997,0.7361999999999997,0.6166450000000002,0.8988550000000001,0.0,0.7405866666666668,0.33651000000000003,0.6271250000000002
UMich_RidgeTfReg,,0.7042499999999999,1.1475300000000013,0.8230300000000002,0.86218,0.819,0.8983599999999999,0.8982800000000001,0.7490399999999997,0.8304150000000005,0.8731299999999999,0.7432899999999999,,0.84427,0.8583699999999997,0.7677100000000001,0.5809200000000001,0.8314749999999996,0.8196249999999996,0.9634450000000002,0.6693999999999997,,0.911675,0.8836599999999999,0.8946700000000003,0.27634000000000003,0.7405866666666668,0.0,0.8486750000000006,0.8036650000000004
USC_SI_kJalpha,0.90554,0.8982466666666675,1.3562099999999981,0.5373066666666667,0.7420333333333334,0.8006133333333333,0.48474,0.7513466666666666,0.8660466666666662,0.60723,0.5517100000000003,0.8331366666666667,0.8514200000000001,0.669776666666667,0.6470166666666667,0.8264599999999994,0.7569400000000001,0.5854566666666672,0.7657633333333336,0.4922366666666667,0.5147433333333337,0.6997199999999999,0.4526466666666669,0.6965333333333336,0.5063599999999997,0.848286666666666,0.33651000000000003,0.8486750000000006,0.0,0.64716
ensemble_SIkJa_RF,0.5138800000000001,0.8836433333333328,1.3227399999999987,0.8284466666666667,0.4174600000000001,0.4328800000000001,0.6523333333333333,0.44126000000000015,0.5774733333333333,0.7936300000000006,0.9493099999999999,0.6023866666666664,0.9409000000000002,0.9791566666666675,0.5342733333333335,0.9072333333333328,0.3962200000000001,0.7311766666666667,0.7100566666666662,0.954216666666667,0.6033866666666668,0.8262799999999997,0.9070800000000004,1.0026933333333337,0.9244433333333331,0.8397699999999998,0.6271250000000002,0.8036650000000004,0.64716,0.0
