,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_CovidAnalytics_DELPHI,0.4877480000000002,0.6609950000000002,1.5859499999999995,0.31557600000000025,0.68384,0.7203399999999993,0.6251519999999997,0.7488079999999998,0.7141839999999997,0.5005160000000001,0.0,0.6343239999999989,0.6767,0.5525599999999998,0.43020400000000014,0.9834800000000002,0.3729040000000002,0.772904,0.812943999999999,0.501156,0.3768800000000001,0.7743249999999996,0.438756,0.29255999999999993,0.4954040000000002,0.6333240000000007,0.164704,0.22582799999999992,0.38491999999999993,0.7497679999999999,0.6821479999999996,0.37006800000000006,0.27777600000000013,0.4932079999999999
FH_DDS_NBDS,0.5422400000000002,0.6717000000000002,1.60443,0.6177839999999998,0.5900279999999999,0.6097519999999998,0.5607840000000004,0.6074759999999999,0.5760959999999998,0.5924840000000002,0.6343239999999989,0.0,0.5716480000000003,0.5124560000000002,0.7149840000000002,0.6469399999999998,0.6398279999999997,0.687348,0.5047319999999998,0.6613199999999997,0.5505500000000005,0.5666350000000001,0.5253480000000001,0.25742,0.5331080000000002,0.628352,0.6919559999999996,0.6800080000000002,0.7041439999999994,0.6414159999999997,0.8274039999999999,0.6177399999999997,0.6466319999999999,0.6118080000000002
FH_Google_Harvard_CPF,0.6311760000000001,0.613915,1.5967400000000003,0.5804320000000003,0.7080239999999989,0.7011360000000005,0.7043839999999998,0.6851359999999999,0.7082759999999999,0.5800560000000005,0.6767,0.5716480000000003,0.0,0.4788400000000004,0.7910440000000003,0.36302999999999996,0.5769399999999999,0.5832520000000002,0.4505080000000002,0.5291959999999998,0.5190500000000002,0.6183600000000002,0.51282,0.49155999999999983,0.460772,0.643016,0.6604599999999998,0.6371960000000001,0.6440120000000003,0.5864799999999998,0.601712,0.5583760000000001,0.6811000000000005,0.5236880000000003
FH_IEM_MED_CovidProject,0.44955,0.68076,1.5413149999999993,0.37103200000000014,0.5187320000000002,0.5257879999999999,0.5232479999999999,0.5254399999999997,0.5300199999999997,0.3525200000000001,0.5525599999999998,0.5124560000000002,0.4788400000000004,0.0,0.6817280000000003,0.6661700000000002,0.394448,0.7273880000000005,0.4926160000000005,0.38580400000000026,0.2320519999999998,0.5696950000000005,0.2828840000000001,0.44752999999999993,0.4188080000000001,0.7677900000000001,0.537383333333333,0.5270500000000002,0.5959879999999993,0.5538560000000001,0.6765159999999998,0.5392719999999998,0.5199233333333334,0.48103999999999975
FH_IowaStateLW_STEM,0.6088399999999998,0.68098,1.3739100000000002,0.4337600000000001,0.7766759999999996,0.8034,0.7346800000000002,0.8438479999999997,0.8089079999999996,0.60756,0.43020400000000014,0.7149840000000002,0.7910440000000003,0.6817280000000003,0.0,1.0466400000000002,0.48905600000000005,0.7624880000000003,0.8613999999999998,0.6346680000000005,0.5693500000000002,0.7826149999999995,0.5313239999999998,0.46303999999999995,0.6503599999999998,0.6017880000000001,0.39812400000000026,0.4443760000000003,0.5389879999999999,0.8377039999999986,0.7107760000000001,0.5154520000000001,0.41558000000000017,0.5852600000000001
FH_JCB_PRM,0.52876,0.5900200000000002,1.5644999999999993,0.8391699999999997,0.9929600000000004,0.9568299999999995,0.9857099999999999,0.8637700000000001,0.93845,0.7849699999999998,0.9834800000000002,0.6469399999999998,0.36302999999999996,0.6661700000000002,1.0466400000000002,0.0,0.8644900000000004,0.6329899999999999,0.32599999999999996,0.48164000000000023,0.6520999999999998,0.7293199999999999,0.9439299999999996,,0.4052299999999998,0.5998800000000002,0.9799499999999998,0.7970699999999998,0.8591700000000002,0.18228999999999998,0.6563300000000001,0.72678,0.8720699999999997,0.6365900000000002
FH_JHUAPL_Bucky,0.43264400000000014,0.6537199999999999,1.5801099999999995,0.2736320000000002,0.5540760000000001,0.5881360000000001,0.5224960000000004,0.5992680000000002,0.6000520000000003,0.38062400000000013,0.3729040000000002,0.6398279999999997,0.5769399999999999,0.394448,0.48905600000000005,0.8644900000000004,0.0,0.7317599999999997,0.6491039999999999,0.4077159999999999,0.3036500000000001,0.6412700000000002,0.3301960000000001,0.16756000000000004,0.49626000000000015,0.7214280000000002,0.26173600000000036,0.3317200000000002,0.41663199999999995,0.6631479999999997,0.626548,0.4305440000000003,0.28722800000000015,0.4817719999999999
FH_JHU_CSSE_DECOM,0.716512,0.6859850000000001,1.4917850000000001,0.7367359999999995,0.6340360000000005,0.6194400000000001,0.6364439999999998,0.619252000000001,0.6135840000000009,0.6933720000000008,0.772904,0.687348,0.5832520000000002,0.7273880000000005,0.7624880000000003,0.6329899999999999,0.7317599999999997,0.0,0.5882160000000003,0.796712,0.7873899999999998,0.5636200000000002,0.6753479999999998,0.8496800000000002,0.6832840000000004,0.6123160000000001,0.8134799999999999,0.7558239999999997,0.7357919999999999,0.7440519999999999,0.664484,0.609948,0.8122560000000001,0.6761520000000002
FH_JHU_IDD_CovidSP,0.6017520000000001,0.6606349999999999,1.5611999999999993,0.6784600000000001,0.6056919999999998,0.5998280000000005,0.5934239999999995,0.5682840000000001,0.5898200000000001,0.5471759999999997,0.812943999999999,0.5047319999999998,0.4505080000000002,0.4926160000000005,0.8613999999999998,0.32599999999999996,0.6491039999999999,0.5882160000000003,0.0,0.59044,0.5563300000000001,0.5653150000000002,0.6097800000000002,0.4819199999999999,0.4412639999999999,0.6789239999999996,0.843888,0.7365079999999999,0.7750239999999998,0.49898000000000003,0.6657439999999998,0.6330399999999998,0.759572,0.5547200000000004
FH_JHU_UNC_GAS_StatMechPool,0.43600400000000006,0.6523350000000003,1.514269999999999,0.36814,0.7108639999999998,0.7277359999999996,0.6813480000000003,0.729268,0.7424080000000002,0.460088,0.501156,0.6613199999999997,0.5291959999999998,0.38580400000000026,0.6346680000000005,0.48164000000000023,0.4077159999999999,0.796712,0.59044,0.0,0.25154499999999996,0.7322449999999999,0.4751920000000001,0.38286000000000003,0.37666000000000005,0.8202199999999996,0.459048,0.42357200000000017,0.565764,0.4208840000000004,0.6305159999999996,0.5411000000000001,0.4532480000000001,0.53292
