,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_Karlen_pypm,0.4657666666666666,0.9518200000000001,1.490746666666664,0.7230266666666665,0.6524466666666662,0.6478599999999994,0.6977633333333328,0.6253599999999998,0.706943333333333,0.6919366666666671,0.92719,0.8403600000000001,0.5611833333333327,0.6268866666666668,0.87034,1.2013500000000001,0.6153799999999999,0.7469233333333333,0.6180399999999997,0.8050119999999996,0.0,0.5933566666666665,0.47804333333333315,0.8086633333333331,0.5174733333333333,0.5234533333333331,0.8434400000000002,0.9171033333333333,0.9819533333333333,0.9947799999999999,0.8360249999999995,0.5969433333333336,0.7783166666666665,0.7560166666666664
FH_LANL_GrowthRate,0.813786666666667,0.8925099999999996,1.3776533333333334,0.8760933333333333,0.7521999999999998,0.7253333333333336,0.7701600000000003,0.6542900000000005,0.7060966666666667,0.9941166666666661,1.1442666666666663,0.6994450000000004,0.894986666666666,0.8103233333333333,0.8312919999999997,1.2826733333333327,0.890663333333333,0.6141300000000002,0.6589133333333337,0.9479560000000001,0.5933566666666665,0.0,0.5920433333333327,0.9809133333333335,0.6814133333333332,0.7481099999999999,0.5644,1.141870000000001,0.96819,1.2037466666666674,0.9192699999999998,0.5638833333333334,0.932816666666666,0.9322833333333334
FH_LNQ_ens1,0.5903999999999996,0.8907000000000003,1.3001999999999998,0.6146200000000006,0.6392000000000002,0.6401866666666671,0.6439166666666668,0.6022033333333332,0.6213666666666667,0.7656933333333331,0.9280800000000001,0.7255400000000002,0.7839600000000008,0.5540666666666667,0.9205639999999997,1.0514233333333323,0.6574866666666671,0.7342133333333326,0.6116066666666671,0.742908,0.47804333333333315,0.5920433333333327,0.0,0.7897466666666667,0.5886966666666673,0.5895733333333335,0.9384600000000002,0.8965466666666668,0.8597700000000005,0.9677899999999999,0.9679450000000002,0.6915333333333339,0.757856666666666,0.7021133333333337
FH_MIT_ISOLAT_Mixtures,0.5754566666666666,0.8788600000000006,1.3089566666666665,0.43410999999999994,0.5738100000000003,0.5871300000000002,0.5726099999999997,0.6885666666666663,0.6199433333333332,0.4516633333333333,0.24575000000000008,0.7816550000000001,0.6027300000000003,0.5473433333333332,0.596772,0.5523599999999997,0.45471333333333336,1.0674033333333333,0.7478166666666668,0.41473200000000027,0.8086633333333331,0.9809133333333335,0.7897466666666667,0.0,0.6408600000000001,0.6033366666666673,0.8950999999999999,0.22088333333333335,0.994073333333333,0.20895333333333335,0.6899300000000003,0.9803666666666667,0.34955333333333355,0.4601866666666671
FH_MOBS_GLEAM_COVID,0.5031499999999999,0.886233333333333,1.4709199999999991,0.6014733333333333,0.5564500000000006,0.576846666666667,0.6321533333333333,0.5696033333333335,0.6126866666666667,0.6842533333333328,0.7703266666666664,0.7484300000000004,0.757333333333333,0.5199999999999998,0.7219039999999998,1.017913333333333,0.5456199999999999,0.7772466666666666,0.6910600000000006,0.5538200000000002,0.5174733333333333,0.6814133333333332,0.5886966666666673,0.6408600000000001,0.0,0.6394900000000001,0.6946200000000001,0.7559466666666668,0.9825066666666669,0.7939733333333338,0.9049249999999991,0.7447133333333333,0.6313599999999998,0.6478333333333336
FH_Microsoft_DeepSTIA,0.5211499999999997,0.9405699999999996,1.6165133333333346,0.5980566666666665,0.683013333333333,0.6397033333333333,0.7188033333333332,0.7304933333333331,0.7078499999999999,0.6349633333333331,0.5960099999999999,0.73179,0.4982166666666666,0.6629433333333332,0.6633560000000002,1.026933333333333,0.5616799999999997,0.8561899999999999,0.5714000000000004,0.6799839999999999,0.5234533333333331,0.7481099999999999,0.5895733333333335,0.6033366666666673,0.6394900000000001,0.0,0.47690000000000005,0.5895399999999998,1.210933333333334,0.6637233333333334,0.7189250000000001,0.6318199999999998,0.4980166666666669,0.6657666666666662
FH_OneQuietNight_ML,0.7725600000000001,0.9380200000000003,1.5831999999999993,0.75946,0.7913400000000002,0.76388,0.8616600000000002,0.6845200000000001,0.6845200000000001,0.84478,0.91148,0.73044,0.7832599999999998,0.8676599999999999,,1.08418,0.8010600000000002,0.66396,0.7757200000000002,0.8428999999999999,0.8434400000000002,0.5644,0.9384600000000002,0.8950999999999999,0.6946200000000001,0.47690000000000005,0.0,0.9072000000000001,1.2054399999999996,0.9017400000000002,0.8691000000000002,0.5680000000000001,0.8094199999999999,0.8237200000000001
FH_RobertWalraven_ESG,0.6627366666666665,0.950186666666667,1.5087400000000002,0.4558033333333333,0.6055899999999999,0.6056699999999998,0.5597333333333335,0.7465666666666667,0.6293066666666669,0.38590666666666695,0.08652666666666671,0.8299999999999998,0.6039833333333332,0.668323333333333,0.6155919999999999,0.53713,0.46759666666666666,1.2120799999999996,0.8490233333333328,0.5128600000000002,0.9171033333333333,1.141870000000001,0.8965466666666668,0.22088333333333335,0.7559466666666668,0.5895399999999998,0.9072000000000001,0.0,1.1437333333333335,0.07867999999999996,0.680745,1.037716666666667,0.31590999999999986,0.3745200000000001
FH_SigSci_TS,1.0461933333333324,0.9397999999999994,0.6059733333333335,0.8555733333333331,0.9033866666666666,0.9302733333333333,0.8855466666666657,0.9001766666666665,0.9011999999999993,1.0402466666666654,1.211759999999999,1.1973399999999998,1.1666333333333332,0.88278,1.2807399999999998,0.869656666666667,1.0434866666666665,0.94101,0.9467000000000002,0.926308,0.9819533333333333,0.96819,0.8597700000000005,0.994073333333333,0.9825066666666669,1.210933333333334,1.2054399999999996,1.1437333333333335,0.0,1.154063333333333,1.3005850000000003,1.1207099999999994,1.1357166666666667,0.9755433333333333
FH_TTU_squider,0.6968666666666664,0.9089866666666669,1.4395333333333329,0.4863733333333334,0.6589733333333332,0.660016666666666,0.6321033333333336,0.8017400000000003,0.7016433333333336,0.4117166666666669,0.08959666666666664,0.8588750000000006,0.662373333333333,0.7152333333333328,0.5893920000000002,0.46591333333333335,0.5241766666666668,1.2508700000000001,0.8625666666666664,0.5417160000000002,0.9947799999999999,1.2037466666666674,0.9677899999999999,0.20895333333333335,0.7939733333333338,0.6637233333333334,0.9017400000000002,0.07867999999999996,1.154063333333333,0.0,0.68805,1.0752233333333323,0.3572266666666666,0.4118933333333338
FH_UCLA_SuEIR,0.7226349999999998,0.9359500000000002,1.5704650000000009,0.8612800000000004,0.8130949999999997,0.78927,0.8732000000000002,0.872365,0.854165,0.6557949999999999,0.648105,0.6830050000000001,0.6186600000000001,0.9704249999999996,0.6303799999999998,1.1093549999999992,0.8129699999999999,0.9284899999999995,0.9568750000000003,0.8767266666666662,0.8360249999999995,0.9192699999999998,0.9679450000000002,0.6899300000000003,0.9049249999999991,0.7189250000000001,0.8691000000000002,0.680745,1.3005850000000003,0.68805,0.0,0.7844049999999995,0.7002149999999997,0.8548699999999992
FH_UMich_RidgeTfReg,0.7949200000000001,0.9059133333333336,1.3988699999999976,0.8599499999999999,0.8480066666666666,0.7960600000000003,0.8705900000000003,0.8005866666666668,0.8392899999999996,0.8508300000000003,1.0255033333333332,0.7952999999999996,0.7743099999999996,0.8903566666666666,0.7952839999999995,1.1711033333333336,0.8618466666666668,0.6512766666666668,0.6793833333333332,0.9619119999999995,0.5969433333333336,0.5638833333333334,0.6915333333333339,0.9803666666666667,0.7447133333333333,0.6318199999999998,0.5680000000000001,1.037716666666667,1.1207099999999994,1.0752233333333323,0.7844049999999995,0.0,0.8758199999999997,0.9079999999999997
FH_UVA_Ensemble,0.53787,0.9432233333333336,1.5735233333333345,0.43435333333333354,0.6187766666666665,0.643196666666667,0.6061200000000007,0.7228766666666672,0.6579600000000008,0.5139699999999997,0.33824000000000026,0.7010850000000002,0.586483333333333,0.5424233333333333,0.5735520000000002,0.767993333333333,0.44832333333333346,0.9966599999999987,0.7829633333333337,0.426608,0.7783166666666665,0.932816666666666,0.757856666666666,0.34955333333333355,0.6313599999999998,0.4980166666666669,0.8094199999999999,0.31590999999999986,1.1357166666666667,0.3572266666666666,0.7002149999999997,0.8758199999999997,0.0,0.4638133333333335
USC_SI_kJalpha,0.67254,0.8924733333333333,1.4686333333333323,0.4467233333333336,0.4565566666666669,0.47181333333333336,0.40384000000000025,0.5515133333333335,0.45791333333333334,0.5045266666666665,0.36605333333333323,0.8073900000000003,0.7035699999999996,0.4918900000000001,0.7400040000000001,0.7291033333333323,0.5206366666666667,1.0473900000000005,0.84388,0.5522240000000002,0.7560166666666664,0.9322833333333334,0.7021133333333337,0.4601866666666671,0.6478333333333336,0.6657666666666662,0.8237200000000001,0.3745200000000001,0.9755433333333333,0.4118933333333338,0.8548699999999992,0.9079999999999997,0.4638133333333335,0.0
