,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,USC_SI_kJalpha_RF,ensemble_SIkJa_RF
FH_CovidAnalytics_DELPHI,0.9442066666666669,0.8392933333333333,1.3099733333333328,0.6160333333333335,1.0983359999999993,1.1589279999999995,0.6558079999999997,1.143347999999999,1.1493933333333326,0.8129666666666665,0.0,1.1633566666666657,0.6076200000000002,0.4683433333333331,1.0013033333333337,0.7342500000000003,1.0308549999999992,0.847186666666667,1.0857899999999998,0.9700500000000011,0.41771333333333327,0.8695333333333334,0.6048200000000001,0.3376200000000001,0.5651040000000002,0.3449766666666667,0.9981699999999999,0.8102366666666666,0.67896,0.81739,0.6399266666666668,0.9463600000000001,1.0375900000000002
FH_DDS_NBDS,0.45460000000000006,0.9931533333333327,1.5481133333333328,0.9363300000000003,0.3073120000000002,0.21196399999999982,0.7717399999999996,0.24634000000000011,0.24750000000000008,0.8307699999999996,1.1633566666666657,0.0,0.82894,1.1506300000000007,0.4851433333333334,0.7975466666666656,0.20074500000000017,0.7777466666666665,0.16373000000000001,0.4723066666666665,1.06625,0.47532333333333315,0.8566200000000005,1.18979,1.0508119999999987,1.246993333333333,0.22532000000000008,0.7136866666666669,0.868393333333333,0.7368100000000003,0.8552966666666668,0.25214000000000003,0.42860000000000015
FH_Google_Harvard_CPF,0.7043700000000003,0.7621533333333332,1.36878,0.6216199999999996,0.775913333333334,0.7795333333333333,0.7215800000000004,0.8040600000000004,0.8040600000000004,0.6739800000000001,0.6076200000000002,0.82894,0.0,0.7246400000000002,0.8082933333333331,0.71528,0.6495800000000002,0.7435266666666669,0.6981199999999999,0.7172399999999998,0.68384,0.7564666666666664,0.6278599999999999,0.7384733333333332,0.6408333333333336,0.7360533333333328,0.6007399999999999,0.7291333333333331,0.7398799999999998,,0.753826666666667,0.53028,0.7559800000000004
FH_IowaStateLW_STEM,0.9836933333333328,0.7950633333333337,1.1823933333333336,0.6214833333333332,1.1381999999999994,1.148439999999999,0.7727560000000008,1.131444,1.1369233333333335,0.8047466666666662,0.4683433333333331,1.1506300000000007,0.7246400000000002,0.0,1.0002433333333327,0.6516199999999998,0.9851999999999996,0.8964133333333331,1.0399699999999998,1.0005333333333335,0.4914099999999999,0.9169466666666662,0.5470999999999999,0.44964333333333345,0.6776399999999995,0.4087633333333331,0.99316,0.7940599999999999,0.7568266666666668,0.8174300000000001,0.7592866666666663,0.94524,1.0570866666666667
FH_JCB_PRM,0.5197133333333334,0.831623333333333,1.3735933333333337,0.7812033333333335,0.4984920000000003,0.45432400000000017,0.797192,0.4498040000000002,0.49037666666666707,0.7298100000000002,1.0013033333333337,0.4851433333333334,0.8082933333333331,1.0002433333333327,0.0,0.7406799999999992,0.40015000000000006,0.7716199999999994,0.4091899999999999,0.5347733333333334,1.0072966666666658,0.5424966666666665,0.7799600000000001,1.0151833333333335,0.9919319999999998,1.0870666666666673,0.4105700000000001,0.7564833333333336,0.6709133333333335,0.84238,0.7263366666666667,0.5787599999999999,0.4795999999999999
FH_JHUAPL_Bucky,0.6423666666666666,0.8566866666666667,1.275433333333332,0.5815633333333331,0.7988280000000008,0.7743240000000007,0.8615879999999995,0.7495559999999991,0.7855933333333327,0.7417333333333328,0.7342500000000003,0.7975466666666656,0.71528,0.6516199999999998,0.7406799999999992,0.0,0.5342650000000002,0.917993333333333,0.4952300000000001,0.7040033333333343,0.7203466666666664,0.6690033333333333,0.7700300000000001,0.7821500000000005,0.8567639999999997,0.7855766666666664,0.5558000000000001,0.7072033333333333,0.7750866666666664,0.7254400000000003,0.8283366666666664,0.50308,0.7884433333333326
FH_JHU_CSSE_DECOM,0.39132666666666654,0.8889750000000001,1.4250349999999994,0.6544650000000003,0.3419499999999999,0.23388500000000004,0.7458100000000002,0.26724500000000023,0.26724500000000023,0.690505,1.0308549999999992,0.20074500000000017,0.6495800000000002,0.9851999999999996,0.40015000000000006,0.5342650000000002,0.0,0.643135,0.16808000000000012,0.350225,0.8950049999999995,0.29772500000000013,0.8194799999999997,1.0549099999999993,0.9602050000000001,1.1869600000000005,0.25181000000000003,0.6212799999999998,0.8514200000000001,0.5809200000000001,0.7791050000000007,0.2455599999999999,0.2777500000000002
FH_JHU_IDD_CovidSP,0.7760799999999998,0.9004900000000003,1.3209399999999987,0.7135066666666672,0.6917399999999994,0.72508,0.6602319999999996,0.7333800000000001,0.7635799999999997,0.7300166666666664,0.847186666666667,0.7777466666666665,0.7435266666666669,0.8964133333333331,0.7716199999999994,0.917993333333333,0.643135,0.0,0.6548799999999999,0.7824633333333332,0.7374933333333336,0.6660733333333332,0.8467300000000002,0.7757533333333332,0.8219840000000002,0.7847633333333333,0.7271899999999998,0.8944566666666665,0.6891733333333332,0.8736599999999995,0.628713333333333,0.6124599999999999,0.69955
FH_JHU_UNC_GAS_StatMechPool,0.44578000000000023,0.9505699999999999,1.3985000000000005,0.46020999999999995,0.32520999999999994,0.21836000000000005,0.9065899999999998,0.1978999999999999,0.1978999999999999,0.3245000000000002,1.0857899999999998,0.16373000000000001,0.6981199999999999,1.0399699999999998,0.4091899999999999,0.4952300000000001,0.16808000000000012,0.6548799999999999,0.0,0.13466999999999998,0.7474200000000003,0.20188999999999996,0.8070400000000003,1.1855699999999996,0.9254900000000003,1.3290599999999997,0.17072999999999994,0.6875399999999998,0.92432,,0.86338,0.27846,0.22229000000000002
FH_Karlen_pypm,0.4953533333333332,0.9170599999999998,1.3304899999999964,0.7222166666666665,0.5039920000000003,0.42240800000000056,0.8644959999999999,0.43883600000000045,0.517986666666666,0.7429199999999998,0.9700500000000011,0.4723066666666665,0.7172399999999998,1.0005333333333335,0.5347733333333334,0.7040033333333343,0.350225,0.7824633333333332,0.13466999999999998,0.0,0.926873333333333,0.5797633333333326,0.86635,1.0260066666666667,0.9690519999999996,1.0944033333333327,0.19248000000000012,0.7702133333333336,0.8595333333333336,0.8445200000000002,0.8334233333333333,0.29272000000000015,0.5501433333333333
