,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_CDC_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_MUNI_VAR,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_CU_scenario_mid,0.3907080000000001,0.5332960000000001,,0.596716,0.67366,1.4054679999999995,0.596716,0.3907080000000001,0.11621599999999989,0.13193200000000005,0.0,0.04359600000000001,0.7427480000000001,0.7506640000000003,0.6029840000000004,0.47756400000000027,0.5445240000000001,0.6305300000000001,0.5536240000000003,0.633284,0.70079,0.515715,0.5356933333333334,0.47601200000000016,0.5772799999999999,0.60718,0.7469559999999994,0.7413440000000002,0.6600466666666669,0.6195000000000004,0.45726799999999995
FH_CU_select,0.3955800000000001,0.539236,,0.6078839999999999,0.67366,1.4519439999999995,0.6078839999999999,0.3955800000000001,0.11613199999999989,0.08833600000000001,0.04359600000000001,0.0,0.742364,0.7142400000000004,0.6137920000000002,0.48849600000000026,0.5512320000000002,0.6284400000000001,0.5549360000000004,0.6359400000000001,0.6921550000000001,0.51949,0.5271733333333333,0.49265600000000015,0.5772799999999999,0.5933100000000001,0.7506119999999995,0.7630520000000003,0.6418066666666667,0.6365440000000002,0.4459399999999999
FH_CovidAnalytics_DELPHI,0.4178033333333333,0.3160599999999999,0.7603399999999999,0.2028333333333333,0.50444,1.5482366666666654,0.2028333333333333,0.4178033333333333,0.657424,0.7492039999999996,0.7427480000000001,0.742364,0.0,0.9997800000000001,0.5173300000000002,0.47178666666666685,0.29977666666666675,0.1733066666666667,0.18839666666666668,0.13290666666666676,0.45922000000000046,0.08056800000000004,0.017249999999999977,0.5201366666666667,0.7089700000000001,0.28802666666666693,0.041106666666666666,0.2952533333333334,0.9245533333333333,0.3323400000000005,0.6084633333333332
FH_Google_Harvard_CPF,0.9007000000000008,0.8767766666666665,0.7572599999999998,0.9660333333333337,0.95202,1.5460033333333334,0.9660333333333337,0.9007000000000008,0.7261599999999996,0.6688719999999998,0.7506640000000003,0.7142400000000004,0.9997800000000001,0.0,0.8293466666666672,0.8752533333333327,0.9472900000000002,0.94986,0.8891433333333327,0.9501833333333337,0.9011839999999995,0.8078480000000005,0.9153249999999996,0.8001833333333337,0.71655,0.7743733333333331,1.0185400000000004,1.0261699999999994,0.4007200000000001,0.88686,0.8074433333333334
FH_IEM_MED_CovidProject,0.42820333333333327,0.3830366666666665,0.6317999999999998,0.4374799999999999,0.54928,1.4276766666666652,0.4374799999999999,0.42820333333333327,0.5894719999999999,0.6167240000000004,0.6029840000000004,0.6137920000000002,0.5173300000000002,0.8293466666666672,0.0,0.5662233333333335,0.4955900000000001,0.43553333333333344,0.45989333333333365,0.4599333333333332,0.5891799999999999,0.43926800000000016,0.48664500000000027,0.5745699999999998,0.5703300000000001,0.6126733333333337,0.49094000000000015,0.5140833333333339,0.8410199999999999,0.5013500000000001,0.5175199999999999
FH_JHUAPL_Bucky,0.4344999999999997,0.5082833333333334,0.6833399999999997,0.4213766666666668,0.5936399999999998,1.4979033333333318,0.4213766666666668,0.4344999999999997,0.4506760000000002,0.510948,0.47756400000000027,0.48849600000000026,0.47178666666666685,0.8752533333333327,0.5662233333333335,0.0,0.49055333333333323,0.4385266666666666,0.39993999999999996,0.43858666666666674,0.5623439999999997,0.33372800000000036,0.4013200000000003,0.5758466666666671,0.70882,0.45960666666666694,0.4642033333333334,0.46260333333333353,0.8668666666666667,0.5218033333333333,0.5133933333333335
FH_JHU_CSSE_DECOM,0.3191066666666667,0.30265666666666663,0.6985599999999998,0.21252000000000001,0.4504200000000001,1.4194300000000013,0.21252000000000001,0.3191066666666667,0.49926800000000016,0.5569200000000004,0.5445240000000001,0.5512320000000002,0.29977666666666675,0.9472900000000002,0.4955900000000001,0.49055333333333323,0.0,0.27663333333333323,0.28281333333333347,0.33214666666666676,0.5045440000000002,0.16423600000000002,0.11395000000000004,0.4121633333333337,0.6551199999999998,0.4255866666666666,0.2862466666666667,0.4673200000000003,0.8633133333333334,0.3882666666666665,0.5732299999999995
FH_JHU_UNC_GAS_StatMechPool,0.2909800000000002,0.18818666666666667,0.7277799999999999,0.17023333333333335,,1.4351133333333332,0.17023333333333335,0.2909800000000002,0.5487699999999998,0.64448,0.6305300000000001,0.6284400000000001,0.1733066666666667,0.94986,0.43553333333333344,0.4385266666666666,0.27663333333333323,0.0,0.20106000000000007,0.2098733333333334,0.5017266666666668,0.21914666666666666,0.11318,0.4819333333333334,0.47891999999999996,0.30001,0.17260666666666669,0.3876066666666667,0.8978899999999997,0.31323999999999996,0.46463333333333356
FH_KITmetricslab_select_ensemble,0.3120666666666668,0.26465333333333313,0.76042,0.17633666666666672,0.36188,1.5514533333333334,0.17633666666666672,0.3120666666666668,0.474408,0.566524,0.5536240000000003,0.5549360000000004,0.18839666666666668,0.8891433333333327,0.45989333333333365,0.39993999999999996,0.28281333333333347,0.20106000000000007,0.0,0.15728999999999996,0.46570000000000034,0.113976,0.091935,0.40824000000000005,0.5210699999999998,0.31461333333333336,0.19185666666666676,0.39751333333333333,0.8818933333333333,0.35939666666666664,0.5133033333333329
FH_Karlen_pypm,0.3747800000000001,0.28618333333333346,0.7571800000000002,0.1978233333333332,0.4319000000000002,1.5461299999999976,0.1978233333333332,0.3747800000000001,0.5534560000000003,0.6496760000000006,0.633284,0.6359400000000001,0.13290666666666676,0.9501833333333337,0.4599333333333332,0.43858666666666674,0.33214666666666676,0.2098733333333334,0.15728999999999996,0.0,0.4711840000000002,0.10905600000000004,0.06543499999999997,0.4983133333333336,0.6342699999999999,0.3433933333333335,0.13942666666666662,0.38715333333333335,0.9186066666666665,0.3278400000000001,0.5703933333333333
