,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IHME_CurveFit,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_CU_select,0.2531440000000001,0.41881200000000063,0.7688200000000003,0.30953600000000003,1.518108,0.30953600000000003,0.2531440000000001,0.07236399999999996,0.0,0.07658799999999999,0.0,0.2885879999999999,0.835428,0.5559119999999999,0.4490800000000001,0.32187599999999994,0.32036000000000003,0.72327,0.319605,0.23437999999999998,0.3261759999999999,0.8122199999999996,0.6259560000000002,0.31461600000000006,0.3284920000000003,0.43103200000000014,0.5977450000000002,0.321996,0.5628399999999999,0.10608000000000001,0.7224200000000002,0.41448000000000007,0.3268120000000001
FH_CovidAnalytics_DELPHI,0.2808733333333333,0.2480433333333335,0.7699349999999998,0.11954333333333352,1.556899999999998,0.11954333333333352,0.2808733333333333,0.21096800000000004,0.2885879999999999,0.2640960000000002,0.2885879999999999,0.0,0.8694499999999997,0.6286266666666667,0.6201400000000001,0.3800400000000003,0.10941500000000001,0.7824899999999999,0.194528,0.12259333333333337,0.06454000000000013,0.9127099999999999,0.5154766666666671,0.11549666666666675,0.07509000000000023,0.34921666666666673,0.5052680000000002,0.04893999999999997,0.5434533333333339,0.11976,0.7232949999999999,0.3066833333333334,0.4120533333333332
FH_Google_Harvard_CPF,0.8908200000000005,0.8391166666666665,0.7507199999999992,0.8990633333333329,1.5757666666666672,0.8990633333333329,0.8908200000000005,0.8560359999999998,0.835428,0.8721039999999995,0.835428,0.8694499999999997,0.0,0.8178000000000002,1.0144399999999998,0.8428633333333329,1.0251950000000005,0.6723000000000002,0.837636,0.8524266666666664,0.8827966666666667,0.7489799999999999,0.8526533333333334,0.7333000000000001,0.8675766666666671,0.8620900000000002,0.7303999999999997,0.872766666666666,0.9352500000000004,0.6641800000000001,0.5448300000000001,0.804,0.8843733333333333
FH_IEM_MED_CovidProject,0.4308666666666669,0.4596100000000003,0.6544150000000002,0.5391633333333331,1.4492299999999987,0.5391633333333331,0.4308666666666669,0.5745919999999999,0.5559119999999999,0.569232,0.5559119999999999,0.6286266666666667,0.8178000000000002,0.0,0.5465199999999999,0.44776333333333385,0.4614849999999997,0.35939000000000015,0.5701920000000003,0.5728533333333327,0.5570000000000003,0.56686,0.6478766666666659,0.5431033333333332,0.6002966666666658,0.5443000000000006,0.5272600000000001,0.6220100000000006,0.5844733333333336,0.9547600000000003,0.7282599999999997,0.4666700000000004,0.46284333333333355
FH_IHME_CurveFit,0.48392000000000013,0.5546800000000001,0.7366000000000001,0.5466600000000001,1.4271200000000004,0.5466600000000001,0.48392000000000013,0.48134,0.4490800000000001,0.44989999999999997,0.4490800000000001,0.6201400000000001,1.0144399999999998,0.5465199999999999,0.0,0.36026,0.5211000000000001,,0.5280000000000002,0.5638399999999999,0.6192200000000001,,0.5914200000000001,0.6037,0.5599800000000001,0.6341600000000001,0.4612000000000001,0.5902200000000001,0.4970199999999999,,0.8987000000000003,0.57096,0.42225999999999997
FH_JHUAPL_Bucky,0.30417666666666693,0.3872266666666667,0.7606950000000002,0.38105666666666677,1.5413599999999983,0.38105666666666677,0.30417666666666693,0.29379999999999995,0.32187599999999994,0.3222600000000003,0.32187599999999994,0.3800400000000003,0.8428633333333329,0.44776333333333385,0.36026,0.0,0.39059500000000014,0.47839999999999994,0.39388400000000023,0.3408333333333336,0.35602333333333364,0.7415900000000002,0.5767233333333328,0.3997166666666666,0.3508700000000002,0.4619366666666666,0.47984799999999994,0.4022633333333336,0.4975133333333334,0.54982,0.7784399999999999,0.4241600000000002,0.35893666666666685
FH_JHU_CSSE_DECOM,0.22948499999999988,0.18380500000000016,0.6832199999999999,0.09164500000000006,1.4902600000000001,0.09164500000000006,0.22948499999999988,0.25365999999999994,0.32036000000000003,0.3154866666666667,0.32036000000000003,0.10941500000000001,1.0251950000000005,0.4614849999999997,0.5211000000000001,0.39059500000000014,0.0,,0.16348000000000004,0.13088500000000003,0.12792500000000012,,0.545855,0.13583499999999998,0.12037,0.3351249999999999,0.31569333333333344,0.10692500000000002,0.426225,,0.77404,0.27430499999999985,0.38716999999999985
FH_JHU_IDD_CovidSP,0.54727,0.5374600000000005,0.7023600000000003,0.7247600000000005,1.5298999999999991,0.7247600000000005,0.54727,0.7601900000000004,0.72327,0.7682199999999999,0.72327,0.7824899999999999,0.6723000000000002,0.35939000000000015,,0.47839999999999994,,0.0,0.6443000000000002,0.71061,0.7066000000000001,0.7633199999999998,0.66628,0.70693,0.7294899999999997,0.6763800000000001,0.4916899999999999,0.7986999999999996,0.7776299999999996,0.8779600000000001,0.8272800000000007,0.5694499999999998,0.5278600000000003
FH_JHU_UNC_GAS_StatMechPool,0.24757999999999988,0.20689600000000002,0.7097400000000006,0.1727879999999999,1.4664999999999997,0.1727879999999999,0.24757999999999988,0.27377000000000007,0.319605,0.30108000000000024,0.319605,0.194528,0.837636,0.5701920000000003,0.5280000000000002,0.39388400000000023,0.16348000000000004,0.6443000000000002,0.0,0.19628800000000007,0.19684800000000002,0.7131200000000001,0.61916,0.21269599999999994,0.22865599999999997,0.368228,0.542244,0.21055600000000002,0.5628920000000004,0.48398,0.74716,0.302228,0.35378
FH_KITmetricslab_select_ensemble,0.21590000000000012,0.2773100000000002,0.7707649999999998,0.15488666666666676,1.5572433333333335,0.15488666666666676,0.21590000000000012,0.16875599999999996,0.23437999999999998,0.21946399999999996,0.23437999999999998,0.12259333333333337,0.8524266666666664,0.5728533333333327,0.5638399999999999,0.3408333333333336,0.13088500000000003,0.71061,0.19628800000000007,0.0,0.1528666666666666,0.7195799999999999,0.5424733333333338,0.17823333333333324,0.14531666666666665,0.34779333333333373,0.43500799999999945,0.1514866666666667,0.5145033333333332,0.23865999999999996,0.7565599999999998,0.30701333333333336,0.35152333333333363
