,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_JHU_IDD_CovidSP,0.6087280000000002,0.41302333333333374,0.7050833333333331,1.490963999999999,0.4064066666666669,0.6334840000000003,0.6554633333333335,0.6770866666666665,0.6030900000000002,0.7046266666666662,0.6686466666666665,0.4113233333333334,0.4463499999999998,0.6084199999999998,0.5042233333333334,0.4412833333333337,0.9290199999999997,0.8101560000000001,0.4374533333333334,0.8534833333333334,0.0,0.43373333333333347,0.43289000000000005,0.7075399999999996,0.4216600000000002,0.42618333333333364,0.3888320000000002,0.4417466666666668,0.7507166666666659,0.4116966666666671,0.8647160000000005,0.40671000000000024,0.6019360000000002,0.6425400000000002,0.6683133333333331,0.4954320000000002,0.433066666666667,0.4697600000000002
FH_JHU_UNC_GAS_StatMechPool,0.6506679999999999,0.09974333333333348,0.7149500000000001,1.5465880000000003,0.08784000000000011,0.7572120000000001,0.5452200000000007,0.5898300000000002,0.5095633333333337,0.6387266666666668,0.5993533333333335,0.14001333333333346,0.13714999999999994,0.534656,0.36470333333333366,0.1047766666666668,1.3269,0.6878719999999998,0.15738666666666679,1.0051866666666662,0.43373333333333347,0.0,0.10538333333333336,0.6017633333333332,0.10458000000000003,0.11630666666666684,0.10220000000000001,0.27007666666666674,0.8930866666666665,0.07130333333333344,0.7649880000000002,0.08961666666666682,0.4938760000000002,0.5406400000000002,0.6859966666666668,0.2643320000000002,0.12209333333333336,0.3786
FH_Karlen_pypm,0.7121639999999996,0.0943633333333334,0.7215666666666666,1.551904,0.08476666666666667,0.8175679999999997,0.5458466666666673,0.5858599999999999,0.5093000000000001,0.6326199999999997,0.5930833333333333,0.13264666666666677,0.14952000000000001,0.53106,0.38551666666666695,0.08302333333333332,1.3497400000000004,0.64666,0.16021999999999997,0.9559933333333324,0.43289000000000005,0.10538333333333336,0.0,0.5757099999999995,0.10825333333333335,0.13129666666666678,0.11490800000000004,0.28835333333333346,0.8569733333333337,0.07560999999999998,0.7500440000000002,0.08386999999999999,0.4668600000000002,0.6087399999999998,0.6567633333333335,0.2503759999999999,0.11538333333333334,0.3647100000000002
FH_LANL_GrowthRate,0.72314,0.6046366666666665,0.6881366666666666,1.5806040000000001,0.5850266666666664,0.7806239999999998,0.45128666666666695,0.42278000000000016,0.5074300000000004,0.4289966666666667,0.44525999999999993,0.5918500000000005,0.6072466666666669,0.7447079999999997,0.6378533333333336,0.602006666666667,0.8474600000000001,0.795424,0.5757733333333332,0.6694999999999992,0.7075399999999996,0.6017633333333332,0.5757099999999995,0.0,0.5435966666666668,0.57504,0.5685800000000001,0.5754100000000001,0.6382000000000007,0.5838766666666666,0.7773199999999997,0.6030433333333332,0.7428039999999999,0.66328,0.5784366666666666,0.6058799999999999,0.5704466666666665,0.6750499999999999
FH_LNQ_ens1,0.6603400000000006,0.07195,0.6949033333333331,1.5161720000000014,0.06242666666666666,0.7681800000000006,0.54416,0.5859300000000003,0.5146800000000004,0.6386200000000007,0.6068033333333339,0.11376000000000003,0.1372166666666668,0.5328040000000003,0.3608933333333334,0.09116333333333333,1.3683999999999994,0.61512,0.13119333333333338,0.9594066666666674,0.4216600000000002,0.10458000000000003,0.10825333333333335,0.5435966666666668,0.0,0.1017500000000002,0.11795999999999997,0.2855766666666667,0.8610366666666662,0.03699666666666666,0.7373560000000003,0.06806999999999998,0.489576,0.7590999999999998,0.6958333333333335,0.2458400000000001,0.10653999999999998,0.37483999999999995
FH_MIT_ISOLAT_Mixtures,0.6578039999999996,0.09336000000000014,0.6859266666666666,1.5389879999999991,0.09028333333333345,0.76314,0.5225466666666669,0.5622100000000002,0.5048966666666671,0.605083333333334,0.5854733333333338,0.1392666666666667,0.15097666666666665,0.5070519999999998,0.36563666666666683,0.12707000000000004,1.3225200000000001,0.6622599999999997,0.16348666666666672,0.9482233333333331,0.42618333333333364,0.11630666666666684,0.13129666666666678,0.57504,0.1017500000000002,0.0,0.12797600000000003,0.2791466666666668,0.8364100000000004,0.06848333333333342,0.77758,0.08987333333333349,0.48800800000000005,0.6514399999999999,0.6806899999999998,0.25634399999999996,0.13877666666666677,0.38703000000000004
FH_MOBS_GLEAM_COVID,0.649592,0.10102800000000002,0.6944200000000003,1.5473320000000004,0.08956800000000004,0.7551279999999998,0.5219360000000003,0.5589920000000002,0.509272,0.617392,0.5737440000000001,0.131668,0.134976,0.5856650000000002,0.3704880000000002,0.094688,1.2884399999999994,0.711195,0.16394000000000009,0.956764,0.3888320000000002,0.10220000000000001,0.11490800000000004,0.5685800000000001,0.11795999999999997,0.12797600000000003,0.0,0.23570000000000024,0.8396440000000003,0.082876,0.7552439999999999,0.07821999999999996,0.50254,,0.574308,0.20742000000000005,0.143428,0.3674200000000002
FH_Microsoft_DeepSTIA,0.5874840000000003,0.26639666666666667,0.6952633333333329,1.618836,0.2705600000000001,0.6920280000000003,0.5433633333333333,0.5722366666666666,0.5254300000000003,0.6062966666666668,0.5930766666666666,0.2812,0.27321000000000056,0.5784440000000002,0.4052366666666668,0.2936800000000001,0.9011,0.737396,0.3389666666666669,0.8206466666666674,0.4417466666666668,0.27007666666666674,0.28835333333333346,0.5754100000000001,0.2855766666666667,0.2791466666666668,0.23570000000000024,0.0,0.7092533333333334,0.26823333333333355,0.8538599999999998,0.27664999999999995,0.6046080000000003,0.41074,0.5574633333333333,0.35164400000000035,0.3121800000000002,0.5245
FH_OneQuietNight_ML,0.27543999999999996,0.8370266666666661,0.7804733333333339,1.5978679999999998,0.8374233333333331,0.3232399999999999,0.7534133333333334,0.728493333333333,0.8112966666666664,0.7206766666666663,0.7432233333333329,0.8024499999999999,0.8080666666666662,0.6468160000000005,0.6822633333333336,0.8638699999999998,0.41628,1.0764199999999997,0.8099066666666666,0.6297666666666664,0.7507166666666659,0.8930866666666665,0.8569733333333337,0.6382000000000007,0.8610366666666662,0.8364100000000004,0.8396440000000003,0.7092533333333334,0.0,0.8483966666666662,0.9485159999999999,0.8342200000000001,0.777156,1.0812,0.6230599999999998,0.694488,0.85319,0.8140099999999998
FH_RobertWalraven_ESG,0.6604560000000003,0.037550000000000014,0.6948000000000004,1.5648839999999995,0.03487333333333333,0.7662040000000006,0.5376633333333337,0.5843033333333342,0.5048266666666672,0.6379366666666664,0.5999066666666665,0.07903000000000004,0.10568000000000016,0.48356,0.3373500000000002,0.06877666666666661,1.36212,0.6407119999999996,0.09708333333333341,0.9835600000000003,0.4116966666666671,0.07130333333333344,0.07560999999999998,0.5838766666666666,0.03699666666666666,0.06848333333333342,0.082876,0.26823333333333355,0.8483966666666662,0.0,0.767668,0.03262333333333331,0.43189600000000006,0.7614600000000001,0.6784433333333331,0.206828,0.07232999999999999,0.33804
