,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,FH_UVA_Ensemble,USC_SI_kJalpha,USC_SI_kJalpha_RF,ensemble_SIkJa_RF
FH_CovidAnalytics_DELPHI,0.8775639999999995,0.8265866666666674,1.3671699999999996,0.8182066666666663,1.0284999999999997,1.0691266666666666,0.763116666666667,1.0630699999999997,1.055396666666666,0.8592439999999992,0.0,1.093693333333334,0.674328,0.6176433333333329,0.92977,0.8470433333333329,1.0826559999999996,0.9334640000000005,1.04233,1.0386166666666663,0.6595833333333334,1.0306466666666674,0.6681400000000001,0.5271633333333332,0.5629933333333339,0.45638666666666694,0.9963499999999996,0.7744266666666666,0.6925866666666668,0.5540000000000002,0.657926666666667,0.9661300000000003,1.0391666666666666
FH_DDS_NBDS,0.43147600000000014,0.9707333333333334,1.5746099999999978,0.5800866666666665,0.22883,0.16017333333333345,0.5841066666666661,0.14927666666666664,0.1584299999999999,0.6590519999999992,1.093693333333334,0.0,0.6475280000000001,1.091249999999999,0.48391,0.5776300000000002,0.10212800000000008,0.6010800000000005,0.12581000000000006,0.1901833333333334,0.7438366666666665,0.21604333333333328,0.6713200000000001,0.9655533333333327,0.9157699999999996,1.2573966666666667,0.1501300000000001,0.6098,0.8249866666666663,0.4844400000000001,0.8543600000000006,0.20754999999999993,0.2501733333333335
FH_Google_Harvard_CPF,0.58164,0.8124999999999997,1.4494079999999998,0.5319999999999999,0.6199000000000007,0.6224040000000003,0.6032840000000004,0.6358800000000001,0.6378320000000003,0.6349149999999999,0.674328,0.6475280000000001,0.0,0.8274039999999997,0.7498239999999997,0.6615559999999999,0.5248000000000002,0.6406550000000003,0.5606150000000002,0.5940439999999998,0.5964559999999995,0.6193239999999993,0.579106666666667,0.6670399999999999,0.5967880000000002,0.8153039999999991,0.4967299999999999,0.6515799999999992,0.6908266666666665,0.49866000000000027,0.7330560000000003,0.48963000000000007,0.5764280000000003
FH_IowaStateLW_STEM,0.9422119999999995,0.7553666666666671,1.2399433333333325,0.8125300000000002,1.0709000000000009,1.08371,0.8171633333333332,1.06905,1.0593533333333338,0.873936,0.6176433333333329,1.091249999999999,0.8274039999999997,0.0,0.963116666666666,0.7628366666666667,1.0393799999999995,0.9627119999999997,1.0031249999999998,1.03175,0.6757199999999997,1.0080633333333326,0.6635300000000001,0.5710000000000001,0.7430133333333333,0.43206,0.9879649999999994,0.78805,0.7688399999999995,0.7276800000000001,0.7915233333333332,0.9373299999999999,1.0672366666666666
FH_JCB_PRM,0.5655760000000005,0.8111899999999999,1.4343633333333312,0.6788500000000006,0.5519999999999999,0.5187299999999996,0.7604166666666671,0.4982033333333331,0.5219966666666666,0.7687040000000002,0.92977,0.48391,0.7498239999999997,0.963116666666666,0.0,0.6207033333333335,0.42666800000000027,0.6108199999999998,0.5045300000000001,0.5175266666666665,0.8769100000000006,0.43204000000000015,0.49835500000000016,0.8951633333333336,0.9279066666666665,1.0386233333333326,0.4914600000000002,0.6997633333333333,0.7904800000000001,0.5920200000000001,0.7705933333333327,0.7523900000000004,0.4723800000000003
FH_JHUAPL_Bucky,0.5618639999999998,0.8449266666666663,1.3630599999999982,0.48149666666666663,0.621513333333333,0.589256666666667,0.7084999999999995,0.5469100000000002,0.5709666666666667,0.7449160000000004,0.8470433333333329,0.5776300000000002,0.6615559999999999,0.7628366666666667,0.6207033333333335,0.0,0.3779080000000005,0.7515200000000002,0.3675900000000003,0.5227866666666663,0.6447133333333327,0.5192199999999998,0.6188750000000001,0.7550433333333332,0.8158333333333331,0.9572900000000004,0.40669500000000025,0.6268699999999996,0.8356266666666663,0.5114000000000002,0.8697233333333333,0.5290699999999997,0.5845966666666665
FH_JHU_CSSE_DECOM,0.3965639999999999,0.9132640000000001,1.4841679999999975,0.3975040000000004,0.2578479999999999,0.17325599999999997,0.5747440000000001,0.13967600000000008,0.16822800000000007,0.5752700000000002,1.0826559999999996,0.10212800000000008,0.5248000000000002,1.0393799999999995,0.42666800000000027,0.3779080000000005,0.0,0.5255500000000002,0.09984500000000014,0.15670000000000003,0.6572239999999994,0.12007600000000006,0.6543549999999992,0.9116999999999988,0.8665839999999997,1.2891080000000013,0.14034000000000013,0.545888,0.9062899999999998,0.5599200000000003,0.8786319999999995,0.21323999999999996,0.164068
FH_JHU_IDD_CovidSP,0.6451349999999998,0.912232,1.4060559999999984,0.6278960000000001,0.5535119999999996,0.5715799999999999,0.6022799999999994,0.5678479999999999,0.5805359999999994,0.7316350000000003,0.9334640000000005,0.6010800000000005,0.6406550000000003,0.9627119999999997,0.6108199999999998,0.7515200000000002,0.5255500000000002,0.0,0.4789200000000001,0.62448,0.6809279999999994,0.5862320000000002,0.623466666666667,0.7755599999999996,0.8088759999999998,0.9519520000000004,0.5246333333333336,0.8241839999999998,0.7330266666666668,0.5026999999999999,0.7136719999999998,0.6124599999999999,0.5611000000000003
FH_JHU_UNC_GAS_StatMechPool,0.4281950000000001,0.9159350000000002,1.4676100000000003,0.2757900000000001,0.3011349999999998,0.233145,0.5710950000000002,0.174375,0.21072500000000005,0.36830666666666656,1.04233,0.12581000000000006,0.5606150000000002,1.0031249999999998,0.5045300000000001,0.3675900000000003,0.09984500000000014,0.4789200000000001,0.0,0.10448500000000002,0.4587700000000001,0.13014000000000003,0.5981533333333335,0.8328700000000004,0.7784800000000004,1.2696399999999992,0.10235000000000001,0.569855,0.9468299999999998,0.56514,0.916135,0.2508600000000001,0.1870999999999999
FH_Karlen_pypm,0.45802800000000005,0.9357033333333328,1.4695599999999962,0.50163,0.35878666666666664,0.2871433333333334,0.6577466666666669,0.27095000000000014,0.29505000000000003,0.6182280000000002,1.0386166666666663,0.1901833333333334,0.5940439999999998,1.03175,0.5175266666666665,0.5227866666666663,0.15670000000000003,0.62448,0.10448500000000002,0.0,0.7094699999999997,0.29915333333333344,0.6942449999999996,0.9110833333333327,0.8734733333333327,1.2129299999999998,0.11941500000000013,0.6463200000000006,0.8868999999999998,0.55926,0.8793699999999995,0.26901000000000014,0.3276600000000005
