,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IHME_CurveFit,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_MUNI_VAR,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_IEM_MED_CovidProject,0.42601000000000017,0.4036966666666663,0.61787,0.4382433333333331,1.4214233333333326,0.4382433333333331,0.42601000000000017,0.5749000000000002,0.5993720000000003,0.5795520000000002,0.5898320000000004,0.5036700000000004,0.8501833333333334,0.0,0.5465199999999999,0.4960133333333334,0.4779733333333334,0.45394000000000007,0.47849666666666696,0.47195666666666675,0.6029166666666669,0.4448666666666668,0.5193080000000003,0.557813333333333,0.5544,0.5615933333333335,0.47762333333333357,0.47938000000000014,0.7795150000000004,0.47836333333333364,0.5275233333333335
FH_IHME_CurveFit,0.48392000000000013,0.5546800000000001,0.7366000000000001,0.5466600000000001,1.4271200000000004,0.5466600000000001,0.48392000000000013,0.48134,0.4490800000000001,0.44989999999999997,0.4490800000000001,0.6201400000000001,1.0144399999999998,0.5465199999999999,0.0,0.36026,0.5211000000000001,0.5280000000000002,0.5638399999999999,0.6192200000000001,0.5914200000000001,0.6037,0.5599800000000001,0.6341600000000001,,0.4612000000000001,0.5902200000000001,0.4970199999999999,0.8987000000000003,0.57096,0.42225999999999997
FH_JHUAPL_Bucky,0.40014666666666654,0.45104666666666665,0.7162299999999999,0.37911000000000034,1.504326666666665,0.37911000000000034,0.40014666666666654,0.40150400000000014,0.46433200000000013,0.44320000000000015,0.4506040000000002,0.3861800000000005,0.935533333333333,0.4960133333333334,0.36026,0.0,0.4434433333333333,0.4074500000000001,0.3534199999999999,0.379136666666667,0.5763200000000002,0.34279333333333345,0.3896200000000001,0.5517799999999998,0.6586200000000001,0.3811466666666668,0.38562000000000024,0.4048733333333338,0.8190449999999996,0.45822999999999997,0.4826466666666667
FH_JHU_CSSE_DECOM,0.30618333333333325,0.2501033333333334,0.6832199999999999,0.15845666666666675,1.453970000000001,0.15845666666666675,0.30618333333333325,0.44695199999999996,0.5115959999999999,0.5040360000000002,0.5069600000000002,0.18204333333333342,1.0036000000000003,0.4779733333333334,0.5211000000000001,0.4434433333333333,0.0,0.25359999999999994,0.22603999999999994,0.23079666666666693,0.54618,0.16263000000000002,0.132436,0.3824433333333336,0.70238,0.31569333333333344,0.16867000000000001,0.41194,0.8174049999999997,0.3302766666666665,0.5365199999999996
FH_JHU_UNC_GAS_StatMechPool,0.2698850000000004,0.19164499999999995,0.73352,0.16569999999999996,1.4549899999999993,0.16569999999999996,0.2698850000000004,0.42516666666666647,0.4797800000000002,0.4783533333333335,0.4690866666666669,0.169455,0.9489049999999996,0.45394000000000007,0.5280000000000002,0.4074500000000001,0.25359999999999994,0.0,0.19164499999999995,0.19632000000000005,0.5876800000000002,0.205465,0.1495333333333333,0.4559349999999997,0.47891999999999996,0.31858000000000003,0.1744700000000001,0.44587000000000027,0.8160999999999997,0.2741449999999999,0.42760000000000026
FH_KITmetricslab_select_ensemble,0.30073000000000005,0.2515333333333334,0.7521800000000005,0.13621333333333333,1.5631733333333344,0.13621333333333333,0.30073000000000005,0.4118000000000002,0.505524,0.4901119999999998,0.4931839999999999,0.09844333333333338,0.9244933333333326,0.47849666666666696,0.5638399999999999,0.3534199999999999,0.22603999999999994,0.19164499999999995,0.0,0.08105666666666662,0.5185133333333335,0.11340000000000006,0.09050799999999999,0.4050233333333333,0.5712600000000001,0.21106666666666665,0.09842000000000002,0.3943533333333332,0.8328800000000007,0.3055566666666666,0.49194666666666703
FH_Karlen_pypm,0.3238266666666666,0.22930000000000003,0.7721099999999997,0.13973999999999998,1.5508166666666638,0.13973999999999998,0.3238266666666666,0.446672,0.5438360000000001,0.5353039999999999,0.5366839999999997,0.06719000000000007,0.9576633333333336,0.47195666666666675,0.6192200000000001,0.379136666666667,0.23079666666666693,0.19632000000000005,0.08105666666666662,0.0,0.5248533333333334,0.10548333333333336,0.06594,0.43744333333333324,0.6237399999999999,0.2436933333333332,0.07641666666666666,0.405936666666667,0.8567749999999996,0.2809333333333334,0.5312199999999998
FH_MIT_Cassandra,0.6419766666666668,0.5604100000000003,0.7836399999999999,0.512153333333333,1.467613333333332,0.512153333333333,0.6419766666666668,0.6756480000000007,0.7014640000000004,0.7286320000000002,0.7233840000000002,0.5145899999999995,0.8675899999999998,0.6029166666666669,0.5914200000000001,0.5763200000000002,0.54618,0.5876800000000002,0.5185133333333335,0.5248533333333334,0.0,0.48202000000000034,0.51214,0.6742333333333335,0.6814999999999998,0.5606200000000003,0.5070866666666665,0.5473133333333334,0.8442049999999999,0.6149433333333334,0.6671733333333336
FH_MIT_ISOLAT_Mixtures,0.32705,0.2182666666666667,0.7175899999999998,0.12031333333333334,1.3594733333333322,0.12031333333333334,0.32705,0.401228,0.48190800000000006,0.4720760000000002,0.47040400000000004,0.08155666666666668,0.8104466666666669,0.4448666666666668,0.6037,0.34279333333333345,0.16263000000000002,0.205465,0.11340000000000006,0.10548333333333336,0.48202000000000034,0.0,0.07812000000000005,0.3701133333333333,0.5845399999999998,0.24539999999999992,0.08978333333333331,0.3518833333333335,0.7170599999999997,0.22467333333333325,0.5051333333333333
FH_MOBS_GLEAM_COVID,0.31576399999999993,0.19266000000000008,0.7829099999999996,0.10589200000000006,1.5651680000000008,0.10589200000000006,0.31576399999999993,0.36499500000000024,0.468695,0.47551000000000015,0.46697999999999984,0.025663999999999985,0.9357440000000001,0.5193080000000003,0.5599800000000001,0.3896200000000001,0.132436,0.1495333333333333,0.09050799999999999,0.06594,0.51214,0.07812000000000005,0.0,0.38385199999999997,,0.22670000000000007,0.02156399999999996,0.412528,0.8596733333333333,0.289932,0.5335319999999999
FH_MUNI_ARIMA,0.37465666666666686,0.4611633333333337,0.7124499999999999,0.35394666666666713,1.3917333333333333,0.35394666666666713,0.37465666666666686,0.436764,0.4758039999999996,0.43604800000000005,0.46051199999999987,0.43160000000000004,0.8433700000000001,0.557813333333333,0.6341600000000001,0.5517799999999998,0.3824433333333336,0.4559349999999997,0.4050233333333333,0.43744333333333324,0.6742333333333335,0.3701133333333333,0.38385199999999997,0.0,0.5545199999999999,0.40149999999999986,0.4212266666666669,0.5659433333333335,0.6742850000000006,0.46196000000000015,0.5101200000000001
FH_MUNI_VAR,0.5233000000000003,0.5160200000000001,,0.6065000000000002,1.4637000000000002,0.6065000000000002,0.5233000000000003,0.57808,0.6120800000000001,0.60834,0.60834,0.65248,0.7840400000000001,0.5544,,0.6586200000000001,0.70238,0.47891999999999996,0.5712600000000001,0.6237399999999999,0.6814999999999998,0.5845399999999998,,0.5545199999999999,0.0,,0.6437200000000002,0.7368599999999997,0.6242200000000001,0.6472999999999999,0.60962
FH_Microsoft_DeepSTIA,0.3661933333333334,0.30968666666666667,0.7444200000000002,0.2938066666666666,1.650893333333333,0.2938066666666666,0.3661933333333334,0.35794999999999993,0.4301999999999999,0.44718999999999987,0.4301999999999999,0.23564666666666667,0.8019133333333333,0.5615933333333335,0.4612000000000001,0.3811466666666668,0.31569333333333344,0.31858000000000003,0.21106666666666665,0.2436933333333332,0.5606200000000003,0.24539999999999992,0.22670000000000007,0.40149999999999986,,0.0,0.2472799999999999,0.5511533333333337,0.7215700000000004,0.3327933333333334,0.4701066666666666
FH_RobertWalraven_ESG,0.33403000000000005,0.21538666666666673,0.7757299999999999,0.10878333333333337,1.5262033333333311,0.10878333333333337,0.33403000000000005,0.48985999999999985,0.5953960000000001,0.5777239999999996,0.5817359999999997,0.02834333333333332,0.9844699999999996,0.47762333333333357,0.5902200000000001,0.38562000000000024,0.16867000000000001,0.1744700000000001,0.09842000000000002,0.07641666666666666,0.5070866666666665,0.08978333333333331,0.02156399999999996,0.4212266666666669,0.6437200000000002,0.2472799999999999,0.0,0.36087000000000047,0.8732850000000001,0.2723400000000001,0.5533599999999997
FH_TTU_squider,0.44421666666666654,0.4660166666666668,0.7530999999999995,0.3595600000000001,1.3667666666666638,0.3595600000000001,0.44421666666666654,0.5945360000000001,0.6738240000000002,0.6290199999999999,0.656208,0.37147000000000024,0.9855633333333329,0.47938000000000014,0.4970199999999999,0.4048733333333338,0.41194,0.44587000000000027,0.3943533333333332,0.405936666666667,0.5473133333333334,0.3518833333333335,0.412528,0.5659433333333335,0.7368599999999997,0.5511533333333337,0.36087000000000047,0.0,0.9642650000000001,0.44395999999999997,0.5673799999999994
FH_UMich_RidgeTfReg,0.7589099999999996,0.8033449999999995,0.8167200000000002,0.8206049999999996,1.4169550000000009,0.8206049999999996,0.7589099999999996,0.6388050000000002,0.5913350000000002,0.6673100000000001,0.6464700000000003,0.8640200000000001,0.44892000000000004,0.7795150000000004,0.8987000000000003,0.8190449999999996,0.8174049999999997,0.8160999999999997,0.8328800000000007,0.8567749999999996,0.8442049999999999,0.7170599999999997,0.8596733333333333,0.6742850000000006,0.6242200000000001,0.7215700000000004,0.8732850000000001,0.9642650000000001,0.0,0.74842,0.7060399999999999
FH_UVA_Ensemble,0.3167333333333334,0.3451666666666666,0.68086,0.24274,1.4552033333333332,0.24274,0.3167333333333334,0.5038600000000001,0.5655920000000003,0.5278079999999999,0.538476,0.28272333333333355,0.9021833333333324,0.47836333333333364,0.57096,0.45822999999999997,0.3302766666666665,0.2741449999999999,0.3055566666666666,0.2809333333333334,0.6149433333333334,0.22467333333333325,0.289932,0.46196000000000015,0.6472999999999999,0.3327933333333334,0.2723400000000001,0.44395999999999997,0.74842,0.0,0.5325166666666664
USC_SI_kJalpha,0.3090766666666667,0.5136966666666666,0.6293599999999999,0.5067333333333334,1.4564599999999992,0.5067333333333334,0.3090766666666667,0.3848320000000001,0.35050800000000026,0.4080640000000001,0.3932840000000001,0.5470766666666668,0.8814666666666668,0.5275233333333335,0.42225999999999997,0.4826466666666667,0.5365199999999996,0.42760000000000026,0.49194666666666703,0.5312199999999998,0.6671733333333336,0.5051333333333333,0.5335319999999999,0.5101200000000001,0.60962,0.4701066666666666,0.5533599999999997,0.5673799999999994,0.7060399999999999,0.5325166666666664,0.0
