,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_CU_select,0.2535533333333333,0.3526850000000001,0.8949349999999994,1.3591733333333336,0.30400999999999995,0.2787799999999999,0.09363499999999997,0.22308,0.15014500000000008,0.0,0.0,0.5237900000000003,0.32859000000000016,0.7358599999999998,0.6362650000000001,0.73992,0.36006000000000005,0.33414500000000014,0.269445,0.4805250000000004,0.5422699999999997,0.5748399999999999,0.30721,0.57516,0.29599000000000003,0.916933333333333,0.4206050000000001,0.7457066666666665,0.37958000000000003,0.9429199999999998,0.2986250000000001,0.45143500000000036,0.6446600000000001,0.9257550000000007,0.4036000000000002,0.2903350000000001
FH_Covid19Sim_Simulator,0.327692,0.2602100000000002,0.9490919999999996,1.4572150000000001,0.28784000000000015,0.41375999999999974,0.5023100000000005,0.6022000000000003,0.41553500000000004,0.5237900000000003,0.5237900000000003,0.0,0.30141199999999985,0.7520650000000001,0.7370933333333333,0.7407600000000001,0.37186,0.3012440000000002,0.3787560000000003,0.47158999999999984,0.5753950000000002,0.5961500000000001,0.32725666666666714,0.7281966666666665,0.35503199999999985,0.9383350000000006,0.43218333333333353,0.4678680000000003,0.46789333333333333,0.7914360000000001,0.2633566666666667,0.5233800000000001,0.7075600000000002,0.8075160000000002,0.37847600000000037,0.28134666666666674
FH_CovidAnalytics_DELPHI,0.20709000000000002,0.16740000000000016,1.0325839999999997,1.5239799999999997,0.08553,0.24792999999999996,0.31299999999999994,0.41570499999999994,0.18178999999999995,0.32859000000000016,0.32859000000000016,0.30141199999999985,0.0,0.7060850000000002,0.7293839999999995,0.54426,0.019640000000000005,0.10910000000000006,0.218248,0.39424800000000026,0.4698550000000003,0.44551999999999997,0.1913560000000001,0.740468,0.170284,0.9435499999999999,0.33305599999999996,0.4946900000000005,0.38914000000000004,0.8427649999999999,0.085508,0.368824,0.6102866666666668,0.8649119999999999,0.2234400000000002,0.09828399999999995
FH_Google_Harvard_CPF,0.7095400000000003,0.6709700000000002,0.9703099999999999,1.5206133333333327,0.5449700000000002,0.6460200000000004,0.7339950000000001,0.6985550000000003,0.6957600000000005,0.7358599999999998,0.7358599999999998,0.7520650000000001,0.7060850000000002,0.0,0.8967149999999998,0.5653200000000002,0.8402000000000003,0.7010400000000003,0.723505,0.713785,0.7144500000000003,0.7386000000000001,0.6117900000000003,0.8855899999999999,0.7277200000000001,0.8325800000000003,0.80223,0.7591066666666667,0.8592400000000001,0.6154600000000001,0.6808550000000001,0.889955,0.5327800000000001,0.7044100000000003,0.643815,0.6823950000000006
FH_IEM_MED_CovidProject,0.5518959999999999,0.6935966666666668,0.8623319999999999,1.040945000000001,0.8746099999999999,0.77168,0.6500149999999995,0.5591499999999998,0.72956,0.6362650000000001,0.6362650000000001,0.7370933333333333,0.7293839999999995,0.8967149999999998,0.0,0.8875600000000001,1.0544000000000002,0.693148,0.6505879999999993,0.5730266666666665,0.706845,0.7174299999999998,0.659386666666667,0.5661566666666666,0.6591600000000006,0.9644200000000004,0.5711600000000001,0.5872639999999998,0.4103666666666667,0.7947679999999997,0.6990433333333333,0.6748466666666663,0.7766066666666663,0.914624,0.6445199999999999,0.7019333333333329
FH_IUPUI_HkPrMobiDyR,0.6536799999999999,0.69688,0.83636,1.5726599999999997,0.6653200000000001,0.6536799999999999,0.6544600000000002,0.5860800000000002,0.7053200000000001,0.73992,0.73992,0.7407600000000001,0.54426,0.5653200000000002,0.8875600000000001,0.0,,0.6875200000000001,0.6746000000000001,0.8177599999999998,0.5405,0.3878199999999999,0.6729199999999999,0.8122799999999999,0.7047400000000001,0.7449600000000001,0.7245599999999999,,0.8509399999999998,0.6838799999999999,0.6431600000000003,0.9703000000000002,0.6174200000000001,0.7773799999999997,0.5586800000000003,0.6787600000000001
FH_IowaStateLW_STEM,,0.31888,0.9070200000000002,1.41796,,,0.36987999999999993,0.44282,0.21756,0.36006000000000005,0.36006000000000005,0.37186,0.019640000000000005,0.8402000000000003,1.0544000000000002,,0.0,0.04525999999999996,0.22602000000000003,0.5327,0.62216,,0.5009999999999999,0.7456199999999998,0.22451999999999997,,0.26566,1.0238,,1.09136,0.06525999999999998,0.17834,,1.0342,0.54604,0.05152
FH_JHUAPL_Bucky,0.17565000000000006,0.13334000000000013,1.042204,1.5254750000000001,0.09955999999999998,0.2622600000000001,0.31808499999999984,0.42032999999999965,0.188885,0.33414500000000014,0.33414500000000014,0.3012440000000002,0.10910000000000006,0.7010400000000003,0.693148,0.6875200000000001,0.04525999999999996,0.0,0.1725640000000001,0.3430159999999999,0.45204000000000044,0.4818999999999997,0.16033199999999995,0.66728,0.12955200000000006,0.9194850000000002,0.28573199999999993,0.4504850000000005,0.33580666666666675,0.8567000000000004,0.06289599999999995,0.3585320000000002,0.5886466666666668,0.849220000000001,0.20140800000000006,0.07386400000000001
FH_JHU_CSSE_DECOM,0.11637000000000014,0.20264800000000002,0.9125000000000002,1.2772800000000002,0.15216999999999994,0.15368000000000007,0.29783999999999994,0.43298999999999993,0.21962000000000007,0.269445,0.269445,0.3787560000000003,0.218248,0.723505,0.6505879999999993,0.6746000000000001,0.22602000000000003,0.1725640000000001,0.0,0.41644400000000026,0.49237000000000014,0.59426,0.19851999999999997,0.6248719999999999,0.14817200000000005,0.9449549999999998,0.3389440000000001,0.5345199999999999,0.34535333333333357,0.9273850000000005,0.13145200000000015,0.2930440000000001,0.6530866666666665,0.9352719999999997,0.29450400000000015,0.17522
FH_JHU_IDD_CovidSP,0.34499199999999997,0.3455500000000004,1.0022640000000003,1.4811750000000001,0.5225600000000002,0.60718,0.47575499999999993,0.44756999999999986,0.45195000000000024,0.4805250000000004,0.4805250000000004,0.47158999999999984,0.39424800000000026,0.713785,0.5730266666666665,0.8177599999999998,0.5327,0.3430159999999999,0.41644400000000026,0.0,0.5359750000000001,0.5911900000000001,0.3346966666666667,0.6656466666666664,0.37399199999999994,0.9501000000000002,0.4065900000000001,0.37726800000000044,0.3746000000000001,0.6682639999999997,0.33180666666666675,0.6100599999999995,0.6167399999999998,0.8780359999999999,0.34164000000000033,0.3170500000000004
