,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,FH_UVA_Ensemble,USC_SI_kJalpha,USC_SI_kJalpha_RF,ensemble_SIkJa_RF
FH_LANL_GrowthRate,0.617353333333333,0.88841,1.5477466666666675,0.5112700000000003,0.6528899999999996,0.6481433333333332,0.4179933333333333,0.6158566666666659,0.6268466666666664,0.6845319999999998,0.6793933333333333,0.55954,0.5382999999999998,0.7640400000000003,0.7444366666666672,0.6295033333333327,0.5904366666666658,0.5818799999999994,0.4587700000000001,0.5903100000000003,0.0,0.5435899999999995,0.47448000000000007,0.2279199999999999,0.43384000000000034,0.6212566666666671,0.6843966666666667,0.40003200000000044,0.6536733333333328,0.7747266666666666,0.44602,0.6640866666666667,0.2958200000000002,0.5685599999999996
FH_LNQ_ens1,0.4010000000000003,0.8781799999999998,1.5049499999999996,0.33196666666666713,0.316126666666667,0.2701833333333334,0.49917666666666727,0.19571999999999995,0.2363633333333334,0.5541920000000004,0.902303333333333,0.16315999999999992,0.48712000000000033,0.9626833333333331,0.3721566666666668,0.3732733333333338,0.11896333333333335,0.46795600000000037,0.13014000000000003,0.2001966666666666,0.5435899999999995,0.0,0.5139320000000002,0.11643999999999996,0.773683333333333,0.7375200000000001,1.1270633333333326,0.163624,0.5536799999999996,0.8939200000000002,0.3972800000000001,0.7215366666666669,0.21686000000000008,0.1636300000000001
FH_MSRA_DeepST,0.6277959999999999,0.8131240000000002,1.5341560000000003,0.6226120000000002,0.7141279999999994,0.6957319999999992,0.6133759999999995,0.6624479999999995,0.7110199999999993,0.7818050000000001,0.6015839999999997,0.5469760000000001,0.45801500000000034,0.7030599999999995,0.41199600000000025,0.523624,0.5331959999999996,0.5237800000000002,0.5981533333333335,0.5829319999999993,0.47448000000000007,0.5139320000000002,0.0,0.042619999999999984,0.5593480000000005,0.617496,0.6149960000000002,0.4879500000000001,0.6159880000000004,0.9873299999999997,0.36136,0.59516,0.66449,0.5315160000000004
FH_OneQuietNight_ML,0.25633999999999996,0.67344,1.5784000000000002,0.20105999999999993,0.71242,0.6397400000000001,0.6908599999999998,0.55362,0.6908599999999998,0.7173399999999998,0.37522,0.013440000000000006,0.06077999999999999,0.8797200000000005,0.03319999999999998,0.1503,0.005500000000000001,0.21889999999999993,,0.11413999999999998,0.2279199999999999,0.11643999999999996,0.042619999999999984,0.0,0.72844,0.5593600000000002,0.5852799999999998,0.03449999999999997,0.46744000000000013,1.12156,0.24015999999999998,0.3801400000000001,,0.18146
FH_RobertWalraven_ESG,0.7850933333333322,0.7900933333333332,1.4935433333333343,0.703036666666667,0.7926866666666662,0.8101333333333326,0.4491266666666668,0.7761466666666671,0.7593466666666667,0.8411239999999996,0.5708166666666667,0.8602766666666664,0.7049999999999997,0.6241800000000002,0.8446566666666669,0.7897333333333331,0.8842533333333322,0.7213879999999995,0.8328700000000004,0.8504633333333338,0.43384000000000034,0.773683333333333,0.5593480000000005,0.72844,0.0,0.6304200000000005,0.5095466666666666,0.7835439999999996,0.6802966666666664,0.5623733333333331,0.5574399999999998,0.5721033333333332,0.7805600000000001,0.8224866666666669
FH_TTU_squider,0.7744266666666664,0.8561366666666671,1.3543133333333317,0.7033300000000003,0.7729500000000004,0.8038399999999999,0.6294966666666667,0.7829433333333329,0.79036,0.7135560000000001,0.5264566666666672,0.8042033333333333,0.582128,0.7808566666666665,0.862596666666667,0.7871366666666664,0.81709,0.7271360000000002,0.7784800000000004,0.7772799999999999,0.6212566666666671,0.7375200000000001,0.617496,0.5593600000000002,0.6304200000000005,0.0,0.6933833333333331,0.7124159999999998,0.73634,0.7079199999999997,0.5249400000000001,0.6493999999999999,0.6883199999999995,0.7535066666666664
FH_UCLA_SuEIR,0.9284966666666662,0.8063133333333333,1.542643333333333,1.017966666666666,1.0724866666666664,1.107213333333333,0.788573333333333,1.1531199999999997,1.131986666666666,0.9160679999999997,0.4754266666666669,1.132913333333333,0.8040959999999999,0.5121866666666669,0.9528999999999994,0.9650733333333337,1.1727300000000007,0.8849359999999998,1.2696399999999992,1.1279899999999992,0.6843966666666667,1.1270633333333326,0.6149960000000002,0.5852799999999998,0.5095466666666666,0.6933833333333331,0.0,1.109352,0.8119133333333329,0.5946066666666667,0.6260399999999996,0.5991533333333329,1.1039400000000006,1.1064133333333332
FH_UCSB_ACTS,0.39894400000000024,0.8579439999999995,1.4797159999999956,0.2515359999999998,0.43288,0.36188400000000004,0.5853079999999998,0.2954319999999999,0.35162799999999983,0.48577000000000015,0.8809359999999997,0.12686000000000014,0.40354800000000024,0.9617599999999995,0.40390800000000004,0.34945200000000026,0.11775600000000017,0.4599750000000003,0.10235000000000001,0.12255600000000014,0.40003200000000044,0.163624,0.4879500000000001,0.03449999999999997,0.7835439999999996,0.7124159999999998,1.109352,0.0,0.5485399999999999,0.9844066666666661,0.41217,0.7836439999999993,0.2755699999999999,0.2266680000000002
FH_UMich_RidgeTfReg,0.5785133333333332,0.7957066666666667,1.4431499999999982,0.6124466666666666,0.7018266666666668,0.6515900000000001,0.6593366666666673,0.6016766666666664,0.6364866666666678,0.6977480000000004,0.7141266666666668,0.57328,0.6009880000000001,0.773403333333333,0.6428733333333337,0.5942700000000003,0.5326133333333334,0.761736,0.569855,0.6047000000000002,0.6536733333333328,0.5536799999999996,0.6159880000000004,0.46744000000000013,0.6802966666666664,0.73634,0.8119133333333329,0.5485399999999999,0.0,0.8086400000000005,0.49061000000000016,0.7832699999999998,0.6451600000000001,0.6153499999999994
FH_USACE_ERDC_SEIR,0.8450666666666665,0.8372799999999996,1.560240000000001,0.8904133333333331,0.5976866666666665,0.6488200000000003,0.44264666666666663,0.7253599999999999,0.6002133333333332,0.7698599999999999,0.7604266666666665,0.9414399999999998,0.786926666666666,0.65474,0.9796466666666661,0.9573866666666663,0.9829933333333333,0.7656466666666671,0.9468299999999998,0.9610666666666661,0.7747266666666666,0.8939200000000002,0.9873299999999997,1.12156,0.5623733333333331,0.7079199999999997,0.5946066666666667,0.9844066666666661,0.8086400000000005,0.0,0.7480300000000001,0.49860000000000015,,0.8398866666666669
FH_UVA_Ensemble,0.4248200000000001,0.71478,1.6598799999999994,0.36327,0.58433,0.5688299999999998,0.5606300000000001,0.5219400000000003,0.5606300000000001,0.64916,0.45493999999999984,0.3605500000000001,0.3892600000000001,0.7364799999999998,0.42618,0.3747799999999999,0.39701000000000003,0.42565,0.56514,0.4060099999999999,0.44602,0.3972800000000001,0.36136,0.24015999999999998,0.5574399999999998,0.5249400000000001,0.6260399999999996,0.41217,0.49061000000000016,0.7480300000000001,0.0,0.5086900000000001,,0.3754199999999999
USC_SI_kJalpha,0.7230066666666666,0.8176066666666668,1.4699666666666638,0.7491266666666675,0.7362033333333328,0.7712233333333329,0.5716066666666667,0.7476933333333329,0.73981,0.7626199999999999,0.6085166666666669,0.7961566666666667,0.6501119999999997,0.792303333333333,0.7373999999999999,0.8053966666666662,0.797043333333333,0.6523079999999996,0.916135,0.8110866666666667,0.6640866666666667,0.7215366666666669,0.59516,0.3801400000000001,0.5721033333333332,0.6493999999999999,0.5991533333333329,0.7836439999999993,0.7832699999999998,0.49860000000000015,0.5086900000000001,0.0,0.7877099999999999,0.73817
USC_SI_kJalpha_RF,0.5556100000000002,0.9115599999999998,1.5908599999999995,0.37533999999999973,0.30095999999999984,0.26253,0.4025599999999999,0.27141000000000026,0.27141000000000026,0.48019000000000006,0.9661300000000003,0.20754999999999993,0.48963000000000007,0.9373299999999999,0.7523900000000004,0.5290699999999997,0.21323999999999996,0.6124599999999999,0.2508600000000001,0.26901000000000014,0.2958200000000002,0.21686000000000008,0.66449,,0.7805600000000001,0.6883199999999995,1.1039400000000006,0.2755699999999999,0.6451600000000001,,,0.7877099999999999,0.0,0.23279
ensemble_SIkJa_RF,0.388326666666667,0.8657200000000003,1.532419999999999,0.3811500000000003,0.2684033333333334,0.2322233333333334,0.5132133333333335,0.2298066666666666,0.25826000000000016,0.5420959999999998,0.8993899999999995,0.19566666666666666,0.43502399999999997,1.013323333333333,0.4101866666666669,0.4292700000000003,0.1679,0.42290400000000056,0.1870999999999999,0.2297633333333333,0.5685599999999996,0.1636300000000001,0.5315160000000004,0.18146,0.8224866666666669,0.7535066666666664,1.1064133333333332,0.2266680000000002,0.6153499999999994,0.8398866666666669,0.3754199999999999,0.73817,0.23279,0.0
