,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,FH_UVA_Ensemble,USC_SI_kJalpha,USC_SI_kJalpha_RF,ensemble_SIkJa_RF
FH_LNQ_ens1,0.3926333333333335,0.7985566666666664,1.572579999999999,0.22891666666666685,0.35896000000000017,0.32167333333333337,0.38254666666666676,0.2635933333333334,0.31606000000000006,0.480508,0.6855666666666663,0.2583966666666666,0.47684666666666675,0.30304,0.903466666666667,0.4391333333333334,0.3639466666666668,0.25464000000000003,0.3997879999999999,0.15818500000000005,0.15083666666666667,0.2939333333333334,0.0,0.45355000000000045,0.3563599999999999,0.4056533333333333,0.6359033333333334,0.5629333333333333,0.8760233333333328,0.26395666666666673,0.48828500000000047,0.8673599999999996,0.4512249999999998,0.6164266666666667,0.21686000000000008,0.22854666666666684
FH_MSRA_DeepST,0.6075299999999997,0.7434733333333335,1.6113933333333335,0.5710433333333336,0.6508600000000005,0.62957,0.6258133333333329,0.6026833333333332,0.6614466666666661,0.8146279999999998,0.5887700000000001,0.42925999999999986,0.4345033333333334,0.49692000000000003,0.7689566666666664,0.32275666666666686,0.49383666666666726,0.4142466666666666,0.3998879999999999,0.5812550000000002,0.49974666666666695,0.515286666666667,0.45355000000000045,0.0,0.09329999999999998,0.2062266666666666,0.6095733333333334,0.5796733333333335,0.6246900000000005,0.4284666666666667,0.5998600000000001,0.988893333333334,0.4621549999999999,0.5967533333333332,0.66449,0.436146666666667
FH_Microsoft_DeepSTIA,0.6311800000000002,0.6985800000000002,1.6854000000000002,0.4751199999999999,0.39579999999999993,0.36635999999999996,0.45063999999999976,0.35631999999999997,0.45063999999999976,0.5954600000000001,0.5789399999999999,0.45084,0.54728,0.34006000000000003,0.8430999999999998,0.25183999999999995,0.6475,0.5004800000000001,0.32648000000000005,0.35496,0.30834,0.5695000000000001,0.3563599999999999,0.09329999999999998,0.0,0.27590000000000003,0.7729199999999997,0.54812,0.57144,0.31326,,,0.5627399999999999,0.3952800000000001,,0.28898
FH_OneQuietNight_ML,0.5769133333333333,0.7294133333333334,1.5838933333333345,0.47106666666666686,0.7271866666666673,0.6539133333333335,0.7296466666666671,0.5930466666666667,0.7296466666666671,0.8375066666666665,0.5117466666666669,0.22666666666666666,0.2824666666666666,0.39654000000000006,0.9971733333333339,0.09527999999999993,0.5313,0.1902133333333333,0.3247133333333334,0.30924,0.3614999999999998,0.4822333333333332,0.4056533333333333,0.2062266666666666,0.27590000000000003,0.0,0.9449266666666667,0.6361666666666669,0.5531466666666668,0.03677999999999997,0.46744000000000013,1.2064899999999994,0.5573066666666668,0.6422333333333334,,0.22995333333333334
FH_RobertWalraven_ESG,0.6152466666666666,0.7201533333333331,1.566936666666665,0.5982466666666673,0.5705566666666672,0.5979433333333339,0.46282666666666644,0.586383333333333,0.5216599999999996,0.7404759999999997,0.6201099999999999,0.6679933333333339,0.7326399999999993,0.7817800000000001,0.6281400000000006,0.81354,0.6673966666666657,0.7498033333333332,0.6759799999999999,0.7270749999999997,0.6833133333333333,0.5729399999999998,0.6359033333333334,0.6095733333333334,0.7729199999999997,0.9449266666666667,0.0,0.6385633333333335,0.6624833333333334,0.8183066666666662,0.6307650000000002,0.4343666666666668,0.491755,0.5812000000000005,0.7805600000000001,0.716506666666667
FH_TTU_squider,0.6386099999999996,0.8203333333333334,1.4752733333333312,0.5732233333333338,0.6230933333333338,0.643113333333333,0.6109099999999995,0.6275933333333334,0.619073333333333,0.619856,0.46475666666666704,0.631933333333333,0.5369800000000001,0.547,0.8175333333333324,0.7226333333333337,0.6044200000000006,0.6370900000000002,0.5611640000000001,0.6281899999999999,0.5817533333333336,0.6371466666666666,0.5629333333333333,0.5796733333333335,0.54812,0.6361666666666669,0.6385633333333335,0.0,0.6893466666666667,0.6690433333333335,0.6101250000000004,0.764953333333333,0.5148799999999999,0.6313199999999998,0.6883199999999995,0.5935899999999996
FH_UCLA_SuEIR,0.7645499999999993,0.69817,1.5566533333333314,0.8533000000000002,0.8833133333333325,0.8862033333333331,0.8232499999999995,0.9090666666666661,0.8994766666666664,0.878355999999999,0.5085233333333334,0.8503099999999997,0.7443533333333323,0.5696200000000001,0.6298766666666664,0.7077266666666661,0.7962933333333329,0.9044333333333333,0.7230319999999997,1.0136199999999997,0.8928799999999998,0.8874633333333328,0.8760233333333328,0.6246900000000005,0.57144,0.5531466666666668,0.6624833333333334,0.6893466666666667,0.0,0.8924999999999998,0.7771499999999996,0.6536200000000003,0.6156950000000002,0.6134133333333329,1.1039400000000006,0.8544799999999995
FH_UCSB_ACTS,0.49166000000000004,0.799343333333333,1.5369633333333281,0.3274833333333335,0.5226433333333335,0.4576533333333333,0.5721500000000002,0.38967000000000007,0.4813366666666666,0.6509640000000002,0.7906366666666668,0.17891666666666659,0.3797000000000003,0.42787999999999987,0.9888666666666668,0.3410366666666667,0.4277199999999997,0.14042666666666662,0.3780080000000001,0.12185500000000005,0.21416666666666667,0.3293666666666667,0.26395666666666673,0.4284666666666667,0.31326,0.03677999999999997,0.8183066666666662,0.6690433333333335,0.8924999999999998,0.0,0.5068099999999998,1.1111799999999994,0.5605650000000003,0.7855333333333334,0.2755699999999999,0.21242666666666682
FH_UMich_RidgeTfReg,0.5731850000000002,0.767465,1.503845,0.5088100000000004,0.6719799999999999,0.6290650000000002,0.6135700000000001,0.5734150000000002,0.6256300000000001,0.6603000000000004,0.6537400000000001,0.5040250000000001,0.5745100000000002,,0.7929800000000001,0.6032799999999999,0.520615,0.47270499999999993,0.6516133333333332,0.5267999999999998,0.5201250000000003,0.54415,0.48828500000000047,0.5998600000000001,,0.46744000000000013,0.6307650000000002,0.6101250000000004,0.7771499999999996,0.5068099999999998,0.0,0.7620500000000002,0.49061000000000016,0.7515800000000001,0.6451600000000001,0.5632649999999998
FH_USACE_ERDC_SEIR,0.7093733333333335,0.7362599999999998,1.5867800000000012,0.8340933333333331,0.44846666666666657,0.5040733333333334,0.4258866666666665,0.5907333333333338,0.4258866666666665,0.5181900000000002,0.7666066666666665,0.9073466666666667,0.9931799999999993,,0.5019000000000001,1.1472066666666654,0.9572399999999998,1.1318066666666662,0.8762066666666669,0.96934,0.9057733333333331,0.8162133333333336,0.8673599999999996,0.988893333333334,,1.2064899999999994,0.4343666666666668,0.764953333333333,0.6536200000000003,1.1111799999999994,0.7620500000000002,0.0,0.674226666666667,0.5183933333333336,,0.8825333333333333
