,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_CU_select,0.5058566666666667,0.5255666666666665,0.8474299999999995,0.3469733333333333,1.5537499999999984,0.37842666666666663,0.5058566666666667,0.05314666666666662,0.0,0.08356400000000008,0.0,0.7635400000000001,0.3370599999999999,0.7616599999999997,0.8474966666666662,0.5047466666666665,0.5941719999999995,0.7401033333333329,0.36693666666666697,0.5467099999999999,0.4549900000000007,0.7583133333333337,0.6593166666666668,0.34101500000000007,0.4529466666666671,0.5596333333333334,0.6194866666666666,0.426996666666667,0.8496999999999998,0.19245999999999996,0.6621300000000004,0.5053866666666668,0.5700933333333338
FH_Covid19Sim_Simulator,0.17352,0.267,0.8998399999999998,,1.5415000000000003,0.4358800000000001,0.17352,0.5284600000000002,0.7635400000000001,0.43517999999999996,0.7635400000000001,0.0,0.9823,0.9575000000000001,0.06096,0.29960000000000003,0.06451999999999998,0.07093999999999999,0.62396,0.07701999999999999,0.19838,0.5808199999999999,0.86532,0.9161800000000002,0.35402000000000006,0.24764000000000003,0.75804,1.32826,1.0498,,0.6020200000000001,0.3952200000000001,0.2913199999999999
FH_CovidAnalytics_DELPHI,0.6097466666666671,0.616856666666667,0.8218700000000005,0.31066666666666676,1.5670999999999984,0.3787766666666665,0.6097466666666671,0.3419466666666672,0.3370599999999999,0.3095680000000002,0.3370599999999999,0.9823,0.0,0.8654599999999995,1.007433333333334,0.5808600000000002,0.7450839999999989,0.89007,0.35351000000000016,0.6968899999999997,0.5212433333333331,0.9273999999999999,0.6762966666666668,0.33453999999999984,0.5525700000000003,0.5257633333333331,0.6191766666666672,0.2688133333333339,0.8305666666666659,0.08531000000000001,0.6779566666666662,0.47880666666666677,0.6464066666666661
FH_Google_Harvard_CPF,0.6942240000000005,0.6855559999999998,0.9246159999999999,0.9154000000000004,1.5967999999999998,0.8399679999999996,0.6942240000000005,0.8074479999999995,0.7616599999999997,0.7855759999999999,0.7616599999999997,0.9575000000000001,0.8654599999999995,0.0,0.43503599999999987,0.6254039999999998,0.6762499999999997,0.49704399999999993,0.8693400000000001,0.6344960000000001,0.7155199999999997,0.6602800000000002,0.6313240000000001,0.63936,0.6542639999999998,0.9829119999999996,0.559792,0.8695839999999998,0.9408759999999994,0.9007500000000002,0.6397800000000001,0.7423719999999999,0.6651880000000004
FH_IEM_MED_CovidProject,0.42343000000000025,0.48584666666666654,0.9189566666666665,0.926393333333333,1.5551033333333304,0.7552133333333337,0.42343000000000025,0.7888866666666662,0.8474966666666662,0.862832,0.8474966666666662,0.06096,1.007433333333334,0.43503599999999987,0.0,0.4677799999999999,0.328704,0.16738666666666666,0.8143133333333333,0.3852866666666667,0.5223566666666662,0.5644499999999999,0.6750400000000002,0.8330899999999991,0.5198699999999997,0.6868633333333327,0.6501600000000002,1.2118266666666677,1.0734233333333327,1.0929299999999997,0.6671866666666667,0.6479499999999992,0.44656666666666667
FH_JHUAPL_Bucky,0.26721000000000006,0.4308633333333332,0.8736533333333334,0.4432066666666669,1.5627733333333325,0.4062566666666666,0.26721000000000006,0.46292666666666643,0.5047466666666665,0.45196000000000025,0.5047466666666665,0.29960000000000003,0.5808600000000002,0.6254039999999998,0.4677799999999999,0.0,0.38396400000000036,0.441886666666667,0.47615333333333365,0.4272266666666668,0.3728966666666671,0.7107500000000001,0.6605899999999997,0.59187,0.3519733333333338,0.5690033333333333,0.53461,0.7674233333333331,0.8738399999999997,0.6200700000000002,0.7315833333333334,0.4444166666666669,0.3279666666666669
FH_JHU_CSSE_DECOM,0.23966399999999996,0.36529599999999995,0.8658279999999999,0.38287000000000027,1.524684,0.45069200000000026,0.23966399999999996,0.5165280000000003,0.5941719999999995,0.5287200000000003,0.5941719999999995,0.06451999999999998,0.7450839999999989,0.6762499999999997,0.328704,0.38396400000000036,0.0,0.29139199999999993,0.5568800000000003,0.21875999999999998,0.2834840000000001,0.6468840000000001,0.6669200000000004,0.6633866666666666,0.369752,0.5145679999999999,0.683916,1.018184,1.0029560000000002,0.9104199999999996,0.6211839999999997,0.42892400000000014,0.29713600000000023
FH_JHU_IDD_CovidSP,0.38178333333333336,0.46389000000000047,0.955093333333333,0.8296333333333333,1.5449633333333306,0.6782000000000001,0.38178333333333336,0.689963333333333,0.7401033333333329,0.757432,0.7401033333333329,0.07093999999999999,0.89007,0.49704399999999993,0.16738666666666666,0.441886666666667,0.29139199999999993,0.0,0.7135366666666665,0.3576433333333333,0.4680633333333334,0.6475166666666664,0.6348166666666667,0.7533299999999997,0.4836766666666668,0.647353333333333,0.6281266666666666,1.1131899999999995,1.0081933333333324,1.0085000000000002,0.6927033333333338,0.5854799999999997,0.3806733333333336
FH_JHU_UNC_GAS_StatMechPool,0.4489300000000004,0.42187666666666696,0.7795800000000002,0.28825999999999996,1.5008099999999973,0.2845100000000001,0.4489300000000004,0.3578066666666665,0.36693666666666697,0.3071239999999999,0.36693666666666697,0.62396,0.35351000000000016,0.8693400000000001,0.8143133333333333,0.47615333333333365,0.5568800000000003,0.7135366666666665,0.0,0.6074700000000001,0.37621333333333334,0.7683366666666663,0.7105633333333337,0.44238,0.5087766666666668,0.52534,0.5858433333333334,0.4760166666666671,0.8581833333333333,0.4429400000000001,0.6932233333333337,0.4105300000000003,0.4510166666666669
FH_KITmetricslab_select_ensemble,0.33262666666666685,0.5004699999999997,0.899363333333334,0.5032066666666666,1.5661900000000002,0.5598499999999998,0.33262666666666685,0.49484666666666677,0.5467099999999999,0.5222040000000002,0.5467099999999999,0.07701999999999999,0.6968899999999997,0.6344960000000001,0.3852866666666667,0.4272266666666668,0.21875999999999998,0.3576433333333333,0.6074700000000001,0.0,0.3774233333333334,0.7071299999999997,0.6798966666666665,0.5724050000000002,0.40597333333333346,0.5550666666666665,0.7314433333333339,0.9485199999999991,1.0164300000000002,0.49804999999999994,0.6556900000000003,0.5114466666666664,0.4050466666666665
