,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_DDS_NBDS,0.9721566666666672,1.48231,0.9998100000000003,0.39099000000000006,0.32578,0.67094,0.37746999999999997,0.4813633333333334,0.9583066666666675,1.0589066666666669,0.0,1.1137400000000002,1.0233300000000007,0.6508700000000001,0.8362433333333336,0.4245599999999999,0.8398733333333332,0.7293866666666666,1.0519233333333338,0.7186299999999999,1.0258233333333329,1.1107200000000004,0.9956400000000006,0.8467066666666665,0.7401159999999997,0.7319720000000002,0.8207433333333336,0.638443333333333
FH_Google_Harvard_CPF,0.65104,1.2003600000000005,0.47124000000000005,0.9768200000000005,0.9816399999999998,0.9196199999999999,0.97906,0.97906,0.7120000000000001,0.49158,1.1137400000000002,0.0,0.49651999999999996,0.9869200000000004,0.4786399999999999,,0.8342999999999999,0.80326,0.60384,0.8294600000000001,0.6061400000000002,0.6341800000000002,0.5921000000000002,0.6815000000000002,0.80198,,0.8514200000000001,0.9409000000000002
FH_IowaStateLW_STEM,0.80493,1.0894133333333336,0.4489633333333331,1.2023399999999993,1.2196099999999994,0.8582700000000003,1.2194999999999996,1.1636966666666662,0.7163866666666668,0.4250833333333334,1.0233300000000007,0.49651999999999996,0.0,0.8501599999999997,0.5905899999999995,0.72706,0.7812699999999997,0.812016666666667,0.43431000000000003,0.7452499999999999,0.43139333333333363,0.6362499999999995,0.46436000000000005,0.8351933333333332,0.6914320000000005,0.8266120000000001,0.6446033333333334,0.9241566666666668
FH_JCB_PRM,0.8092933333333331,1.3088599999999992,0.7457300000000004,0.5342299999999999,0.5077900000000002,0.7371200000000002,0.5082000000000001,0.7393699999999988,0.7218533333333333,0.7930566666666669,0.6508700000000001,0.9869200000000004,0.8501599999999997,0.0,0.8230866666666665,0.61444,0.7147666666666659,0.6045333333333337,0.8153966666666672,0.6746533333333334,0.7868200000000003,0.9629499999999999,0.8075400000000004,0.8782433333333332,0.5907599999999996,0.8163920000000001,0.5819233333333332,0.5932600000000002
FH_JHUAPL_Bucky,0.8240500000000003,1.24505,0.6482866666666663,1.0986400000000005,1.1298000000000001,0.8476700000000001,1.11449,0.9345066666666666,0.7962366666666666,0.6999566666666667,0.8362433333333336,0.4786399999999999,0.5905899999999995,0.8230866666666665,0.0,0.7988800000000001,0.8784099999999999,0.7886100000000001,0.6848999999999994,0.8333533333333334,0.6875266666666664,0.7215399999999996,0.6691300000000002,0.8973566666666665,0.6789319999999995,0.7664479999999997,0.8046099999999997,0.9057233333333331
FH_JHU_CSSE_DECOM,0.7539,1.3717800000000002,0.8080400000000002,0.5745999999999999,0.5016999999999999,0.5119,0.61584,0.61584,0.8853999999999997,0.73994,0.4245599999999999,,0.72706,0.61444,0.7988800000000001,0.0,0.5949800000000001,0.76302,0.6548599999999999,0.6636800000000003,0.6439199999999999,0.8145800000000001,0.7505,0.59784,,0.5809200000000001,0.66794,0.5427400000000001
FH_JHU_IDD_CovidSP,0.846856666666666,1.2229499999999995,0.5676433333333332,0.8387800000000003,0.8675600000000001,0.6437599999999999,0.8784499999999998,0.9905666666666664,0.7177400000000004,0.60333,0.8398733333333332,0.8342999999999999,0.7812699999999997,0.7147666666666659,0.8784099999999999,0.5949800000000001,0.0,0.7032766666666664,0.593526666666667,0.5922233333333333,0.5944500000000001,0.7741500000000002,0.5368766666666667,0.822156666666667,0.6907000000000002,0.8045479999999998,0.5561900000000007,0.7194299999999998
FH_Karlen_pypm,0.8389300000000006,1.1911866666666668,0.6996600000000003,0.75236,0.7214500000000005,0.8213700000000002,0.7251500000000003,0.858869999999999,0.8036699999999998,0.7175966666666665,0.7293866666666666,0.80326,0.812016666666667,0.6045333333333337,0.7886100000000001,0.76302,0.7032766666666664,0.0,0.7988866666666666,0.7389033333333328,0.7685533333333332,0.96386,0.7435066666666659,0.8634699999999996,0.7381119999999995,0.8025519999999994,0.7238000000000007,0.7229266666666664
FH_LANL_GrowthRate,0.9143499999999994,1.4533933333333313,0.3671533333333335,1.27908,1.3289100000000003,0.7216500000000002,1.32187,1.2451366666666663,0.6916633333333334,0.2133466666666665,1.0519233333333338,0.60384,0.43431000000000003,0.8153966666666672,0.6848999999999994,0.6548599999999999,0.593526666666667,0.7988866666666666,0.0,0.6390933333333334,0.0542566666666667,0.59984,0.14867666666666676,0.9471466666666669,0.5692120000000002,0.948548,0.4397866666666666,0.8638000000000001
FH_LNQ_ens1,0.7658066666666667,1.1368333333333336,0.4561833333333335,0.7687,0.7890200000000004,0.5399899999999999,0.7498700000000004,0.8955333333333332,0.6332566666666668,0.5442199999999999,0.7186299999999999,0.8294600000000001,0.7452499999999999,0.6746533333333334,0.8333533333333334,0.6636800000000003,0.5922233333333333,0.7389033333333328,0.6390933333333334,0.0,0.6181433333333337,0.7340300000000002,0.61005,0.6855566666666669,0.5270240000000003,0.6828,0.47189999999999976,0.651466666666667
FH_RobertWalraven_ESG,0.8846766666666668,1.3914366666666655,0.34817000000000015,1.2727999999999993,1.3213,0.7101799999999997,1.3051300000000003,1.217856666666666,0.6914566666666666,0.21802000000000007,1.0258233333333329,0.6061400000000002,0.43139333333333363,0.7868200000000003,0.6875266666666664,0.6439199999999999,0.5944500000000001,0.7685533333333332,0.0542566666666667,0.6181433333333337,0.0,0.58004,0.16218000000000013,0.9005500000000003,0.540212,0.902716,0.42405000000000026,0.840533333333333
FH_TTU_squider,0.7577300000000002,1.0678099999999997,0.5393399999999998,1.1935099999999996,1.20893,0.75674,1.18362,1.18362,0.6965500000000001,0.5792299999999997,1.1107200000000004,0.6341800000000002,0.6362499999999995,0.9629499999999999,0.7215399999999996,0.8145800000000001,0.7741500000000002,0.96386,0.59984,0.7340300000000002,0.58004,0.0,0.5830900000000002,0.8829199999999999,0.7361999999999997,0.8836599999999999,0.7380000000000002,0.9914700000000002
FH_UCLA_SuEIR,0.8711399999999998,1.3682333333333336,0.34936999999999974,1.2692299999999992,1.3210199999999992,0.7407699999999998,1.31769,1.1936600000000006,0.6773399999999998,0.2684366666666669,0.9956400000000006,0.5921000000000002,0.46436000000000005,0.8075400000000004,0.6691300000000002,0.7505,0.5368766666666667,0.7435066666666659,0.14867666666666676,0.61005,0.16218000000000013,0.5830900000000002,0.0,0.8625366666666664,0.6160800000000003,0.88724,0.46900666666666674,0.8077399999999997
FH_UMich_RidgeTfReg,0.7307866666666668,0.9930333333333327,0.8001766666666662,0.7639,0.7175999999999999,0.8443499999999999,0.72919,0.87153,0.8959366666666665,0.8544333333333333,0.8467066666666665,0.6815000000000002,0.8351933333333332,0.8782433333333332,0.8973566666666665,0.59784,0.822156666666667,0.8634699999999996,0.9471466666666669,0.6855566666666669,0.9005500000000003,0.8829199999999999,0.8625366666666664,0.0,0.8948919999999997,0.3225000000000001,0.8476633333333335,0.8491233333333333
FH_USACE_ERDC_SEIR,0.9083680000000004,1.3593600000000001,0.538564,0.7113799999999998,0.7082200000000001,0.50466,0.6762199999999998,0.7861520000000003,0.6354600000000002,0.5961639999999997,0.7401159999999997,0.80198,0.6914320000000005,0.5907599999999996,0.6789319999999995,,0.6907000000000002,0.7381119999999995,0.5692120000000002,0.5270240000000003,0.540212,0.7361999999999997,0.6160800000000003,0.8948919999999997,0.0,0.7512050000000003,0.34868400000000016,0.6135640000000004
UMich_RidgeTfReg,0.7487879999999997,1.1381119999999998,0.8130799999999997,0.86218,0.819,0.8983599999999999,0.8982800000000001,0.72604,0.8090680000000003,0.8681840000000003,0.7319720000000002,,0.8266120000000001,0.8163920000000001,0.7664479999999997,0.5809200000000001,0.8045479999999998,0.8025519999999994,0.948548,0.6828,0.902716,0.8836599999999999,0.88724,0.3225000000000001,0.7512050000000003,0.0,0.8416840000000008,0.7870999999999999
USC_SI_kJalpha,0.8663133333333337,1.3525699999999985,0.47089666666666685,0.7455100000000003,0.7826699999999999,0.48078,0.7578599999999999,0.9128133333333324,0.599713333333333,0.5051333333333332,0.8207433333333336,0.8514200000000001,0.6446033333333334,0.5819233333333332,0.8046099999999997,0.66794,0.5561900000000007,0.7238000000000007,0.4397866666666666,0.47189999999999976,0.42405000000000026,0.7380000000000002,0.46900666666666674,0.8476633333333335,0.34868400000000016,0.8416840000000008,0.0,0.6417566666666665
ensemble_SIkJa_RF,0.8875400000000002,1.3105399999999998,0.7948233333333331,0.4714,0.47751999999999994,0.6345399999999999,0.4937300000000003,0.6441533333333336,0.7386200000000006,0.8696233333333332,0.638443333333333,0.9409000000000002,0.9241566666666668,0.5932600000000002,0.9057233333333331,0.5427400000000001,0.7194299999999998,0.7229266666666664,0.8638000000000001,0.651466666666667,0.840533333333333,0.9914700000000002,0.8077399999999997,0.8491233333333333,0.6135640000000004,0.7870999999999999,0.6417566666666665,0.0
