,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_IDD_CovidSP,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_RobertWalraven_ESG,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_Karlen_pypm,0.8270950000000002,1.277499999999999,0.6607499999999995,0.8661599999999997,0.6775450000000001,0.7279166666666667,0.7129566666666665,0.8303200000000003,0.8722,0.5565100000000005,0.0,0.7836766666666665,0.6593033333333327,0.5825966666666668,0.5936366666666667,0.8211599999999998,0.671703333333333,0.7141666666666656,0.69465,0.5725200000000003
FH_LANL_GrowthRate,0.80297,1.413959999999999,0.43401666666666683,1.1513600000000002,0.6260600000000002,0.25122666666666676,0.5111133333333334,0.5161880000000001,0.9339799999999997,0.8999700000000004,0.7836766666666665,0.0,0.472036666666667,0.49465000000000053,0.49799999999999994,1.0074266666666665,0.4669633333333334,0.6383833333333335,0.28648000000000007,0.9903433333333326
FH_LNQ_ens1,0.7012199999999998,1.185673333333334,0.34618,1.0028199999999994,0.5289950000000004,0.5174166666666664,0.6331800000000003,0.6242080000000003,0.86488,0.6681866666666664,0.6593033333333327,0.472036666666667,0.0,0.4663200000000006,0.5080000000000003,0.9662666666666666,0.3452499999999999,0.49237666666666663,0.3325033333333334,0.7214900000000003
FH_RobertWalraven_ESG,0.73906,1.196826666666667,0.43060333333333384,0.9793550000000003,0.5639750000000001,0.5235833333333333,0.6635266666666667,0.59674,0.9490800000000001,0.7245066666666665,0.5825966666666668,0.49465000000000053,0.4663200000000006,0.0,0.6006800000000003,0.8069866666666664,0.5488633333333328,0.5868333333333331,0.4799399999999999,0.7134333333333327
FH_UCLA_SuEIR,0.7518349999999998,1.3146900000000001,0.5062700000000004,0.9685000000000001,0.5505699999999999,0.5921299999999993,0.5731199999999997,0.7281479999999995,1.1005199999999995,0.7281199999999993,0.5936366666666667,0.49799999999999994,0.5080000000000003,0.6006800000000003,0.0,0.8964200000000003,0.5058499999999999,0.7371166666666672,0.5181799999999996,0.7900266666666668
FH_UMich_RidgeTfReg,0.816973333333333,1.2519733333333334,0.96226,0.3004799999999999,0.8326300000000003,0.9985800000000002,0.725073333333333,0.9302800000000001,0.45954000000000006,0.7423333333333333,0.8211599999999998,1.0074266666666665,0.9662666666666666,0.8069866666666664,0.8964200000000003,0.0,0.7810600000000004,0.7191933333333331,0.9564266666666666,0.6608466666666667
FH_USACE_ERDC_SEIR,0.7676449999999998,1.3310633333333335,0.42138666666666735,0.8378300000000002,0.5034949999999998,0.6113433333333333,0.5577866666666665,0.688628,0.55578,0.6866933333333333,0.671703333333333,0.4669633333333334,0.3452499999999999,0.5488633333333328,0.5058499999999999,0.7810600000000004,0.0,0.5950466666666672,0.30693666666666675,0.7490699999999997
UMich_RidgeTfReg,0.7262450000000004,1.1476766666666658,0.5548099999999999,0.8120449999999997,0.673605,0.5431166666666667,0.72612,0.6612079999999995,0.7917599999999999,0.7864200000000001,0.7141666666666656,0.6383833333333335,0.49237666666666663,0.5868333333333331,0.7371166666666672,0.7191933333333331,0.5950466666666672,0.0,0.5895733333333336,0.7642733333333329
USC_SI_kJalpha,0.78974,1.2928199999999985,0.3724933333333335,1.0646450000000003,0.5505649999999999,0.42857000000000045,0.5279066666666665,0.5879759999999997,0.8973800000000002,0.7252066666666659,0.69465,0.28648000000000007,0.3325033333333334,0.4799399999999999,0.5181799999999996,0.9564266666666666,0.30693666666666675,0.5895733333333336,0.0,0.8242900000000001
ensemble_SIkJa_RF,0.7500199999999999,1.256783333333333,0.8231100000000001,0.7080250000000001,0.740805,0.9092466666666669,0.8581766666666668,0.9250159999999996,1.0011400000000004,0.4657366666666668,0.5725200000000003,0.9903433333333326,0.7214900000000003,0.7134333333333327,0.7900266666666668,0.6608466666666667,0.7490699999999997,0.7642733333333329,0.8242900000000001,0.0
