,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_CovidAnalytics_DELPHI,0.8322266666666667,0.9959533333333339,1.5507966666666646,0.5806733333333333,0.6318633333333332,0.6486066666666667,0.57042,0.7613933333333337,0.6547400000000002,0.4632499999999999,0.0,0.8252133333333334,0.7058966666666662,0.8456233333333332,0.5253566666666668,0.44446999999999987,0.5176533333333331,1.2458200000000001,0.9836033333333337,0.7085760000000003,1.0290999999999997,1.126613333333333,1.0332000000000006,0.2836433333333334,0.8947033333333335,0.7282933333333336,0.08070000000000001,1.2801639999999994,0.10464999999999999,0.6226866666666668,1.0375200000000004,0.383826666666667,0.3528900000000001
FH_DDS_NBDS,0.7005333333333338,0.9318399999999999,1.5287066666666667,0.8239000000000003,0.7730000000000004,0.779266666666667,0.8195666666666669,0.8153400000000001,0.8049266666666669,0.8055266666666667,0.8252133333333334,0.0,0.6856466666666666,0.7330866666666666,0.6909800000000003,1.3080733333333332,0.7645466666666668,0.8792666666666665,0.8777399999999999,0.7383099999999998,0.8296933333333331,0.6697133333333336,0.6854933333333334,0.7800533333333334,0.7193533333333338,0.7577533333333335,0.8437266666666664,1.1683466666666666,0.8831266666666664,0.7297333333333333,0.8332466666666669,0.6852066666666666,0.8037266666666664
FH_Google_Harvard_CPF,0.5532166666666667,0.9774399999999999,1.553943333333334,0.7793600000000004,0.7346166666666663,0.7413533333333331,0.7081900000000001,0.7598199999999999,0.7330133333333334,0.6926899999999999,0.7058966666666662,0.6856466666666666,0.0,0.8109766666666669,0.6998733333333332,1.0314433333333333,0.7514100000000002,0.9346666666666666,0.6935533333333327,0.8344560000000001,0.5645266666666666,0.8290966666666661,0.8032166666666676,0.68731,0.7636933333333324,0.48390666666666665,0.7077866666666666,1.205568,0.7960399999999996,0.596726666666667,0.7435699999999995,0.6341499999999998,0.7573666666666666
FH_IEM_MED_CovidProject,0.5967566666666665,0.8896033333333334,1.3040566666666658,0.5042133333333337,0.6486000000000004,0.6032433333333336,0.6567966666666668,0.7010733333333331,0.6373799999999997,0.7454833333333334,0.8456233333333332,0.7330866666666666,0.8109766666666669,0.0,0.9031066666666662,0.985236666666667,0.5233400000000002,0.7215733333333332,0.7296999999999996,0.5275839999999997,0.6926066666666668,0.7307000000000006,0.5574200000000001,0.6464366666666667,0.5467533333333329,0.6802366666666665,0.8093166666666664,0.90612,0.8504066666666662,0.9892399999999998,0.8853566666666668,0.6493933333333335,0.64095
FH_IUPUI_HkPrMobiDyR,0.7959333333333326,0.9626933333333331,1.6182666666666663,0.8739899999999996,0.7638166666666664,0.7621133333333334,0.8031900000000007,0.8307900000000005,0.8307800000000007,0.7663700000000002,0.5253566666666668,0.6909800000000003,0.6998733333333332,0.9031066666666662,0.0,0.8529700000000001,0.823633333333333,1.0088533333333323,0.80134,0.6822240000000002,0.8650933333333334,0.8669033333333335,0.9399466666666664,0.5877166666666666,0.7461566666666664,0.663696666666667,0.593173333333333,1.2807399999999998,0.5905066666666668,0.6303799999999998,0.8124266666666662,0.5627433333333335,0.7200266666666667
FH_IowaStateLW_STEM,1.1482766666666666,0.8436033333333329,0.8711500000000001,0.6995000000000001,0.875666666666666,0.92292,0.7760600000000003,0.8950833333333332,0.8462733333333337,0.7573499999999992,0.44446999999999987,1.3080733333333332,1.0314433333333333,0.985236666666667,0.8529700000000001,0.0,0.7988933333333332,1.1762466666666664,1.024683333333334,0.8732799999999998,1.23712,1.2236766666666665,1.1029499999999994,0.5165399999999998,1.085709999999999,1.1045866666666666,0.4528733333333333,0.89666,0.39232666666666705,1.1080999999999994,1.1830633333333325,0.7322633333333329,0.6618599999999989
FH_JHUAPL_Bucky,0.6117966666666664,0.9669700000000002,1.466889999999999,0.49137999999999976,0.61758,0.6139066666666672,0.5908299999999993,0.6642266666666665,0.6238433333333332,0.5340166666666666,0.5176533333333331,0.7645466666666668,0.7514100000000002,0.5233400000000002,0.823633333333333,0.7988933333333332,0.0,0.8804366666666665,0.8055466666666665,0.5792600000000002,0.6990333333333331,0.8364833333333328,0.6987300000000001,0.4793399999999999,0.6355666666666668,0.6613799999999997,0.4964766666666669,1.0534240000000001,0.5866199999999998,0.8375266666666664,0.9003666666666665,0.47963000000000033,0.5456966666666662
FH_JHU_CSSE_DECOM,0.7793900000000001,0.8540766666666669,1.1478166666666663,0.8654000000000002,0.8605266666666666,0.869973333333333,0.8831133333333331,0.7915199999999989,0.8348199999999992,1.0382966666666664,1.2458200000000001,0.8792666666666665,0.9346666666666666,0.7215733333333332,1.0088533333333323,1.1762466666666664,0.8804366666666665,0.0,0.6743666666666666,0.8952239999999997,0.6881033333333334,0.6211233333333338,0.6682533333333334,1.0330199999999996,0.743643333333333,0.8090433333333334,1.2218366666666667,0.9138280000000001,1.2518466666666666,0.9095066666666668,0.6481433333333335,0.9671333333333338,1.0672700000000002
FH_JHU_IDD_CovidSP,0.5737366666666665,0.8067633333333333,1.2717399999999996,0.8230033333333332,0.7939599999999994,0.7324333333333336,0.8630966666666658,0.7846600000000001,0.8144833333333331,0.8706933333333338,0.9836033333333337,0.8777399999999999,0.6935533333333327,0.7296999999999996,0.80134,1.024683333333334,0.8055466666666665,0.6743666666666666,0.0,0.7931840000000009,0.6087233333333328,0.611746666666667,0.6245833333333335,0.8324599999999999,0.6275700000000001,0.5078233333333334,0.980076666666666,0.9500920000000007,1.0346033333333333,0.9329466666666665,0.6430066666666666,0.8166133333333333,0.9477900000000004
FH_JHU_UNC_GAS_StatMechPool,0.6608360000000001,0.9239719999999989,1.331559999999999,0.5709720000000003,0.7400800000000002,0.691152,0.7137640000000002,0.773292,0.7197600000000002,0.7581519999999998,0.7085760000000003,0.7383099999999998,0.8344560000000001,0.5275839999999997,0.6822240000000002,0.8732799999999998,0.5792600000000002,0.8952239999999997,0.7931840000000009,0.0,0.9297040000000001,0.8630639999999997,0.7710000000000004,0.5159040000000003,0.6102560000000001,0.7556599999999993,0.6759279999999995,0.9429750000000006,0.7132,0.9242300000000003,0.9496559999999997,0.5527959999999998,0.6667839999999999
