,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_CovidAnalytics_DELPHI,0.9396700000000001,0.8820733333333326,1.2739833333333341,0.534846666666667,1.1555999999999995,1.1974049999999994,0.6843700000000001,1.1865699999999988,1.2077933333333335,0.7085666666666666,0.0,1.2125466666666662,0.56582,0.43579333333333325,0.9560566666666669,0.7354333333333339,1.0247666666666662,0.7584500000000004,1.0424,0.8964199999999998,0.2800833333333333,0.8116999999999999,0.5215000000000001,0.2911100000000001,0.5570650000000001,0.3029966666666668,0.8699399999999998,0.8423699999999992,0.6688650000000004,0.8661999999999999,0.5950166666666671,1.0106333333333333
FH_DDS_NBDS,0.45421000000000006,0.9822133333333324,1.5395166666666669,1.0762099999999999,0.3203299999999999,0.2285049999999998,0.7812650000000002,0.26988500000000004,0.25868666666666673,0.9718199999999998,1.2125466666666662,0.0,0.9039500000000001,1.1808466666666682,0.5299333333333333,0.8301999999999996,0.23198000000000013,0.8651599999999993,0.26998,0.6110766666666665,1.2751833333333347,0.6034533333333331,0.9479800000000002,1.2327066666666664,1.1259199999999998,1.258990000000001,0.33392000000000005,0.7740033333333332,0.8617400000000005,0.6891399999999999,0.9091499999999998,0.5350366666666665
FH_Google_Harvard_CPF,0.7652800000000002,0.7438899999999999,1.3169499999999998,0.5828599999999997,0.8712600000000005,0.8322700000000002,0.7950399999999999,0.8553500000000007,0.8553500000000007,0.6949400000000001,0.56582,0.9039500000000001,0.0,0.6397700000000003,0.8274499999999996,0.6891099999999998,0.68184,0.7889000000000002,0.7137799999999999,0.7325599999999999,0.6954500000000001,0.7800400000000002,,0.6786100000000002,0.6834000000000002,0.6789699999999997,0.5532999999999998,0.6941999999999999,0.7398799999999998,,0.7412900000000002,0.8441900000000004
FH_IowaStateLW_STEM,0.9996699999999996,0.8211166666666667,1.1625233333333334,0.5638666666666665,1.1613049999999996,1.190675,0.7607900000000005,1.1703400000000002,1.1687233333333338,0.728903333333333,0.43579333333333325,1.1808466666666682,0.6397700000000003,0.0,0.9972466666666662,0.6605733333333336,1.0028799999999993,0.8516599999999999,1.08606,0.9631833333333333,0.3991400000000001,0.8856999999999996,0.5071799999999999,0.41344000000000025,0.6536199999999994,0.4062300000000001,0.9565799999999999,0.8246366666666667,0.7447699999999999,0.8574466666666668,0.7062099999999997,1.0331166666666676
FH_JCB_PRM,0.45744000000000007,0.8526366666666664,1.370723333333333,0.7984966666666669,0.4403450000000001,0.4053350000000002,0.782905,0.40379000000000026,0.5284833333333337,0.7398199999999998,0.9560566666666669,0.5299333333333333,0.8274499999999996,0.9972466666666662,0.0,0.790943333333333,0.37344666666666676,0.7432233333333326,0.22705999999999998,0.5232733333333333,1.042333333333333,0.5843099999999998,0.80048,0.9782866666666664,0.9892949999999996,1.0348899999999999,0.25712,0.8213466666666668,0.6663600000000005,0.8622133333333338,0.6788433333333334,0.4883200000000004
FH_JHUAPL_Bucky,0.66856,0.8398766666666666,1.2486366666666662,0.6123400000000001,0.8519900000000002,0.8434050000000005,0.8808399999999997,0.8067599999999993,0.8072899999999996,0.7735066666666661,0.7354333333333339,0.8301999999999996,0.6891099999999998,0.6605733333333336,0.790943333333333,0.0,0.5863933333333338,0.9249133333333329,0.53934,0.7474366666666675,0.7863766666666666,0.7263466666666668,0.8459399999999998,0.7524800000000001,0.85347,0.77015,0.5836800000000001,0.7809133333333329,0.7441149999999996,0.7184733333333339,0.8194866666666665,0.847949999999999
FH_JHU_CSSE_DECOM,0.4024400000000001,0.8947533333333336,1.4328733333333332,0.7533600000000004,0.3392733333333332,0.2430866666666666,0.76784,0.2817000000000001,0.2817000000000001,0.8115733333333333,1.0247666666666662,0.23198000000000013,0.68184,1.0028799999999993,0.37344666666666676,0.5863933333333338,0.0,0.6593533333333333,0.23020000000000004,0.4164866666666668,1.1464866666666664,0.3481400000000002,0.9137999999999998,1.0607800000000005,1.0327866666666665,1.1779200000000003,0.3586000000000001,0.6342333333333332,0.8514200000000001,0.5809200000000001,0.7936400000000001,0.31200666666666693
FH_JHU_IDD_CovidSP,0.8110799999999998,0.9040100000000001,1.2910766666666667,0.6574700000000003,0.7160799999999996,0.7615850000000003,0.6655449999999996,0.7655400000000003,0.847153333333333,0.7307733333333326,0.7584500000000004,0.8651599999999993,0.7889000000000002,0.8516599999999999,0.7432233333333326,0.9249133333333329,0.6593533333333333,0.0,0.6821199999999997,0.7824166666666664,0.7127433333333338,0.6669166666666666,0.8322799999999999,0.7057033333333332,0.8180250000000003,0.6810533333333334,0.7682199999999999,0.8644100000000001,0.6935950000000003,0.8536599999999999,0.6069633333333333,0.735623333333333
FH_JHU_UNC_GAS_StatMechPool,0.4618200000000001,1.0425799999999998,1.3252999999999997,0.5856999999999999,0.3692599999999999,0.25878,1.0543799999999999,0.23931999999999992,0.23931999999999992,0.36168,1.0424,0.26998,0.7137799999999999,1.08606,0.22705999999999998,0.53934,0.23020000000000004,0.6821199999999997,0.0,0.21211999999999998,1.3963999999999996,0.2167199999999999,,1.2941,1.10126,1.3625800000000001,0.2588999999999999,0.6990199999999999,0.92432,,0.9199400000000003,0.2878
FH_Karlen_pypm,0.5136099999999999,0.9118099999999998,1.27603333333333,0.7630299999999997,0.5585350000000004,0.4836150000000004,0.8903050000000003,0.5052550000000006,0.6313199999999997,0.8108833333333334,0.8964199999999998,0.6110766666666665,0.7325599999999999,0.9631833333333333,0.5232733333333333,0.7474366666666675,0.4164866666666668,0.7824166666666664,0.21211999999999998,0.0,1.0316800000000002,0.6636899999999991,0.8946,0.9733500000000002,1.0310549999999996,1.0071366666666668,0.31605999999999995,0.8206166666666668,0.7986,0.8099866666666669,0.8119266666666669,0.6510299999999997
