,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_MIT_Cassandra,0.6048000000000002,0.6041166666666663,0.8349166666666666,1.060503333333333,0.5198566666666666,0.6797000000000003,0.6262433333333333,0.6237866666666663,0.634113333333333,0.6739700000000003,0.6516433333333334,0.5247079999999998,0.5158,0.8495399999999995,0.6144866666666666,0.5831299999999999,0.6886033333333333,0.6116266666666667,0.6595333333333329,0.6541160000000001,0.6155200000000001,0.7919899999999994,0.24599999999999997,0.0,0.4965120000000001,0.5145600000000001,0.6920300000000004,0.7965399999999999,0.4942633333333335,0.6019699999999999,0.8972880000000001,0.9756733333333337,0.48604000000000014,0.6514000000000001
FH_MIT_ISOLAT_Mixtures,0.36245599999999983,0.49745999999999985,0.6069320000000007,0.7096440000000004,0.30529599999999996,0.3888199999999999,0.44982399999999995,0.5197679999999998,0.3919880000000001,0.456384,0.44441600000000003,0.3524000000000001,0.309632,0.7564650000000002,0.40313200000000027,0.394668,0.48090800000000006,0.42540000000000006,0.4247639999999999,0.4878650000000001,0.4823959999999999,0.628452,0.28134,0.4965120000000001,0.0,0.3528800000000001,0.5081359999999998,0.87418,0.238196,0.31091199999999986,0.7194850000000003,0.8503719999999994,0.37068000000000006,0.418388
FH_MOBS_GLEAM_COVID,0.35371666666666685,0.41898000000000013,0.8452899999999999,1.1821433333333324,0.19127666666666673,0.362875,0.5286266666666667,0.6061866666666667,0.4484366666666666,0.6082666666666663,0.6010066666666664,0.17015200000000005,0.2212033333333333,0.9299879999999997,0.40892666666666694,0.28085000000000004,0.4619966666666666,0.31473666666666683,0.42475333333333337,0.38176,0.4471066666666666,0.807233333333333,0.08815999999999999,0.5145600000000001,0.3528800000000001,0.0,0.5066433333333337,0.920323333333333,0.2242633333333333,0.28369000000000016,0.9367240000000006,1.1294833333333327,0.2991266666666667,0.36937333333333344
FH_MUNI_ARIMA,0.41862000000000016,0.6074400000000001,0.7056566666666666,0.8920400000000003,0.41535333333333296,0.43667999999999985,0.5172066666666663,0.5599733333333332,0.4688833333333334,0.5067733333333332,0.5013966666666667,0.553188,0.5431000000000004,0.9254240000000007,0.4309300000000001,0.5709966666666665,0.5459766666666667,0.5365800000000004,0.5593266666666669,0.5210640000000001,0.4916033333333334,0.6298766666666665,0.33283999999999997,0.6920300000000004,0.5081359999999998,0.5066433333333337,0.0,0.9706466666666665,0.5236133333333338,0.6324933333333334,1.0010919999999992,1.061076666666667,0.592243333333333,0.4912233333333331
FH_Microsoft_DeepSTIA,0.8870799999999993,0.901496666666667,1.0358900000000004,1.4502266666666663,0.9417166666666661,0.9414999999999992,0.88809,0.7704900000000007,0.9465966666666668,0.9448966666666672,0.9394666666666668,1.042416,1.0318499999999986,0.6721360000000002,1.009323333333333,0.8641866666666673,0.9048799999999998,0.9170433333333331,0.9257466666666666,0.8245360000000004,0.8123299999999999,0.8237899999999997,0.8235399999999999,0.7965399999999999,0.87418,0.920323333333333,0.9706466666666665,0.0,1.0632500000000003,1.1111466666666667,0.6677279999999997,0.7994899999999996,0.8999433333333328,0.9121133333333338
FH_RobertWalraven_ESG,0.3580766666666667,0.4677333333333334,0.754706666666666,1.0109399999999993,0.2249066666666667,0.37766500000000014,0.5683266666666669,0.6726266666666665,0.4669766666666668,0.6033300000000003,0.5886366666666669,0.16770800000000008,0.1335133333333334,0.929224000000001,0.40494333333333343,0.3073433333333332,0.5225000000000002,0.39402666666666664,0.39865666666666666,0.48977200000000004,0.5591266666666667,0.80837,0.060599999999999966,0.4942633333333335,0.238196,0.2242633333333333,0.5236133333333338,1.0632500000000003,0.0,0.21629000000000004,0.90412,1.1323266666666667,0.2712433333333334,0.4615633333333333
FH_TTU_squider,0.54368,0.5541133333333331,0.8977266666666665,1.1419766666666669,0.33306,0.5676400000000001,0.7595933333333329,0.8665633333333329,0.6514733333333331,0.82893,0.8078733333333331,0.25259200000000004,0.26418000000000014,1.0311760000000008,0.5597866666666664,0.43938000000000016,0.6941166666666664,0.45502,0.46637,0.5694039999999997,0.6863666666666671,1.0240700000000005,0.16505999999999996,0.6019699999999999,0.31091199999999986,0.28369000000000016,0.6324933333333334,1.1111466666666667,0.21629000000000004,0.0,0.9712600000000001,1.1568399999999996,0.3188333333333333,0.5581799999999998
FH_UCLA_SuEIR,0.9620800000000003,0.9571840000000008,0.89154,1.2122759999999992,0.9501360000000002,1.0058199999999993,0.952348,0.9053520000000004,0.9744080000000005,0.9578840000000003,0.9555840000000001,1.000695,0.9356400000000004,0.5407900000000001,0.99862,0.9510199999999998,0.9969199999999996,0.9383800000000001,0.9979719999999996,0.9162050000000004,0.9603960000000007,0.9304119999999996,0.9901600000000004,0.8972880000000001,0.7194850000000003,0.9367240000000006,1.0010919999999992,0.6677279999999997,0.90412,0.9712600000000001,0.0,0.883348,0.9062880000000003,0.9394279999999994
FH_UMich_RidgeTfReg,1.0816500000000004,1.0811833333333332,0.9270366666666671,0.9291466666666666,1.09753,1.0625699999999996,0.9695900000000004,0.9336233333333337,0.9933466666666659,0.9394833333333332,0.9431666666666658,1.1869599999999998,1.1131600000000001,0.8301560000000002,1.0792566666666668,1.1028266666666666,0.9526733333333325,1.0598099999999997,1.1280433333333328,1.061972,0.9967433333333334,0.8736299999999996,1.12994,0.9756733333333337,0.8503719999999994,1.1294833333333327,1.061076666666667,0.7994899999999996,1.1323266666666667,1.1568399999999996,0.883348,0.0,1.1507366666666674,1.0232266666666672
FH_UVA_Ensemble,0.45153,0.48298999999999986,0.9021166666666668,1.2529233333333334,0.3232433333333335,0.47736500000000004,0.5934500000000004,0.6626866666666668,0.5328999999999998,0.6790266666666669,0.6490433333333333,0.3097280000000002,0.2950733333333333,0.9467319999999997,0.5306900000000002,0.3998100000000001,0.6236666666666666,0.48012333333333296,0.45997666666666653,0.4756439999999999,0.58331,0.8887533333333334,0.13811999999999997,0.48604000000000014,0.37068000000000006,0.2991266666666667,0.592243333333333,0.8999433333333328,0.2712433333333334,0.3188333333333333,0.9062880000000003,1.1507366666666674,0.0,0.5038733333333331
USC_SI_kJalpha,0.3301933333333336,0.5324633333333334,0.7761733333333328,1.0704433333333323,0.35125333333333336,0.35910000000000025,0.45216333333333325,0.5006366666666667,0.40952666666666643,0.4737033333333332,0.4734466666666666,0.45645199999999997,0.47273666666666664,0.893976,0.3811633333333335,0.4436366666666669,0.3999000000000002,0.46063999999999994,0.4868833333333331,0.43805200000000005,0.3858633333333334,0.652983333333333,0.13249999999999998,0.6514000000000001,0.418388,0.36937333333333344,0.4912233333333331,0.9121133333333338,0.4615633333333333,0.5581799999999998,0.9394279999999994,1.0232266666666672,0.5038733333333331,0.0
