,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_CU_select,0.72418,0.6950719999999995,0.6622399999999999,1.5660600000000005,0.7131159999999999,0.72418,0.06336400000000003,0.04885599999999999,0.094636,0.04799200000000001,0.0,0.556368,0.8109359999999995,0.648956,0.6440119999999997,0.5555320000000001,0.8862749999999999,0.8889,0.6376239999999997,0.6328800000000001,0.533772,0.7358760000000001,0.6889799999999998,0.4038250000000001,0.5480239999999998,0.6501900000000002,0.6544399999999999,0.6799600000000001,0.8052600000000001,0.8049719999999999,0.9127399999999999,0.8188479999999999,0.7546560000000001,0.6402600000000005,0.6716679999999999,0.6239,0.8100080000000002,0.6201479999999997
FH_Covid19Sim_Simulator,0.75142,0.39724800000000005,0.6479920000000001,1.55462,0.32075600000000004,0.75142,0.5346919999999998,0.570664,0.5083680000000003,0.606528,0.556368,0.0,0.46565200000000007,0.5751559999999999,0.5446360000000001,0.31186400000000003,0.6154600000000003,0.9689600000000002,0.33436400000000016,0.7643560000000009,0.48320400000000036,0.4055600000000003,0.2940800000000002,0.5476899999999998,0.27459600000000045,0.19515000000000005,0.11086,0.4918640000000002,0.7425799999999999,0.40145199999999986,0.7998000000000005,0.4243360000000002,0.5141160000000001,0.67177,0.6553199999999999,0.49054400000000015,0.4377360000000002,0.5035320000000003
FH_CovidAnalytics_DELPHI,0.60784,0.4212840000000002,0.6458959999999997,1.5835999999999992,0.28596400000000005,0.60784,0.7909919999999997,0.8225279999999991,0.7219039999999995,0.8426439999999997,0.8109359999999995,0.46565200000000007,0.0,0.6832319999999988,0.566808,0.48292400000000024,0.41917499999999996,0.9383000000000001,0.3303080000000002,0.8141120000000004,0.6953559999999999,0.3952200000000002,0.2999249999999997,0.7986950000000003,0.41134000000000004,0.29959,0.15768000000000001,0.4544640000000001,0.6629440000000003,0.18397199999999983,0.7619800000000002,0.18639200000000009,0.3791400000000001,0.6791750000000002,0.629332,0.3545040000000001,0.27344,0.47193200000000035
FH_DDS_NBDS,0.81804,0.5063640000000003,0.6324879999999998,1.5930550000000006,0.5982199999999994,0.81804,0.6710039999999992,0.687192,0.6336440000000005,0.6687239999999999,0.648956,0.5751559999999999,0.6832319999999988,0.0,0.457656,0.4550600000000002,0.7755799999999995,0.24974000000000005,0.6254519999999997,0.7082439999999998,0.4276359999999998,0.5782520000000003,0.49175000000000024,0.5739649999999997,0.5185240000000004,0.33033000000000007,0.43984,0.5209680000000001,0.6843879999999999,0.7215079999999995,0.9429600000000002,0.669372,0.6897119999999993,0.5454650000000001,0.8127160000000001,0.5946999999999997,0.6550559999999997,0.578896
FH_Google_Harvard_CPF,0.60882,0.5931999999999997,0.594368,1.6288549999999997,0.521812,0.60882,0.6377599999999998,0.6441279999999996,0.6401200000000001,0.6502159999999999,0.6440119999999997,0.5446360000000001,0.566808,0.457656,0.0,0.45188399999999995,0.7388149999999998,0.6218800000000002,0.5256839999999999,0.593592,0.5068960000000001,0.5441040000000003,0.46892500000000015,0.545805,0.426076,0.45605999999999985,0.41861999999999994,0.5048279999999999,0.6328400000000003,0.5585079999999998,0.9461799999999999,0.5762719999999999,0.5866280000000003,0.692615,0.6245399999999999,0.5400199999999995,0.593072,0.5232240000000002
FH_IEM_MED_CovidProject,0.7391999999999999,0.3935966666666666,0.6744266666666663,1.5441299999999978,0.3327280000000003,0.7391999999999999,0.5553120000000002,0.5752280000000003,0.54876,0.6019920000000004,0.5555320000000001,0.31186400000000003,0.48292400000000024,0.4550600000000002,0.45188399999999995,0.0,0.7001149999999999,0.8434600000000002,0.3462800000000001,0.7908440000000002,0.44014000000000053,0.3363080000000004,0.19835599999999987,0.5671050000000001,0.22603600000000004,0.33065999999999995,0.05411999999999999,0.4544640000000002,0.8205633333333332,0.47130000000000016,0.7542800000000003,0.46837000000000034,0.5433600000000001,0.5685950000000001,0.6689480000000004,0.5064520000000002,0.4593333333333335,0.4638166666666666
FH_IowaStateLW_STEM,,0.5744449999999999,0.68098,1.3739466666666675,0.4245449999999999,,0.8492349999999997,0.8714049999999999,0.7934899999999999,0.8862749999999999,0.8862749999999999,0.6154600000000003,0.41917499999999996,0.7755799999999995,0.7388149999999998,0.7001149999999999,0.0,1.08402,0.46549500000000016,0.7904800000000001,0.8499199999999999,0.5942999999999999,0.5433066666666668,0.8201266666666667,0.5353749999999999,0.46303999999999995,,0.6270949999999998,0.6046950000000002,0.37155000000000027,,0.39936,0.51481,0.7931099999999993,0.6738149999999998,0.5036000000000004,0.39469999999999983,0.5783500000000001
FH_JCB_PRM,,0.5206,0.5900200000000002,1.55328,1.0001799999999998,,0.9889599999999998,0.9632200000000002,0.9834200000000003,0.8889,0.8889,0.9689600000000002,0.9383000000000001,0.24974000000000005,0.6218800000000002,0.8434600000000002,1.08402,0.0,1.06046,0.6989799999999997,0.4406000000000001,0.6653599999999998,0.74418,,1.0810199999999996,,,0.5473,0.48460000000000003,1.0905800000000003,,0.8825600000000001,0.96644,0.3032599999999999,0.88154,0.8534600000000002,0.9037599999999999,0.7245200000000002
FH_JHUAPL_Bucky,0.7362200000000001,0.38073600000000035,0.6399679999999996,1.5797900000000005,0.22447200000000014,0.7362200000000001,0.6021439999999997,0.6441679999999995,0.5600680000000007,0.6818439999999997,0.6376239999999997,0.33436400000000016,0.3303080000000002,0.6254519999999997,0.5256839999999999,0.3462800000000001,0.46549500000000016,1.06046,0.0,0.7733479999999998,0.575972,0.34268800000000027,0.264665,0.6395900000000002,0.28156800000000004,0.15943000000000004,0.05657999999999998,0.5090560000000003,0.7706080000000006,0.21381599999999998,0.7564800000000003,0.2503279999999999,0.39070800000000017,0.6607999999999996,0.6138559999999997,0.3976520000000003,0.24028400000000008,0.4529720000000001
FH_JHU_CSSE_DECOM,0.9170000000000001,0.7865719999999995,0.6900880000000003,1.4604899999999994,0.7915999999999994,0.9170000000000001,0.6283880000000002,0.6101599999999997,0.6557399999999998,0.6006560000000001,0.6328800000000001,0.7643560000000009,0.8141120000000004,0.7082439999999998,0.593592,0.7908440000000002,0.7904800000000001,0.6989799999999997,0.7733479999999998,0.0,0.6666839999999998,0.8621040000000008,0.8377950000000003,0.5532300000000003,0.7358919999999995,0.88836,1.0167999999999997,0.6870120000000004,0.6432519999999999,0.8621639999999992,1.01106,0.8314640000000003,0.813844,0.7770400000000001,0.660764,0.6730360000000002,0.846224,0.7182200000000004
FH_JHU_IDD_CovidSP,0.5719999999999998,0.5266720000000005,0.6589319999999996,1.5497999999999998,0.5983999999999999,0.5719999999999998,0.5636039999999995,0.5726800000000002,0.5373759999999997,0.576948,0.533772,0.48320400000000036,0.6953559999999999,0.4276359999999998,0.5068960000000001,0.44014000000000053,0.8499199999999999,0.4406000000000001,0.575972,0.6666839999999998,0.0,0.5746039999999989,0.48063500000000015,0.5453650000000001,0.5093880000000001,0.36383000000000004,0.18790000000000007,0.512192,0.7139959999999999,0.7288759999999991,0.8685199999999998,0.6516839999999998,0.7179719999999994,0.5708199999999999,0.7214919999999999,0.6005400000000005,0.6470919999999996,0.539828
FH_JHU_UNC_GAS_StatMechPool,0.7439799999999999,0.35454800000000036,0.6535920000000004,1.5081799999999987,0.29233200000000026,0.7439799999999999,0.7141159999999993,0.7511359999999999,0.6748160000000003,0.7831240000000003,0.7358760000000001,0.4055600000000003,0.3952200000000002,0.5782520000000003,0.5441040000000003,0.3363080000000004,0.5942999999999999,0.6653599999999998,0.34268800000000027,0.8621040000000008,0.5746039999999989,0.0,0.186695,0.6855800000000001,0.38066800000000006,0.24651000000000015,0.05939999999999999,0.44562400000000024,0.8477439999999997,0.34447200000000033,0.7482199999999999,0.3392760000000003,0.5000920000000001,0.4497950000000002,0.6530799999999998,0.5069400000000004,0.34384800000000026,0.5185160000000003
FH_Karlen_pypm,0.7308599999999998,0.33206000000000013,0.6371879999999996,1.5397333333333336,0.18060500000000013,0.7308599999999998,0.6813899999999998,0.7099750000000001,0.6169150000000001,0.7482849999999998,0.6889799999999998,0.2940800000000002,0.2999249999999997,0.49175000000000024,0.46892500000000015,0.19835599999999987,0.5433066666666668,0.74418,0.264665,0.8377950000000003,0.48063500000000015,0.186695,0.0,0.6614200000000002,0.24685,0.3106533333333334,0.049919999999999985,0.4204349999999999,0.7605519999999999,0.2878039999999998,0.7562800000000003,0.26611200000000024,0.4181050000000004,0.5090733333333333,0.64631,0.4454450000000001,0.31054,0.44572800000000024
FH_LANL_GrowthRate,0.7280000000000001,0.678575,0.62655,1.5748133333333327,0.68163,0.7280000000000001,0.3862299999999999,0.3575700000000001,0.4745550000000002,0.3794299999999998,0.4038250000000001,0.5476899999999998,0.7986950000000003,0.5739649999999997,0.545805,0.5671050000000001,0.8201266666666667,,0.6395900000000002,0.5532300000000003,0.5453650000000001,0.6855800000000001,0.6614200000000002,0.0,0.45348,0.5325099999999999,0.57426,0.6561999999999999,0.6931449999999997,0.798295,0.9210199999999997,0.8313099999999993,0.8016350000000001,0.6994266666666665,0.6578749999999998,0.6706550000000003,0.7815649999999996,0.6796599999999998
FH_LNQ_ens1,0.69292,0.3947920000000005,0.647512,1.5865850000000006,0.24330800000000005,0.69292,0.521908,0.5459,0.5048400000000004,0.5862039999999998,0.5480239999999998,0.27459600000000045,0.41134000000000004,0.5185240000000004,0.426076,0.22603600000000004,0.5353749999999999,1.0810199999999996,0.28156800000000004,0.7358919999999995,0.5093880000000001,0.38066800000000006,0.24685,0.45348,0.0,0.15799000000000002,0.09633999999999998,0.4935560000000003,0.749224,0.31707599999999997,0.7897200000000001,0.37877200000000033,0.4698360000000001,0.7021649999999994,0.6165159999999997,0.441984,0.36906000000000017,0.45037200000000016
FH_MIT_ISOLAT_Mixtures,0.7293,0.32093999999999995,0.5948066666666667,1.5567200000000005,0.13195,0.7293,0.6291500000000001,0.6774700000000005,0.58645,0.7090200000000002,0.6501900000000002,0.19515000000000005,0.29959,0.33033000000000007,0.45605999999999985,0.33065999999999995,0.46303999999999995,,0.15943000000000004,0.88836,0.36383000000000004,0.24651000000000015,0.3106533333333334,0.5325099999999999,0.15799000000000002,0.0,0.15322000000000002,0.5413899999999998,0.7308600000000001,0.27125333333333324,0.7982000000000004,0.27906000000000014,0.3274300000000001,0.6514399999999999,0.8254699999999998,0.39222,0.2856333333333334,0.43326000000000015
FH_MOBS_GLEAM_COVID,0.6858000000000001,0.07973999999999994,0.6371600000000001,1.5732400000000006,0.06105999999999998,0.6858000000000001,0.7121600000000001,0.76724,0.6544399999999999,0.8726799999999997,0.6544399999999999,0.11086,0.15768000000000001,0.43984,0.41861999999999994,0.05411999999999999,,,0.05657999999999998,1.0167999999999997,0.18790000000000007,0.05939999999999999,0.049919999999999985,0.57426,0.09633999999999998,0.15322000000000002,0.0,0.5162,0.90054,0.05535999999999998,0.7535399999999999,0.0021200000000000004,0.32366,,0.6184200000000002,0.2566,0.054179999999999964,0.3674200000000002
