,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IQVIA_ACOE_STAN,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_JHU_UNC_GAS_StatMechPool,0.49453333333333366,0.6606450000000003,1.527889999999998,0.3501066666666668,0.659216666666666,0.6440433333333335,0.6491300000000002,0.6304066666666667,0.6727033333333334,0.4513199999999998,0.4919300000000003,0.6809233333333338,0.5054166666666666,0.33445,0.6937000000000002,0.7398966666666663,0.3022600000000001,0.4597466666666667,0.7066766666666663,0.4924533333333337,0.0,0.22175199999999992,0.6663200000000001,0.4697366666666669,0.5305599999999999,0.3910933333333336,0.7665299999999997,0.5424300000000003,0.45053999999999994,0.5726766666666668,0.3801400000000002,0.5429399999999999,0.5426666666666669,0.4342400000000002,0.4855466666666665
FH_Karlen_pypm,0.4839640000000004,0.7136400000000003,1.543067999999998,0.25492800000000004,0.511292,0.496272,0.4946680000000002,0.4945840000000001,0.5171240000000003,0.3789440000000001,0.40948000000000034,0.6497719999999995,0.49506800000000034,0.18714400000000006,0.7577000000000002,0.70574,0.42132499999999984,0.37408000000000013,0.71258,0.48286399999999996,0.22175199999999992,0.0,0.59143,0.333736,0.4769400000000001,0.386616,0.6998519999999995,0.45353999999999994,0.3889400000000002,0.5559000000000001,0.47849000000000025,0.5784,0.5077320000000001,0.34934400000000004,0.42244400000000043
FH_LANL_GrowthRate,0.6187800000000001,0.659753333333333,1.5610479999999995,0.5584,0.43275199999999997,0.4182519999999998,0.4285680000000003,0.3950040000000003,0.39250000000000007,0.4949999999999997,0.6998439999999998,0.5572039999999996,0.5906479999999997,0.5224639999999998,0.5262600000000002,0.8079039999999998,0.5843266666666669,0.6317560000000001,0.5266599999999996,0.4858920000000004,0.6663200000000001,0.59143,0.0,0.4279840000000002,0.6310999999999999,0.6459359999999998,0.6700119999999996,0.697136,0.7661719999999996,0.7709800000000002,0.7031049999999999,0.6555466666666668,0.6345199999999999,0.6583040000000001,0.6180199999999998
FH_LNQ_ens1,0.5070766666666665,0.6726850000000004,1.583939999999999,0.3022733333333334,0.373326666666667,0.3851100000000001,0.3658633333333335,0.41427000000000047,0.3699833333333338,0.3719833333333335,0.43335000000000007,0.5706566666666663,0.561346666666667,0.32320000000000015,0.8177800000000001,0.6325500000000008,0.6762749999999998,0.39850666666666673,0.6062966666666666,0.5853799999999998,0.4697366666666669,0.333736,0.4279840000000002,0.0,0.5085799999999999,0.45449333333333347,0.6576866666666674,0.4353266666666669,0.4756766666666666,0.5589733333333338,0.6716920000000004,0.5833949999999999,0.49304333333333356,0.44240000000000007,0.5011233333333331
FH_MSRA_DeepST,0.7259800000000002,0.6820399999999998,1.71498,0.6134199999999999,0.46738,0.4349,0.5246999999999999,0.4469800000000001,0.5246999999999999,0.66462,0.6473399999999998,0.52422,0.5624199999999999,0.49692000000000003,,0.6969,0.42919999999999997,0.6763600000000001,0.5167799999999998,0.4136999999999999,0.5305599999999999,0.4769400000000001,0.6310999999999999,0.5085799999999999,0.0,0.09329999999999998,0.3901199999999999,0.6637800000000001,0.5930600000000001,0.6405600000000001,0.40673999999999993,,0.52484,0.5174199999999999,0.414
FH_Microsoft_DeepSTIA,0.5066700000000003,0.6702250000000002,1.69034,0.4406533333333336,0.6020733333333332,0.6091866666666671,0.6183933333333336,0.633533333333333,0.614443333333333,0.4983366666666667,0.49996333333333337,0.4874000000000003,0.5334266666666665,0.4228933333333334,0.7150599999999998,0.6514566666666662,0.443635,0.5136433333333336,0.6535766666666667,0.5082233333333331,0.3910933333333336,0.386616,0.6459359999999998,0.45449333333333347,0.09329999999999998,0.0,0.534743333333333,0.5608166666666666,0.4860266666666663,0.5627433333333332,0.38195599999999974,0.52152,0.46715333333333336,0.5156300000000004,0.4987866666666668
FH_OneQuietNight_ML,0.6801633333333337,0.64859,1.6134033333333326,0.6347466666666667,0.6785233333333334,0.6657299999999998,0.7070533333333341,0.6942400000000002,0.6803266666666669,0.7463533333333331,0.6434166666666661,0.51203,0.7611499999999993,0.7684433333333337,0.7171,0.6648766666666661,0.6246049999999999,0.7734366666666663,0.62563,0.7373866666666672,0.7665299999999997,0.6998519999999995,0.6700119999999996,0.6576866666666674,0.3901199999999999,0.534743333333333,0.0,0.7159533333333333,0.6789333333333332,0.5958400000000003,0.6311039999999997,0.7193150000000006,0.6301533333333333,0.7184233333333335,0.5489433333333329
FH_RobertWalraven_ESG,0.49172333333333323,0.6275350000000005,1.562836666666665,0.3310166666666664,0.6154466666666667,0.6498766666666668,0.5523866666666667,0.6889299999999996,0.6098999999999998,0.5207333333333334,0.2273333333333334,0.7524666666666665,0.6776200000000003,0.5924633333333331,0.8869800000000002,0.46272,0.8409099999999994,0.3634133333333332,0.7401066666666667,0.8509600000000006,0.5424300000000003,0.45353999999999994,0.697136,0.4353266666666669,0.6637800000000001,0.5608166666666666,0.7159533333333333,0.0,0.29097666666666716,0.45262,0.8469199999999993,0.5932250000000001,0.38183666666666677,0.3163333333333336,0.5977700000000007
FH_TTU_squider,0.4930533333333331,0.6943050000000005,1.5617499999999958,0.34795333333333317,0.6333233333333329,0.6649633333333336,0.5972433333333336,0.7177233333333334,0.6457666666666665,0.5212166666666668,0.2454533333333334,0.739643333333333,0.6462166666666667,0.5600533333333336,0.8593999999999999,0.5538366666666666,0.682545,0.3711366666666668,0.71254,0.7269366666666668,0.45053999999999994,0.3889400000000002,0.7661719999999996,0.4756766666666666,0.5930600000000001,0.4860266666666663,0.6789333333333332,0.29097666666666716,0.0,0.44771000000000016,0.6916719999999997,0.601285,0.40896666666666665,0.3148200000000003,0.5312900000000004
FH_UCLA_SuEIR,0.6264233333333334,0.6475600000000002,1.5700233333333304,0.48736333333333354,0.68393,0.6971133333333331,0.6498700000000002,0.7031833333333335,0.6846266666666666,0.6435733333333334,0.4139033333333339,0.6937966666666662,0.6868733333333336,0.65713,0.6936400000000001,0.6233200000000004,0.7214999999999995,0.5216500000000005,0.6981733333333336,0.7611766666666671,0.5726766666666668,0.5559000000000001,0.7709800000000002,0.5589733333333338,0.6405600000000001,0.5627433333333332,0.5958400000000003,0.45262,0.44771000000000016,0.0,0.72134,0.6420700000000007,0.4817633333333333,0.5470666666666669,0.5701133333333334
FH_UCSB_ACTS,0.5893680000000002,0.7088600000000003,1.5591839999999966,0.627264,0.7057159999999992,0.6844080000000002,0.7097959999999996,0.647048,0.7077840000000001,0.672908,0.7572599999999998,0.5702079999999998,0.6144279999999998,0.5063639999999998,,0.882591999999999,0.19286666666666671,0.689064,0.709336,0.45688800000000007,0.3801400000000002,0.47849000000000025,0.7031049999999999,0.6716920000000004,0.40673999999999993,0.38195599999999974,0.6311039999999997,0.8469199999999993,0.6916719999999997,0.72134,0.0,0.5533000000000002,0.6800079999999997,0.6707,0.5652399999999995
FH_UMich_RidgeTfReg,0.6734350000000002,0.6220666666666668,1.5594300000000008,0.5624050000000003,0.7157100000000003,0.7140350000000002,0.6999699999999999,0.7130699999999996,0.7313499999999995,0.6073250000000001,0.6327899999999996,0.7963799999999998,0.5812550000000002,0.61829,,0.6828600000000001,0.6563300000000001,0.5371300000000002,0.6957000000000002,0.6493299999999997,0.5429399999999999,0.5784,0.6555466666666668,0.5833949999999999,,0.52152,0.7193150000000006,0.5932250000000001,0.601285,0.6420700000000007,0.5533000000000002,0.0,0.5701349999999998,0.6629700000000001,0.6682450000000004
FH_UVA_Ensemble,0.5316266666666666,0.59317,1.711103333333333,0.43278333333333335,0.55694,0.575483333333333,0.5511633333333333,0.603213333333334,0.5638866666666672,0.5495366666666662,0.39148333333333374,0.6512499999999999,0.5918766666666668,0.5344000000000003,0.6648000000000001,0.5516700000000001,0.653445,0.4280733333333336,0.5903999999999999,0.6551166666666662,0.5426666666666669,0.5077320000000001,0.6345199999999999,0.49304333333333356,0.52484,0.46715333333333336,0.6301533333333333,0.38183666666666677,0.40896666666666665,0.4817633333333333,0.6800079999999997,0.5701349999999998,0.0,0.4650666666666668,0.5461000000000001
USC_SI_kJalpha,0.47258333333333336,0.694465,1.5342566666666648,0.30217666666666676,0.5780699999999998,0.6009133333333331,0.5467433333333335,0.6142999999999997,0.5930366666666665,0.4922799999999999,0.31356333333333347,0.7036399999999999,0.6782166666666665,0.484256666666667,0.8002400000000001,0.5580766666666667,0.62575,0.38351999999999997,0.7171600000000002,0.7051600000000001,0.4342400000000002,0.34934400000000004,0.6583040000000001,0.44240000000000007,0.5174199999999999,0.5156300000000004,0.7184233333333335,0.3163333333333336,0.3148200000000003,0.5470666666666669,0.6707,0.6629700000000001,0.4650666666666668,0.0,0.49997000000000014
ensemble_SIkJa_RF,0.5292566666666664,0.658865,1.5943300000000011,0.45867000000000036,0.5731933333333336,0.54618,0.5582799999999996,0.5077000000000002,0.5581933333333333,0.5511633333333338,0.5289733333333334,0.6652166666666665,0.540503333333333,0.453836666666667,0.45909999999999995,0.704726666666667,0.4232099999999999,0.59594,0.6273233333333329,0.4807333333333336,0.4855466666666665,0.42244400000000043,0.6180199999999998,0.5011233333333331,0.414,0.4987866666666668,0.5489433333333329,0.5977700000000007,0.5312900000000004,0.5701133333333334,0.5652399999999995,0.6682450000000004,0.5461000000000001,0.49997000000000014,0.0
