,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_CU_select,0.7132999999999999,0.7345359999999999,0.6744799999999993,1.5671700000000004,0.7893079999999998,0.7132999999999999,0.059711999999999994,0.041303999999999966,0.129764,0.04799200000000001,0.0,0.6048079999999999,0.8928479999999995,0.577456,0.6336479999999999,0.6359680000000001,0.965365,0.721916,0.6763079999999996,0.5267,0.7718679999999998,0.7505499999999996,0.4276880000000003,0.6416960000000002,0.6772066666666667,0.7118299999999997,0.6975560000000003,0.7842960000000003,0.9117599999999999,0.5920599999999999,0.8947759999999997,0.8189480000000003,0.57466,0.730408,0.6969499999999997,0.848828,0.6999549999999999
FH_Covid19Sim_Simulator,0.9041200000000003,0.3138360000000003,0.6450640000000004,1.5649300000000002,0.29488400000000015,0.9041200000000003,0.5835439999999997,0.6219920000000001,0.5376200000000004,0.6549679999999998,0.6048079999999999,0.0,0.4470120000000002,0.47027200000000013,0.4856960000000001,0.2759959999999999,0.5868300000000004,0.33642,0.8326960000000001,0.3672800000000004,0.35633200000000037,0.2323099999999999,0.5149839999999999,0.25711200000000034,0.1853866666666667,0.13125999999999996,0.42598800000000014,0.7895119999999995,0.38698800000000017,0.6919800000000003,0.3960160000000003,0.5011160000000001,0.6109466666666666,0.677544,0.5014349999999996,0.38869200000000026,0.5141650000000005
FH_CovidAnalytics_DELPHI,0.8704300000000003,0.3203280000000004,0.6285879999999995,1.5798399999999986,0.24427199999999988,0.8704300000000003,0.8549599999999992,0.8959439999999993,0.7724799999999992,0.9245559999999997,0.8928479999999995,0.4470120000000002,0.0,0.5720159999999999,0.49186000000000035,0.4234600000000003,0.4119199999999998,0.2997320000000002,0.9143200000000005,0.5880400000000002,0.3018040000000002,0.22012999999999983,0.728484,0.3783280000000001,0.2337800000000001,0.12145999999999998,0.3824200000000003,0.7325039999999998,0.16068799999999991,0.7320100000000003,0.14184399999999994,0.37624000000000024,0.6483800000000002,0.6263439999999997,0.36476,0.21098399999999992,0.4941850000000002
FH_DDS_NBDS,0.7003100000000001,0.4949760000000003,0.6426239999999999,1.6097650000000003,0.48190799999999995,0.7003100000000001,0.5746160000000002,0.6018680000000004,0.5298480000000002,0.597224,0.577456,0.47027200000000013,0.5720159999999999,0.0,0.45572399999999996,0.37632800000000005,0.6578149999999998,0.4934080000000001,0.7264559999999998,0.48002800000000007,0.5261800000000002,0.4097050000000002,0.5955759999999997,0.4031840000000002,0.43404000000000015,0.53205,0.5174200000000001,0.7265400000000001,0.5930560000000001,0.7313300000000003,0.5718279999999999,0.6214240000000005,0.5989266666666669,0.7528799999999999,0.5210349999999999,0.5649160000000002,0.49303000000000013
FH_Google_Harvard_CPF,0.8060499999999999,0.4903599999999998,0.616692,1.6214250000000008,0.45196000000000003,0.8060499999999999,0.6278520000000001,0.6328159999999997,0.62074,0.6398520000000002,0.6336479999999999,0.4856960000000001,0.49186000000000035,0.45572399999999996,0.0,0.40074400000000004,0.6467950000000002,0.47581599999999996,0.6601879999999994,0.46475600000000017,0.4824440000000001,0.39892500000000014,0.5494759999999999,0.36283200000000004,0.39214666666666664,0.35760000000000003,0.4428760000000001,0.7174279999999998,0.48647599999999996,0.78628,0.5094640000000004,0.560684,0.7217866666666669,0.5924679999999996,0.5138749999999999,0.5012720000000003,0.48717500000000014
FH_IEM_MED_CovidProject,0.9678299999999999,0.3248233333333334,0.6659533333333332,1.5452749999999988,0.2856600000000001,0.9678299999999999,0.613664,0.646184,0.5898639999999997,0.6824280000000001,0.6359680000000001,0.2759959999999999,0.4234600000000003,0.37632800000000005,0.40074400000000004,0.0,0.6387400000000003,0.3078160000000003,0.8554840000000002,0.33529600000000037,0.26700000000000024,0.1597999999999999,0.5522600000000001,0.17446399999999998,0.26760499999999987,0.05636000000000002,0.3715080000000001,0.9107866666666663,0.42303000000000024,0.7410599999999996,0.4220366666666668,0.5213720000000004,0.5324399999999998,0.6627960000000006,0.5261600000000003,0.38312000000000024,0.4864400000000002
FH_IowaStateLW_STEM,1.1206000000000003,0.4834350000000001,0.6674850000000002,1.3354599999999996,0.41043499999999994,1.1206000000000003,0.9248700000000004,0.9519750000000002,0.8364199999999995,0.965365,0.965365,0.5868300000000004,0.4119199999999998,0.6578149999999998,0.6467950000000002,0.6387400000000003,0.0,0.45726500000000025,0.8433049999999997,0.7311499999999995,0.52689,0.46088666666666694,0.7544100000000005,0.530825,0.44154999999999994,0.3688600000000002,0.56003,0.6849299999999997,0.37501999999999996,0.7686800000000001,0.3679650000000001,0.5084949999999997,0.7224866666666665,0.6666749999999999,0.4824133333333334,0.37690000000000007,0.5601800000000001
FH_JHUAPL_Bucky,0.9222499999999999,0.27619600000000005,0.640672,1.5814850000000014,0.19646400000000003,0.9222499999999999,0.6831359999999997,0.7287479999999998,0.6187120000000003,0.7661359999999996,0.721916,0.33642,0.2997320000000002,0.4934080000000001,0.47581599999999996,0.3078160000000003,0.45726500000000025,0.0,0.8498240000000004,0.4469040000000004,0.26215999999999995,0.18300499999999997,0.6026840000000006,0.2786360000000002,0.14691333333333345,0.07963999999999997,0.4139160000000005,0.8170880000000001,0.216724,0.7396100000000001,0.21463199999999985,0.40682000000000035,0.5834599999999996,0.6318039999999995,0.41181500000000004,0.1913,0.45556499999999994
FH_JHU_CSSE_DECOM,0.7808400000000002,0.8545279999999995,0.7101599999999997,1.3954350000000009,0.8758439999999997,0.7808400000000002,0.6838279999999999,0.6562479999999995,0.7063999999999997,0.6440839999999995,0.6763079999999996,0.8326960000000001,0.9143200000000005,0.7264559999999998,0.6601879999999994,0.8554840000000002,0.8433049999999997,0.8498240000000004,0.0,0.7076639999999998,0.9571760000000001,0.9163500000000004,0.6049720000000004,0.8070239999999997,0.9237333333333337,0.9991599999999998,0.7403759999999999,0.6123399999999998,0.9442239999999998,0.7887400000000006,0.9080320000000002,0.9011359999999994,0.8193333333333336,0.6698879999999997,0.700975,0.9302519999999997,0.73338
FH_JHU_IDD_CovidSP,0.8270400000000003,0.4443560000000001,0.6445879999999998,1.5494450000000004,0.47150399999999987,0.8270400000000003,0.5322360000000003,0.5458520000000001,0.493556,0.5698759999999997,0.5267,0.3672800000000004,0.5880400000000002,0.48002800000000007,0.46475600000000017,0.33529600000000037,0.7311499999999995,0.4469040000000004,0.7076639999999998,0.0,0.49370000000000014,0.3621500000000004,0.5274,0.36455200000000026,0.3099266666666668,0.15780000000000002,0.4462800000000003,0.8291000000000006,0.5801839999999996,0.7431200000000001,0.5555,0.6292119999999991,0.6165599999999999,0.6292159999999999,0.56628,0.5425639999999997,0.5348699999999996
