,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IQVIA_ACOE_STAN,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,FH_UVA_Ensemble,USC_SI_kJalpha,USC_SI_kJalpha_RF,ensemble_SIkJa_RF
FH_CovidAnalytics_DELPHI,0.5617966666666668,0.7234040000000005,1.5322633333333309,0.5294133333333335,0.673603333333333,0.6629533333333338,0.6585000000000002,0.6779533333333325,0.6518800000000002,0.6222919999999997,0.0,0.6091566666666663,0.6018766666666667,0.4481799999999999,0.90164,0.7325266666666667,0.5867599999999997,0.5557233333333339,0.7137233333333334,0.522284,0.7097150000000001,0.6014399999999999,0.6496133333333332,0.5727099999999995,0.5688960000000005,0.49773999999999985,0.5408150000000004,0.5769400000000001,0.40893000000000007,0.5180999999999998,0.7234840000000003,0.6375799999999998,0.7666066666666665,0.46255199999999985,0.5155466666666665,0.9859,0.6127733333333335
FH_DDS_NBDS,0.4520933333333334,0.7630520000000002,1.6075300000000003,0.32990666666666657,0.42904333333333367,0.4167033333333335,0.40543666666666667,0.4134200000000003,0.4018766666666666,0.6608599999999996,0.6091566666666663,0.0,0.5137366666666667,0.65514,0.9441200000000001,0.84759,0.5049733333333332,0.4792299999999998,0.34995000000000004,0.44196800000000014,0.34154,0.3496399999999999,0.38931666666666687,0.3013766666666665,0.3620600000000002,0.3498900000000001,0.2387800000000001,0.5555299999999997,0.5880966666666665,0.7337366666666668,0.19135599999999992,0.4500066666666668,0.9073466666666667,0.4878880000000001,0.6707166666666663,0.16296000000000002,0.36582
FH_Google_Harvard_CPF,0.5244766666666666,0.7946800000000003,1.5805533333333315,0.4799066666666667,0.6567099999999995,0.6296033333333332,0.6591399999999996,0.5787733333333334,0.6466899999999995,0.6461319999999997,0.6018766666666667,0.5137366666666667,0.0,0.4410900000000003,0.4726200000000001,0.8989433333333333,0.37491666666666695,0.4852199999999997,0.34473,0.34408400000000045,0.43179000000000023,0.40086666666666676,0.49213666666666656,0.4692299999999999,0.39583199999999996,0.6765700000000001,0.48082499999999984,0.6924699999999991,0.5549666666666669,0.7225499999999994,0.3260039999999998,0.49968000000000007,0.9931799999999993,0.52116,0.6585666666666663,0.4489799999999999,0.3703500000000001
FH_IEM_MED_CovidProject,0.5245799999999998,0.8309799999999998,1.5509400000000004,0.2726,0.4329200000000001,0.40258999999999995,0.42056,0.3505300000000001,0.42056,0.33503999999999984,0.4481799999999999,0.65514,0.4410900000000003,0.0,0.6778599999999999,0.8511499999999999,0.16165,0.5123799999999998,0.6252699999999999,0.31102,0.20209999999999997,0.13502999999999998,0.51534,0.35557,0.49692000000000003,0.4791299999999999,0.7192900000000002,0.5819699999999999,0.48855,0.6270700000000001,0.42787999999999987,,,0.48224999999999985,0.27076999999999996,,0.3568300000000002
FH_IQVIA_ACOE_STAN,0.7160599999999999,,1.5471999999999997,0.78664,0.8992200000000001,0.87338,0.8877999999999997,0.7523599999999998,0.8877999999999997,0.6618,0.90164,0.9441200000000001,0.4726200000000001,0.6778599999999999,0.0,0.7271000000000002,0.5972599999999999,0.8134,0.584,0.48058,0.6937000000000002,0.7577000000000002,0.5262600000000002,0.8177800000000001,,0.7150599999999998,0.7171,0.8869800000000002,0.8593999999999999,0.6936400000000001,,,,0.6648000000000001,0.8002400000000001,,0.45909999999999995
FH_IowaStateLW_STEM,0.7490033333333336,0.695728,1.3662033333333319,0.8130366666666666,0.7484200000000002,0.7761433333333334,0.7326066666666667,0.8151766666666663,0.7385666666666667,0.7572560000000002,0.7325266666666667,0.84759,0.8989433333333333,0.8511499999999999,0.7271000000000002,0.0,0.9041100000000002,0.7992866666666668,0.8926633333333329,0.9149599999999999,0.9291699999999995,0.8785266666666665,0.8353566666666662,0.8329066666666662,0.8053440000000003,0.6510600000000002,0.8741650000000004,0.6259666666666668,0.8036266666666664,0.6606033333333332,0.9806920000000002,0.8082333333333336,0.5019000000000001,0.6607679999999998,0.7454066666666667,0.9294199999999999,0.8999933333333336
FH_JCB_PRM,0.5745866666666668,0.7563519999999996,1.5623566666666604,0.4799599999999999,0.6890966666666659,0.6434399999999996,0.6855133333333333,0.5720366666666662,0.6842366666666667,0.7248919999999995,0.5867599999999997,0.5049733333333332,0.37491666666666695,0.16165,0.5972599999999999,0.9041100000000002,0.0,0.49711666666666654,0.40838999999999986,0.2569119999999998,0.36137499999999995,0.38108333333333316,0.5334300000000005,0.4372666666666668,0.23542000000000005,0.4820399999999999,0.34895500000000007,0.7412599999999994,0.645,0.6616433333333329,0.29643999999999987,0.60082,1.1472066666666654,0.536796,0.6321733333333331,0.9260200000000001,0.34751666666666686
FH_JHUAPL_Bucky,0.44200666666666677,0.7455319999999998,1.5194899999999978,0.3050066666666668,0.5251599999999995,0.5006999999999999,0.5000733333333333,0.47200000000000025,0.5083000000000001,0.5782599999999999,0.5557233333333339,0.4792299999999998,0.4852199999999997,0.5123799999999998,0.8134,0.7992866666666668,0.49711666666666654,0.0,0.41459000000000024,0.41656,0.37995999999999996,0.3198300000000002,0.4766266666666666,0.3319066666666669,0.4537800000000002,0.5960100000000002,0.5778449999999998,0.5495233333333331,0.5007966666666664,0.7330466666666661,0.40768000000000004,0.4810533333333332,0.9572399999999998,0.39546799999999976,0.6263333333333329,0.55506,0.4653299999999998
FH_JHU_CSSE_DECOM,0.5302499999999997,0.7877519999999998,1.5654199999999998,0.3848233333333335,0.6029666666666667,0.5656800000000001,0.5740399999999999,0.48391333333333286,0.5716433333333332,0.7071599999999997,0.7137233333333334,0.34995000000000004,0.34473,0.6252699999999999,0.584,0.8926633333333329,0.40838999999999986,0.41459000000000024,0.0,0.38293600000000005,0.328295,0.3407866666666665,0.3744866666666668,0.3207466666666665,0.35206399999999993,0.5532499999999999,0.3032,0.6735833333333329,0.6288633333333334,0.8226766666666661,0.139508,0.4361333333333333,1.1318066666666662,0.5055960000000003,0.7501599999999999,0.18092000000000005,0.3373200000000003
FH_JHU_IDD_CovidSP,0.48180000000000023,0.7610149999999996,1.5742599999999976,0.3382800000000001,0.5125720000000001,0.473916,0.49881200000000014,0.41880000000000006,0.49881200000000014,0.5828450000000002,0.522284,0.44196800000000014,0.34408400000000045,0.31102,0.48058,0.9149599999999999,0.2569119999999998,0.41656,0.38293600000000005,0.0,0.24592000000000003,0.311872,0.401548,0.38058400000000026,0.28456499999999996,0.5608299999999999,0.53158,0.6085719999999998,0.5248280000000004,0.6740239999999998,0.30097,0.5062300000000003,0.8762066666666669,0.522932,0.5999200000000003,,0.22219200000000008
FH_JHU_UNC_GAS_StatMechPool,0.48286000000000007,0.8217533333333333,1.5459249999999987,0.19535999999999987,0.38774000000000014,0.34505,0.35866000000000015,0.26926500000000003,0.3526350000000001,0.41479333333333346,0.7097150000000001,0.34154,0.43179000000000023,0.20209999999999997,0.6937000000000002,0.9291699999999995,0.36137499999999995,0.37995999999999996,0.328295,0.24592000000000003,0.0,0.1261250000000001,0.34323,0.221075,0.5059933333333333,0.5011999999999999,0.6824400000000003,0.5582649999999998,0.5519750000000003,0.8636200000000003,0.1349533333333333,0.45216999999999996,0.96934,0.5621600000000003,0.6414650000000001,0.22326000000000001,0.24167500000000003
FH_Karlen_pypm,0.3948200000000003,0.8035439999999991,1.5546133333333292,0.19340666666666656,0.41063333333333335,0.36762000000000006,0.3852999999999998,0.30475333333333365,0.38160999999999984,0.4373920000000003,0.6014399999999999,0.3496399999999999,0.40086666666666676,0.13502999999999998,0.7577000000000002,0.8785266666666665,0.38108333333333316,0.3198300000000002,0.3407866666666665,0.311872,0.1261250000000001,0.0,0.4086366666666668,0.17596666666666672,0.4320760000000001,0.4479100000000001,0.5171799999999999,0.5637899999999997,0.5255799999999999,0.7937766666666668,0.24322000000000002,0.4531933333333332,0.9057733333333331,0.4519480000000003,0.5357666666666671,0.24529999999999996,0.25621
FH_LANL_GrowthRate,0.44966333333333314,0.7551559999999999,1.5799966666666658,0.3131233333333334,0.4685366666666667,0.4517300000000002,0.3934533333333334,0.4066933333333333,0.3993766666666667,0.6238840000000002,0.6496133333333332,0.38931666666666687,0.49213666666666656,0.51534,0.5262600000000002,0.8353566666666662,0.5334300000000005,0.4766266666666666,0.3744866666666668,0.401548,0.34323,0.4086366666666668,0.0,0.3306066666666668,0.47206000000000015,0.61192,0.5636099999999999,0.47662999999999983,0.6077966666666664,0.8017366666666661,0.366108,0.5187933333333336,0.8162133333333336,0.4869520000000002,0.5939233333333334,0.29718000000000006,0.4007700000000001
FH_LNQ_ens1,0.36352333333333336,0.7733279999999996,1.5852466666666662,0.18610666666666675,0.3585466666666669,0.34235666666666675,0.3221866666666668,0.3020466666666668,0.3235133333333333,0.4613919999999998,0.5727099999999995,0.3013766666666665,0.4692299999999999,0.35557,0.8177800000000001,0.8329066666666662,0.4372666666666668,0.3319066666666669,0.3207466666666665,0.38058400000000026,0.221075,0.17596666666666672,0.3306066666666668,0.0,0.41601200000000005,0.38920999999999994,0.46806000000000014,0.49782333333333345,0.5035466666666668,0.7656766666666663,0.2670079999999999,0.43139999999999995,0.8673599999999996,0.44477599999999995,0.5583666666666665,0.15399999999999994,0.29742666666666684
FH_MSRA_DeepST,0.5720399999999998,0.7271399999999999,1.629484,0.4894480000000001,0.6314960000000003,0.6040800000000001,0.6388479999999997,0.5673160000000002,0.6378319999999997,0.8136549999999997,0.5688960000000005,0.3620600000000002,0.39583199999999996,0.49692000000000003,,0.8053440000000003,0.23542000000000005,0.4537800000000002,0.35206399999999993,0.28456499999999996,0.5059933333333333,0.4320760000000001,0.47206000000000015,0.41601200000000005,0.0,0.09329999999999998,0.2062266666666666,0.6071960000000002,0.576164,0.6454000000000003,0.34216400000000013,0.5627933333333333,0.988893333333334,0.4621549999999999,0.6006039999999998,0.7267600000000002,0.38295999999999997
FH_Microsoft_DeepSTIA,0.53708,0.6985800000000002,1.7207300000000003,0.4879000000000001,0.4024299999999998,0.42637,0.41641999999999996,0.49474000000000024,0.41641999999999996,0.5516600000000002,0.49773999999999985,0.3498900000000001,0.6765700000000001,0.4791299999999999,0.7150599999999998,0.6510600000000002,0.4820399999999999,0.5960100000000002,0.5532499999999999,0.5608299999999999,0.5011999999999999,0.4479100000000001,0.61192,0.38920999999999994,0.09329999999999998,0.0,0.3265999999999999,0.59003,0.5056999999999997,0.5365000000000001,0.31326,,,0.47412,0.50232,,0.53158
FH_OneQuietNight_ML,0.61054,0.7294133333333334,1.596125000000001,0.5522900000000004,0.6813700000000005,0.6446750000000001,0.6969000000000003,0.6548900000000001,0.6969000000000003,0.851635,0.5408150000000004,0.2387800000000001,0.48082499999999984,0.7192900000000002,0.7171,0.8741650000000004,0.34895500000000007,0.5778449999999998,0.3032,0.53158,0.6824400000000003,0.5171799999999999,0.5636099999999999,0.46806000000000014,0.2062266666666666,0.3265999999999999,0.0,0.8753499999999999,0.645965,0.5618350000000002,0.03677999999999997,0.46744000000000013,1.2064899999999994,0.563105,0.7008250000000001,,0.4340950000000002
FH_RobertWalraven_ESG,0.4910533333333335,0.7223559999999998,1.5857999999999988,0.47083999999999976,0.45979666666666713,0.4826333333333336,0.39534666666666685,0.4973099999999999,0.4008966666666669,0.5952679999999996,0.5769400000000001,0.5555299999999997,0.6924699999999991,0.5819699999999999,0.8869800000000002,0.6259666666666668,0.7412599999999994,0.5495233333333331,0.6735833333333329,0.6085719999999998,0.5582649999999998,0.5637899999999997,0.47662999999999983,0.49782333333333345,0.6071960000000002,0.59003,0.8753499999999999,0.0,0.565023333333333,0.6933766666666673,0.764496,0.6006333333333334,0.4343666666666668,0.4804200000000001,0.5116266666666668,0.5210599999999999,0.6370333333333339
FH_TTU_squider,0.5876699999999992,0.8017879999999997,1.5049366666666641,0.4911533333333336,0.5762300000000002,0.5861266666666669,0.572756666666666,0.6060033333333327,0.5645199999999995,0.5459879999999999,0.40893000000000007,0.5880966666666665,0.5549666666666669,0.48855,0.8593999999999999,0.8036266666666664,0.645,0.5007966666666664,0.6288633333333334,0.5248280000000004,0.5519750000000003,0.5255799999999999,0.6077966666666664,0.5035466666666668,0.576164,0.5056999999999997,0.645965,0.565023333333333,0.0,0.6525566666666675,0.647448,0.5198666666666667,0.764953333333333,0.4983839999999998,0.5714266666666663,0.6703000000000001,0.5824133333333333
FH_UCLA_SuEIR,0.6843366666666661,0.6929239999999993,1.563103333333331,0.7501666666666662,0.798526666666666,0.7948233333333328,0.8016966666666658,0.81909,0.7990999999999993,0.7651760000000001,0.5180999999999998,0.7337366666666668,0.7225499999999994,0.6270700000000001,0.6936400000000001,0.6606033333333332,0.6616433333333329,0.7330466666666661,0.8226766666666661,0.6740239999999998,0.8636200000000003,0.7937766666666668,0.8017366666666661,0.7656766666666663,0.6454000000000003,0.5365000000000001,0.5618350000000002,0.6933766666666673,0.6525566666666675,0.0,0.8110799999999997,0.7827066666666667,0.6536200000000003,0.5922280000000003,0.62257,1.0963199999999997,0.7568833333333329
FH_UCSB_ACTS,0.4996160000000001,0.7789799999999996,1.5597119999999969,0.3245600000000002,0.5543079999999999,0.49772399999999994,0.5324959999999996,0.41961600000000004,0.5296159999999996,0.72214,0.7234840000000003,0.19135599999999992,0.3260039999999998,0.42787999999999987,,0.9806920000000002,0.29643999999999987,0.40768000000000004,0.139508,0.30097,0.1349533333333333,0.24322000000000002,0.366108,0.2670079999999999,0.34216400000000013,0.31326,0.03677999999999997,0.764496,0.647448,0.8110799999999997,0.0,0.4478466666666667,1.1111799999999994,0.5605650000000003,0.7792600000000001,0.21604000000000004,0.20999999999999996
FH_UMich_RidgeTfReg,0.5367200000000003,0.7714333333333334,1.5251466666666678,0.44383333333333336,0.6437466666666668,0.6041466666666665,0.5914533333333333,0.53358,0.6032,0.58527,0.6375799999999998,0.4500066666666668,0.49968000000000007,,,0.8082333333333336,0.60082,0.4810533333333332,0.4361333333333333,0.5062300000000003,0.45216999999999996,0.4531933333333332,0.5187933333333336,0.43139999999999995,0.5627933333333333,,0.46744000000000013,0.6006333333333334,0.5198666666666667,0.7827066666666667,0.4478466666666667,0.0,0.7620500000000002,0.49061000000000016,0.74544,0.5438400000000002,0.4949866666666667
FH_USACE_ERDC_SEIR,0.7093733333333335,0.7362599999999998,1.5867800000000012,0.8340933333333331,0.44846666666666657,0.5040733333333334,0.4258866666666665,0.5907333333333338,0.4258866666666665,0.5181900000000002,0.7666066666666665,0.9073466666666667,0.9931799999999993,,,0.5019000000000001,1.1472066666666654,0.9572399999999998,1.1318066666666662,0.8762066666666669,0.96934,0.9057733333333331,0.8162133333333336,0.8673599999999996,0.988893333333334,,1.2064899999999994,0.4343666666666668,0.764953333333333,0.6536200000000003,1.1111799999999994,0.7620500000000002,0.0,0.674226666666667,0.5183933333333336,,0.8825333333333333
FH_UVA_Ensemble,0.44758000000000014,0.6583699999999999,1.689704000000001,0.41851999999999995,0.5010200000000001,0.51416,0.5042800000000001,0.5224599999999999,0.5042800000000001,0.576835,0.46255199999999985,0.4878880000000001,0.52116,0.48224999999999985,0.6648000000000001,0.6607679999999998,0.536796,0.39546799999999976,0.5055960000000003,0.522932,0.5621600000000003,0.4519480000000003,0.4869520000000002,0.44477599999999995,0.4621549999999999,0.47412,0.563105,0.4804200000000001,0.4983839999999998,0.5922280000000003,0.5605650000000003,0.49061000000000016,0.674226666666667,0.0,0.49057999999999996,,0.504232
USC_SI_kJalpha,0.5155666666666665,0.698692,1.530829999999997,0.5061799999999999,0.5181433333333335,0.5097300000000003,0.4931899999999995,0.5192033333333338,0.4916199999999996,0.5058120000000003,0.5155466666666665,0.6707166666666663,0.6585666666666663,0.27076999999999996,0.8002400000000001,0.7454066666666667,0.6321733333333331,0.6263333333333329,0.7501599999999999,0.5999200000000003,0.6414650000000001,0.5357666666666671,0.5939233333333334,0.5583666666666665,0.6006039999999998,0.50232,0.7008250000000001,0.5116266666666668,0.5714266666666663,0.62257,0.7792600000000001,0.74544,0.5183933333333336,0.49057999999999996,0.0,0.8562400000000001,0.6224733333333333
USC_SI_kJalpha_RF,0.59434,0.9355000000000001,1.5957599999999996,0.2612999999999999,0.26377999999999996,0.24091999999999994,0.22893999999999998,0.2199999999999999,0.2199999999999999,0.5767800000000001,0.9859,0.16296000000000002,0.4489799999999999,,,0.9294199999999999,0.9260200000000001,0.55506,0.18092000000000005,,0.22326000000000001,0.24529999999999996,0.29718000000000006,0.15399999999999994,0.7267600000000002,,,0.5210599999999999,0.6703000000000001,1.0963199999999997,0.21604000000000004,0.5438400000000002,,,0.8562400000000001,0.0,0.21311999999999998
ensemble_SIkJa_RF,0.4478800000000001,0.7941000000000001,1.5939600000000012,0.29047000000000023,0.44387333333333334,0.39285333333333355,0.44226666666666686,0.32920000000000016,0.43177000000000004,0.5546920000000002,0.6127733333333335,0.36582,0.3703500000000001,0.3568300000000002,0.45909999999999995,0.8999933333333336,0.34751666666666686,0.4653299999999998,0.3373200000000003,0.22219200000000008,0.24167500000000003,0.25621,0.4007700000000001,0.29742666666666684,0.38295999999999997,0.53158,0.4340950000000002,0.6370333333333339,0.5824133333333333,0.7568833333333329,0.20999999999999996,0.4949866666666667,0.8825333333333333,0.504232,0.6224733333333333,0.21311999999999998,0.0
