,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_CU_select,0.7478679999999996,0.5947066666666666,0.7647599999999998,1.527243333333334,0.5654033333333335,0.8177439999999994,0.10586000000000001,0.06142999999999995,0.12185333333333336,0.03999333333333334,0.0,0.5737066666666667,0.5823833333333334,0.79994,0.6528533333333336,0.5905533333333333,1.2107999999999997,0.9344839999999993,0.5733000000000004,0.8237366666666667,0.6911566666666671,0.6096633333333331,0.5596400000000002,0.4744266666666665,0.5699633333333335,0.6049233333333329,0.5639533333333333,0.5857000000000003,0.71864,0.5846433333333328,0.7379200000000004,0.5931433333333328,0.6967759999999994,0.6827999999999999,0.5288160000000002,0.5748633333333332,0.7120000000000001
FH_Covid19Sim_Simulator,0.6572519999999998,0.14037666666666668,0.7540366666666662,1.5558633333333307,0.09795333333333339,0.7613720000000005,0.5010933333333334,0.5483166666666662,0.5017933333333335,0.6155066666666668,0.5737066666666667,0.0,0.15601333333333342,0.5904079999999996,0.37800666666666666,0.14250999999999997,1.3225600000000002,0.7061840000000001,0.16741000000000006,1.0108166666666665,0.4311366666666666,0.10187999999999997,0.15011666666666673,0.6753933333333332,0.17193666666666674,0.11709333333333342,0.16123333333333337,0.2510266666666666,0.8523833333333332,0.07490333333333335,0.7772700000000005,0.0944500000000001,0.5427320000000001,0.6544699999999997,0.19327600000000006,0.1625499999999999,0.37838
FH_CovidAnalytics_DELPHI,0.6077439999999998,0.13356999999999997,0.7286633333333331,1.5606033333333316,0.12276999999999996,0.7129119999999999,0.5088400000000003,0.5489233333333337,0.5135766666666663,0.6088066666666667,0.5823833333333334,0.15601333333333342,0.0,0.6057960000000004,0.35568666666666704,0.16134666666666667,1.31226,0.7411639999999996,0.16309666666666672,1.0319833333333337,0.4523400000000001,0.10840000000000001,0.15180333333333332,0.6781566666666667,0.16894666666666672,0.12933666666666668,0.18265333333333325,0.2580166666666665,0.8609966666666666,0.08779000000000002,0.7812766666666676,0.0828733333333334,0.5775880000000001,0.6704066666666665,0.19256400000000004,0.17758333333333337,0.4576999999999999
FH_DDS_NBDS,0.6352200000000001,0.6173960000000003,0.7218839999999999,1.5802319999999987,0.6140120000000002,0.6352200000000001,0.8039879999999993,0.8132839999999996,0.7921919999999996,0.8197080000000001,0.79994,0.5904079999999996,0.6057960000000004,0.0,0.6039080000000001,0.649228,0.5136999999999999,0.9990349999999999,0.6014999999999999,0.8319760000000005,0.7036480000000008,0.5977760000000001,0.6611519999999995,0.7499639999999997,0.6640920000000002,0.6128599999999995,0.6356640000000002,0.62104,0.676308,0.6080520000000001,0.9740920000000001,0.607352,0.587048,0.7094999999999999,0.5811150000000004,0.63902,0.46669999999999995
FH_Google_Harvard_CPF,0.5834760000000002,0.3704733333333334,0.7206566666666667,1.59059,0.37489666666666693,0.635588,0.5943500000000003,0.6200566666666667,0.6193333333333333,0.6580233333333335,0.6528533333333336,0.37800666666666666,0.35568666666666704,0.6039080000000001,0.0,0.40197666666666676,1.1382199999999998,0.8752640000000005,0.35918000000000017,0.8491866666666668,0.5388733333333338,0.3476800000000002,0.3907333333333335,0.7191400000000001,0.42186666666666683,0.35500666666666675,0.3999700000000004,0.4125400000000002,0.7305433333333333,0.3383400000000002,0.8793633333333328,0.35851333333333346,0.5865880000000002,0.6819666666666667,0.4091920000000004,0.4314833333333334,0.5473999999999999
FH_IEM_MED_CovidProject,0.6960919999999992,0.13662333333333335,0.7233600000000001,1.4884099999999987,0.06906999999999996,0.8018319999999995,0.5281066666666674,0.5735633333333334,0.5183933333333332,0.6292700000000001,0.5905533333333333,0.14250999999999997,0.16134666666666667,0.649228,0.40197666666666676,0.0,1.3715800000000002,0.7060119999999994,0.18738333333333326,0.9994433333333332,0.46291000000000015,0.11272666666666666,0.10736000000000007,0.6672133333333333,0.12772333333333338,0.14300666666666667,0.14733333333333337,0.28397999999999995,0.9046199999999999,0.09890999999999997,0.7342933333333331,0.11161666666666671,0.5994199999999998,0.66275,0.21379199999999995,0.09603666666666669,0.3231
FH_IUPUI_HkPrMobiDyR,0.9144600000000002,1.35258,0.80842,1.5518799999999997,1.3660400000000001,0.9144600000000002,1.2626399999999998,1.22594,1.2687799999999998,1.2107999999999997,1.2107999999999997,1.3225600000000002,1.31226,0.5136999999999999,1.1382199999999998,1.3715800000000002,0.0,1.4053399999999998,1.3237599999999998,0.6796,0.9290199999999997,1.3269,1.3497400000000004,0.8474600000000001,1.3683999999999994,1.3225200000000001,1.2884399999999994,0.9011,0.41628,1.36212,1.3453600000000001,1.3759000000000001,0.8127000000000002,0.41646,1.2960600000000002,1.34916,
FH_IowaStateLW_STEM,1.0001550000000006,0.7058239999999997,0.9049319999999996,0.8403440000000002,0.69868,1.1153950000000004,0.8973880000000003,0.9233080000000001,0.8452559999999997,0.9344839999999993,0.9344839999999993,0.7061840000000001,0.7411639999999996,0.9990349999999999,0.8752640000000005,0.7060119999999994,1.4053399999999998,0.0,0.7277920000000001,1.001124,0.8193879999999996,0.7048439999999996,0.6983360000000001,0.9388399999999999,0.6953799999999998,0.6886279999999997,0.722156,0.7592960000000002,1.181156,0.6956999999999993,0.72368,0.6920159999999999,0.9833150000000005,0.8527919999999999,0.8560400000000001,0.6771719999999999,
FH_JHUAPL_Bucky,0.6496279999999994,0.17311666666666678,0.7223499999999997,1.5707133333333319,0.14211666666666667,0.7333239999999995,0.5003733333333338,0.5453100000000003,0.5020566666666665,0.6101500000000003,0.5733000000000004,0.16741000000000006,0.16309666666666672,0.6014999999999999,0.35918000000000017,0.18738333333333326,1.3237599999999998,0.7277920000000001,0.0,1.0101233333333337,0.44639,0.1452433333333333,0.18331666666666668,0.6673766666666666,0.21722333333333343,0.16628333333333326,0.1976633333333335,0.2928200000000001,0.8463733333333333,0.1242933333333334,0.8384133333333332,0.13115000000000004,0.5706720000000003,0.6377833333333333,0.21478800000000003,0.1815733333333334,0.37924000000000013
FH_JHU_CSSE_DECOM,0.765096,1.0324966666666664,0.7568066666666661,1.30017,1.0194266666666665,0.7785919999999998,0.8388700000000003,0.8205833333333333,0.864676666666666,0.796883333333333,0.8237366666666667,1.0108166666666665,1.0319833333333337,0.8319760000000005,0.8491866666666668,0.9994433333333332,0.6796,1.001124,1.0101233333333337,0.0,0.9059299999999998,1.032706666666667,1.0180833333333328,0.6639033333333324,0.9844100000000005,1.011873333333333,0.9486766666666667,0.8742966666666672,0.6572166666666664,1.045286666666666,0.9002500000000001,1.0550933333333339,0.9162239999999998,0.6667800000000006,0.9963439999999998,0.9941300000000005,0.89264
