,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_CU_select,0.3251,0.6559899999999994,0.9759633333333331,1.4051900000000002,0.5149000000000002,0.3251,0.09364,0.22043000000000007,0.11527000000000015,0.06612999999999997,0.0,0.6706066666666667,0.5588666666666666,0.8397999999999999,0.7506566666666672,0.7715899999999998,0.8282900000000002,0.707372,0.5455666666666663,0.6621733333333334,0.7482599999999999,0.6999133333333332,0.6917,0.6007033333333333,0.6372833333333335,0.5723999999999998,0.7400000000000001,0.60647,0.8120233333333331,0.7851760000000002,0.5171566666666669,0.9362200000000002,0.6651933333333327,0.7456900000000001,0.8153299999999994,0.5693133333333338,0.4025300000000001
FH_Covid19Sim_Simulator,0.58796,0.6280133333333331,1.0053133333333335,1.4720999999999995,0.6109080000000008,0.58796,0.6656333333333336,0.6770966666666667,0.6099833333333333,0.7164400000000002,0.6706066666666667,0.0,0.47234333333333345,0.85724,0.8018533333333331,0.8871033333333336,0.730055,0.6415439999999992,0.5373866666666669,0.8677399999999996,0.8385999999999996,0.741879999999999,0.70352,0.7504099999999999,0.8637000000000002,0.7862066666666662,0.8286,0.5625766666666666,0.7686200000000004,0.8430040000000002,0.45978333333333354,1.0558600000000002,0.5795666666666665,0.7768800000000005,0.8058999999999998,0.5816133333333336,0.5002966666666663
FH_CovidAnalytics_DELPHI,0.33260000000000006,0.77973,1.0163666666666666,1.5539333333333316,0.5553800000000003,0.33260000000000006,0.5607033333333333,0.6285433333333336,0.43341333333333354,0.6284299999999999,0.5588666666666666,0.47234333333333345,0.0,1.16784,0.87379,1.0111866666666662,0.4876550000000002,0.25867600000000024,0.44697000000000003,0.9163999999999991,0.9071633333333325,0.7112599999999998,0.5371800000000001,0.8734499999999982,0.9917099999999999,0.8346299999999998,0.7384400000000001,0.3613233333333336,0.9483466666666671,0.9413839999999998,0.0860633333333334,1.323906666666667,0.20179666666666674,0.53351,0.9599166666666654,0.3860100000000004,0.21428000000000022
FH_DDS_NBDS,,0.6409,0.9686399999999996,1.5608399999999998,0.9975999999999999,,0.71918,0.7605999999999998,0.8397999999999999,0.6482600000000001,0.8397999999999999,0.85724,1.16784,0.0,0.67774,0.7877199999999999,0.7800799999999997,1.5033599999999998,0.7681399999999998,0.69738,0.6703600000000002,1.0326799999999998,,0.26439999999999997,0.2987799999999999,0.52656,,1.03824,0.5854,0.8711000000000003,1.1826200000000002,1.0665199999999997,1.2723799999999998,0.8055600000000002,0.5932599999999999,1.0193600000000003,0.9226200000000001
FH_Google_Harvard_CPF,0.7443199999999999,0.6501833333333333,0.9982133333333335,1.5518000000000003,0.8607199999999999,0.7443199999999999,0.7826899999999998,0.7682066666666667,0.7378566666666663,0.7431766666666674,0.7506566666666672,0.8018533333333331,0.87379,0.67774,0.0,0.875016666666667,0.7395499999999994,1.082848,0.8350233333333329,0.8127033333333332,0.620643333333334,0.8628100000000004,0.7322200000000001,0.5033066666666669,0.7276566666666671,0.7698433333333333,0.8382200000000002,0.8787433333333337,0.7616733333333328,0.496884,0.8701300000000002,1.2103599999999992,1.0446900000000001,0.5552600000000002,0.6252466666666666,0.7095433333333329,0.7895366666666671
FH_IEM_MED_CovidProject,0.86658,0.7234933333333334,0.9023766666666672,1.2190333333333327,0.6378400000000003,0.86658,0.7798466666666668,0.67292,0.84521,0.8017666666666664,0.7715899999999998,0.8871033333333336,1.0111866666666662,0.7877199999999999,0.875016666666667,0.0,0.9051849999999999,1.062664,0.7005966666666666,0.709263333333333,0.7087366666666672,0.6366133333333328,0.76554,0.752823333333334,0.618233333333333,0.6877033333333332,0.9883799999999997,0.7420599999999999,0.5863266666666669,0.6911879999999998,0.9653433333333328,0.8900733333333337,0.9826500000000008,1.0055800000000001,0.8296266666666663,0.7506766666666673,0.8767166666666668
FH_IUPUI_HkPrMobiDyR,,0.8105249999999993,0.9762600000000005,1.63964,0.8674400000000003,,0.7584249999999996,0.7540249999999997,0.7747599999999999,0.8132300000000003,0.8282900000000002,0.730055,0.4876550000000002,0.7800799999999997,0.7395499999999994,0.9051849999999999,0.0,0.7049700000000001,0.8202000000000002,1.07382,0.7718649999999999,0.7126600000000002,,0.8487450000000003,0.9252250000000005,0.9023849999999998,,0.5699250000000002,0.7402649999999998,0.6733950000000002,0.5730500000000002,1.3165199999999992,0.5709300000000003,0.6316000000000002,0.79722,0.5647099999999999,0.6410400000000003
FH_IowaStateLW_STEM,,1.0707399999999998,0.8426560000000003,1.1041560000000004,0.7122300000000004,,0.7366120000000005,0.8047360000000001,0.6157800000000005,0.7760719999999997,0.707372,0.6415439999999992,0.25867600000000024,1.5033599999999998,1.082848,1.062664,0.7049700000000001,0.0,0.6445159999999991,1.0109759999999999,0.9825040000000007,0.8168039999999996,,1.164296,1.1202919999999994,0.9982200000000006,,0.3957480000000001,1.1150439999999995,1.1577960000000014,0.2856600000000004,0.96802,0.24980399999999994,1.03926,1.1116240000000002,0.6241920000000001,0.43979600000000024
FH_JHUAPL_Bucky,0.3260200000000001,0.5303733333333336,0.9995266666666667,1.4793633333333334,0.45658000000000004,0.3260200000000001,0.5539733333333329,0.6046433333333326,0.4754000000000003,0.5663666666666661,0.5455666666666663,0.5373866666666669,0.44697000000000003,0.7681399999999998,0.8350233333333329,0.7005966666666666,0.8202000000000002,0.6445159999999991,0.0,0.5923966666666668,0.7271066666666667,0.56328,0.5768800000000001,0.6077466666666667,0.73291,0.5300366666666659,0.7432999999999998,0.4808433333333333,0.6877566666666669,0.8275000000000002,0.4290633333333337,0.9904199999999997,0.602693333333333,0.82042,0.8655066666666668,0.4500466666666668,0.4420300000000004
FH_JHU_CSSE_DECOM,0.15326,0.5440999999999994,0.8747633333333332,1.166116666666666,0.6687519999999999,0.15326,0.6772933333333326,0.7405033333333333,0.6844166666666667,0.6315400000000001,0.6621733333333334,0.8677399999999996,0.9163999999999991,0.69738,0.8127033333333332,0.709263333333333,1.07382,1.0109759999999999,0.5923966666666668,0.0,0.6232999999999996,0.7697,0.7333400000000002,0.5698766666666668,0.6351266666666668,0.47611999999999977,0.79562,0.8127300000000003,0.7501033333333333,0.8206880000000002,0.8764399999999999,0.872226666666667,0.9329466666666669,0.76548,0.7720000000000006,0.7898433333333332,0.8218933333333334
FH_JHU_IDD_CovidSP,0.7797,0.4757799999999999,0.8567533333333331,1.36555,0.8073439999999997,0.7797,0.7221633333333335,0.6248466666666668,0.7907866666666663,0.7258433333333331,0.7482599999999999,0.8385999999999996,0.9071633333333325,0.6703600000000002,0.620643333333334,0.7087366666666672,0.7718649999999999,0.9825040000000007,0.7271066666666667,0.6232999999999996,0.0,0.7225766666666661,0.6142800000000002,0.5593066666666671,0.6517333333333329,0.5864266666666663,0.8658200000000003,0.7885099999999999,0.5681666666666668,0.44120800000000016,0.9005433333333325,0.9403466666666664,1.0535966666666676,0.6586200000000001,0.6588800000000001,0.7192799999999999,0.8626333333333333
