,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_CU_select,0.35737666666666656,0.3684266666666671,0.8977966666666662,1.5501279999999988,0.31907,0.3888839999999999,0.0789033333333334,0.1667,0.0,0.10350000000000004,0.0,0.3746399999999999,0.6460333333333337,0.5332933333333333,0.42360333333333317,0.3438066666666669,0.40452,0.4807100000000001,0.29307000000000005,0.4503733333333337,0.3540666666666668,0.4508333333333338,0.8690099999999994,0.6362949999999999,0.37692333333333355,0.5263566666666668,0.5844966666666666,0.8129266666666665,1.2027133333333329,1.24766,0.6633239999999997,0.4880200000000003,0.34009000000000017
FH_Covid19Sim_Simulator,0.06621999999999996,0.14580666666666667,0.94532,1.5523000000000005,0.2872733333333334,0.09372,0.23961999999999994,,0.3746399999999999,0.24455333333333343,0.3746399999999999,0.0,0.7331533333333331,0.9575000000000001,0.051019999999999975,0.1762666666666667,0.027580000000000004,0.2831733333333334,0.2872133333333332,0.03884666666666664,0.07615333333333332,0.45701333333333327,0.965306666666667,0.8039799999999999,0.20010666666666674,0.3331066666666669,0.6806266666666669,1.259026666666666,1.4542266666666666,1.33676,0.6728999999999999,0.4325466666666671,0.1441333333333334
FH_CovidAnalytics_DELPHI,0.784653333333333,0.6882600000000002,0.8377333333333327,1.473952,0.579996666666666,0.8632479999999993,0.6792666666666662,1.3909399999999996,0.6460333333333337,0.6873000000000004,0.6460333333333337,0.7331533333333331,0.0,0.8726866666666666,0.8666633333333329,0.754373333333333,0.8504433333333329,0.7684666666666671,0.6421899999999995,0.895966666666666,0.7770633333333334,0.8233533333333334,0.8133500000000001,0.5434300000000003,0.7827866666666661,0.7594699999999994,0.6911399999999999,0.6295699999999999,0.9369799999999996,0.8371799999999996,0.7516079999999996,0.6884,0.7646200000000003
FH_Google_Harvard_CPF,0.546753333333334,0.626286666666667,0.9181333333333334,1.61313,0.7019333333333332,0.546753333333334,0.5974000000000003,0.45918000000000014,0.5332933333333333,0.5428599999999998,0.5332933333333333,0.9575000000000001,0.8726866666666666,0.0,0.49194000000000015,0.5247466666666667,0.5782066666666669,0.550493333333334,0.6643666666666665,0.5262733333333337,0.5537,0.5984866666666667,0.6904600000000003,0.5532,0.5615933333333336,0.9501533333333337,0.6387599999999994,0.7433733333333334,1.0582933333333338,0.9887800000000001,0.6639400000000001,0.6762866666666664,0.5375066666666669
FH_IEM_MED_CovidProject,0.13410666666666662,0.28939333333333345,0.9789300000000009,1.5427719999999965,0.43135,0.15726399999999996,0.32965,0.10257999999999998,0.42360333333333317,0.324636,0.42360333333333317,0.051019999999999975,0.8666633333333329,0.49194000000000015,0.0,0.22581666666666678,0.08132666666666663,0.24877666666666692,0.42478666666666665,0.05417333333333327,0.17306666666666662,0.4652666666666669,0.9034933333333335,0.7545750000000002,0.2426666666666668,0.45644666666666656,0.7391033333333326,1.2352666666666665,1.4340199999999983,1.3412299999999993,0.6561839999999998,0.5052600000000002,0.20883666666666678
FH_JHUAPL_Bucky,0.16057000000000007,0.3053233333333333,0.9467499999999998,1.5609519999999975,0.3415566666666668,0.17666800000000005,0.28274666666666676,0.13581999999999994,0.3438066666666669,0.2682200000000002,0.3438066666666669,0.1762666666666667,0.754373333333333,0.5247466666666667,0.22581666666666678,0.0,0.20784666666666668,0.3766566666666669,0.32694666666666683,0.2346333333333334,0.19552333333333352,0.5406266666666667,0.8549100000000001,0.7407349999999995,0.28791333333333347,0.516096666666667,0.6056200000000003,1.0741466666666664,1.3021366666666667,1.23928,0.7467520000000002,0.450186666666667,0.19600333333333347
FH_JHU_CSSE_DECOM,0.09824333333333331,0.26989,0.9725866666666675,1.568479999999999,0.40911000000000025,0.11537599999999998,0.2941400000000002,0.07165999999999997,0.40452,0.3173160000000002,0.40452,0.027580000000000004,0.8504433333333329,0.5782066666666669,0.08132666666666663,0.20784666666666668,0.0,0.28977000000000025,0.37040333333333336,0.07297999999999996,0.14721333333333333,0.5259633333333332,0.8991266666666669,0.7718049999999995,0.22338999999999995,0.4365000000000002,0.7072966666666667,1.2279466666666672,1.4160600000000008,1.2988000000000002,0.6902720000000006,0.44747000000000003,0.16952333333333333
FH_JHU_IDD_CovidSP,0.33012333333333366,0.42892666666666657,0.8957333333333327,1.4687319999999975,0.4432566666666667,0.36596000000000034,0.44898666666666687,0.5880000000000001,0.4807100000000001,0.45996,0.4807100000000001,0.2831733333333334,0.7684666666666671,0.550493333333334,0.24877666666666692,0.3766566666666669,0.28977000000000025,0.0,0.5496866666666669,0.28998333333333376,0.37471000000000015,0.5438166666666664,0.8228200000000002,0.7495000000000002,0.3830533333333332,0.5368666666666667,0.6971499999999996,1.0506233333333328,1.1674999999999998,0.9299299999999999,0.6170479999999998,0.5413400000000003,0.3570400000000005
FH_JHU_UNC_GAS_StatMechPool,0.30099000000000015,0.29634000000000016,0.8689066666666664,1.5377719999999988,0.2917733333333336,0.32232,0.2593533333333335,0.12855999999999998,0.29307000000000005,0.23470399999999994,0.29307000000000005,0.2872133333333332,0.6421899999999995,0.6643666666666665,0.42478666666666665,0.32694666666666683,0.37040333333333336,0.5496866666666669,0.0,0.4286200000000002,0.2688700000000001,0.5506866666666664,0.9154599999999997,0.6740500000000003,0.3451033333333332,0.5104333333333336,0.5955733333333332,0.8846966666666665,1.245719999999999,1.3114700000000008,0.7580560000000003,0.43509666666666685,0.25829666666666673
FH_KITmetricslab_select_ensemble,0.12980666666666665,0.3096066666666667,1.0078666666666662,1.5897239999999995,0.4747966666666665,0.15254800000000002,0.34207999999999994,0.06871999999999995,0.4503733333333337,0.38902000000000025,0.4503733333333337,0.03884666666666664,0.895966666666666,0.5262733333333337,0.05417333333333327,0.2346333333333334,0.07297999999999996,0.28998333333333376,0.4286200000000002,0.0,0.16687333333333326,0.5229766666666672,0.8685866666666667,0.7546950000000001,0.24668999999999988,0.4645833333333335,0.72624,1.2660366666666667,1.4622866666666663,1.2994700000000006,0.6672040000000002,0.48136666666666666,0.20816333333333337
